name,address,floor,toilet_name,note,color,lng,lat
足立都税事務所,東京都 足立区西新井栄町二丁目8番15号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.788288,35.778009
足立自動車税事務所,東京都 足立区南花畑五丁目12番1号,3F,車椅子使用者対応トイレ,"ご利用の際職員がご案内しますのでお声掛けください。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.817134,35.797142
東京武道館 (東京武道館),東京都 足立区綾瀬三丁目20番1号,1F,1階身障者用便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.825328,35.765455
東京武道館 (東京武道館),東京都 足立区綾瀬三丁目20番1号,2F,2階身障者用便所,設備: 車椅子対応,#00cc00,139.825582,35.765363
東京武道館 (東京武道館),東京都 足立区綾瀬三丁目20番1号,3F,3階身障者用便所,設備: 車椅子対応,#00cc00,139.825394,35.766009
東京武道館 (東京武道館),東京都 足立区綾瀬三丁目20番1号,B1F,B1階身障者用便所,設備: 車椅子対応,#00cc00,139.825572,35.765333
都立城東職業能力開発センター,東京都 足立区綾瀬五丁目6番1号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.824949,35.767273
都立城東職業能力開発センター,東京都 足立区綾瀬五丁目6番1号,1F,１階人材育成プラザだれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.824455,35.767352
都立城東職業能力開発センター,東京都 足立区綾瀬五丁目6番1号,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.824588,35.767261
都立城東職業能力開発センター,東京都 足立区綾瀬五丁目6番1号,4F,４階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.824537,35.767262
舎人公園,東京都 足立区皿沼三丁目33番,1F,10号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.767826,35.794784
舎人公園,東京都 足立区古千谷二丁目,1F,11号トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.77204,35.800631
舎人公園,東京都 足立区古千谷二丁目,1F,12号トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.771196,35.799974
舎人公園,東京都 足立区古千谷二丁目,1F,13号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.773451,35.799699
舎人公園,東京都 足立区古千谷二丁目,1F,14号トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.774574,35.800413
舎人公園,東京都 足立区舎人公園一丁目,1F,15号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.769753,35.799748
舎人公園,東京都 足立区古千谷一丁目,1F,16号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.764611,35.796465
舎人公園,東京都 足立区古千谷一丁目,1F,17号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.774384,35.794919
舎人公園,東京都 足立区舎人公園一丁目,1F,1号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.768547,35.799497
舎人公園,東京都 足立区舎人公園1番地1号,1F,2号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.770927,35.795524
舎人公園,東京都 足立区舎人公園1番地1号,1F,3号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.766832,35.796626
舎人公園,東京都 足立区舎人公園1番地1号,1F,4号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.769813,35.801426
舎人公園,東京都 足立区舎人公園一丁目,1F,5号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.769233,35.797803
舎人公園,東京都 足立区古千谷一丁目,1F,6号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.77184,35.798241
舎人公園,東京都 足立区古千谷二丁目,1F,7号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.774699,35.798927
舎人公園,東京都 足立区西伊興三丁目16番,1F,8号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.775658,35.798419
舎人公園,東京都 足立区古千谷一丁目,1F,9号トイレ（女性用）,設備: 車椅子対応,#00cc00,139.773296,35.796122
舎人公園,東京都 足立区古千谷一丁目,1F,9号トイレ（男性用）,設備: 車椅子対応,#00cc00,139.773293,35.796158
舎人公園,東京都 足立区古千谷一丁目,1F,BBQ場,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.770558,35.795269
舎人公園,東京都 足立区舎人公園一丁目,1F,サービスセンター内トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.768433,35.797023
舎人公園,東京都 足立区古千谷二丁目,1F,売店,"設備: オストメイト対応, おむつ交換台",#00cc00,139.773746,35.801123
