name,address,floor,toilet_name,note,color,lng,lat
北都税事務所,東京都 北区中十条一丁目7番8号,B1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.729056,35.758247
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,1F,体育館女子トイレ横多機能トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.724016,35.753722
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,1F,体育館男子トイレ横多機能トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.72393,35.753781
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,1F,プール多機能トイレ,設備: 車椅子対応,#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,2F,２階多機能トイレ１,"設備: 車椅子対応, オストメイト対応",#00cc00,139.723976,35.753783
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,2F,２階多機能トイレ２,設備: 車椅子対応,#00cc00,139.723953,35.75378
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,2F,２階多機能トイレ３,"設備: 車椅子対応, おむつ交換台",#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,B1F,B1F多機能トイレ,設備: 車椅子対応,#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (増築棟),東京都 北区十条台１−２−２,1F,増築棟1階男子トイレ側多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.723975,35.75374
東京都障害者総合スポーツセンター (増築棟),東京都 北区十条台１−２−２,1F,増築棟１階女子トイレ側多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (増築棟),東京都 北区十条台１−２−２,2F,増築棟２階男子トイレ側多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (増築棟),東京都 北区十条台１−２−２,2F,増築棟２階女子トイレ側多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.724052,35.753669
東京都障害者総合スポーツセンター (本館),東京都 北区十条台１−２−２,2F,宿泊棟トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.723865,35.753802
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,1F,1階外来トイレ1,設備: 車椅子対応,#00cc00,139.723354,35.753863
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,1F,1階外来トイレ2,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.723279,35.753864
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,1F,1階検査室トイレ,設備: 車椅子対応,#00cc00,139.72285,35.754122
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,1F,1階指導科トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.722969,35.754578
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,2F,2階訓練科トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.722976,35.754519
東京都立北療育医療センター,東京都 北区十条台一丁目2番3号,2F,2階事務室トイレ,設備: 車椅子対応,#00cc00,139.722999,35.754129
浮間公園,東京都 北区浮間二丁目31番,1F,第1号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.694206,35.793531
浮間公園,東京都 北区浮間二丁目31番,1F,第2号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.693414,35.791443
旧古河庭園,東京都 北区西ケ原一丁目27番39号,1F,第1号多目的トイレ,"有料公園につき、開園時間のみ、入園者のみ利用可 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.746816,35.742862
東京都水道局北営業所,東京都 北区赤羽台三丁目3番21号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.717333,35.780821
赤羽消防署,東京都 北区赤羽南一丁目10番4号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.723098,35.777748
赤羽消防署　志茂出張所,東京都 北区神谷三丁目１１番２２号,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.732699,35.77522
東京都北区役所第一庁舎,東京都 北区王子本町一丁目15番22号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.733372,35.752857
北区役所第三庁舎,東京都 北区王子本町一丁目4番14号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.733876,35.752454
東京都北区役所第二庁舎,東京都 北区王子本町一丁目2番11号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.735163,35.752656
東京都北区役所第五庁舎,東京都 北区王子本町一丁目16番8号,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.734655,35.752956
東京都北区役所別館,東京都 北区王子本町一丁目11番9号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.732907,35.752948
