name,address,floor,toilet_name,note,color,lng,lat
江東都税事務所 (江東合同庁舎),東京都 江東区大島三丁目1番3号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.827642,35.689993
東京都計量検定所,東京都 江東区新砂三丁目3番41号,1F,１階多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.830941,35.665178
東京都計量検定所,東京都 江東区新砂三丁目3番41号,2F,２階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.830941,35.665178
東京都計量検定所,東京都 江東区新砂三丁目3番41号,3F,３階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.830941,35.665178
東京都計量検定所,東京都 江東区新砂三丁目3番41号,4F,４階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.83101,35.665397
東京都現代美術館,東京都 江東区三好4丁目1番地1号,B2F,多目的トイレ[B2-企画],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.808457,35.679556
東京都現代美術館,東京都 江東区三好4丁目1番地1号,B2F,多目的トイレ[B2-講堂],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808202,35.679491
東京都現代美術館,東京都 江東区三好4丁目1番地1号,B1F,多目的トイレ[B1-図書室前],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808832,35.67955
東京都現代美術館,東京都 江東区三好4丁目1番地1号,1F,多目的トイレ[1-ホワイエ],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808619,35.679814
東京都現代美術館,東京都 江東区三好4丁目1番地1号,1F,多目的トイレ[1-常設],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808713,35.679605
東京都現代美術館,東京都 江東区三好4丁目1番地1号,2F,多目的トイレ[2-企画],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.808286,35.679579
東京都現代美術館,東京都 江東区三好4丁目1番地1号,3F,多目的トイレ[3-常設],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808652,35.679595
東京都現代美術館,東京都 江東区三好4丁目1番地1号,1F,多目的トイレ[1-事務棟],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808583,35.679991
東京都現代美術館,東京都 江東区三好4丁目1番地1号,2F,多目的トイレ[2-事務棟],"※休館日/月曜日、月曜が祝日の場合はその翌日（ただし、2020/5/4は開館） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.808524,35.680043
