name,address,floor,toilet_name,note,color,lng,lat
東京都人権プラザ (芝256スクエアビル1・2階),東京都 港区芝二丁目5番6号,1F,多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.751659,35.652592
アジュール竹芝,東京都 港区海岸一丁目11番2号,12F,１２階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763164,35.655244
アジュール竹芝,東京都 港区海岸一丁目11番2号,13F,１３階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763372,35.655349
アジュール竹芝,東京都 港区海岸一丁目11番2号,14F,１４階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763372,35.655349
アジュール竹芝,東京都 港区海岸一丁目11番2号,15F,１５階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763372,35.655349
アジュール竹芝,東京都 港区海岸一丁目11番2号,16F,１６階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.763372,35.655349
アジュール竹芝,東京都 港区海岸一丁目11番2号,18F,１８階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763418,35.655362
アジュール竹芝,東京都 港区海岸一丁目11番2号,21F,２１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763441,35.655379
アジュール竹芝,東京都 港区海岸一丁目11番2号,3F,３階だれでもトイレ,設備: 車椅子対応,#00cc00,139.763122,35.655258
アジュール竹芝,東京都 港区海岸一丁目11番2号,4F,４階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.763122,35.655258
港都税事務所,東京都 港区麻布台三丁目5番6号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.740212,35.659957
港都税事務所,東京都 港区麻布台三丁目5番6号,8F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.740205,35.660015
東京都庭園美術館,東京都 港区白金台5-21-9,1F,本館,"※休館日/月曜日、月曜が祝日の場合はその翌日 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.719407,35.637014
東京都庭園美術館,東京都 港区白金台5-21-9,1F,新館,"※休館日/月曜日、月曜が祝日の場合はその翌日 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.718617,35.636921
東京都庭園美術館,東京都 港区白金台5-21-9,1F,レストラン外,"※休館日/月曜日、月曜が祝日の場合はその翌日 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.720403,35.635675
東京都庭園美術館,東京都 港区白金台5-21-9,1F,レストラン内,"※休館日/月曜日、月曜が祝日の場合はその翌日 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.720403,35.635675
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,1F,１階北側奥トイレ,設備: 車椅子対応,#00cc00,139.748339,35.648617
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,1F,１階北側手前トイレ,設備: 車椅子対応,#00cc00,139.748524,35.648591
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,1F,１階北側真ん中トイレ,設備: 車椅子対応,#00cc00,139.748457,35.648599
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,2F,２階南側トイレ,設備: 車椅子対応,#00cc00,139.748422,35.648146
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,2F,２階北側奥トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.748352,35.648609
東京都障害者福祉会館,東京都 港区芝五丁目18番2号,2F,２階北側手前トイレ,設備: 車椅子対応,#00cc00,139.748413,35.648604
東京都立産業貿易センター浜松町館,東京都 港区海岸一丁目７番1号,2F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760688,35.654622
東京都立産業貿易センター浜松町館,東京都 港区海岸一丁目７番1号,3F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760688,35.654622
東京都立産業貿易センター浜松町館,東京都 港区海岸一丁目７番1号,4F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760688,35.654622
東京都立産業貿易センター浜松町館,東京都 港区海岸一丁目７番1号,5F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760688,35.654622
東京都中央卸売市場食肉市場 (センタービル),東京都 港区港南二丁目7番19号,6F,センタービル西側,※休館日/土曜日・日曜日・祝日・年末年始 | 設備: 車椅子対応,#00cc00,139.7436,35.627986
東京都中央卸売市場食肉市場 (センタービル),東京都 港区港南二丁目7番19号,6F,センタービル西側,※休館日/土曜日・日曜日・祝日・年末年始 | 設備: 車椅子対応,#00cc00,139.743626,35.627984
芝公園,東京都 港区芝公園二丁目7番2号,1F,15号地多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.750275,35.654422
芝公園,東京都 港区芝公園四丁目3番,1F,19号地多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.746127,35.65723
芝公園,東京都 港区芝公園一丁目4番,1F,6号地多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.750903,35.659263
青山霊園,東京都 港区南青山二丁目32番2号,1F,管理事務所横多目的トイレ,"12/28〜1/3の期間は、管理所が閉所しているため使用不可。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.720988,35.668507
青山霊園,東京都 港区南青山二丁目34番地,1F,青山墓地中央交差点角多目的トイレ,12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応,#00cc00,139.722604,35.66485
青山霊園,東京都 港区南青山四丁目28番地,1F,立山墓地階段上多目的トイレ,"12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.719382,35.6637
青山霊園,東京都 港区南青山二丁目35番,1F,南中央入口脇多目的トイレ,"12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.723175,35.662118
旧芝離宮恩賜庭園,東京都 港区海岸一丁目4番1号,1F,入り口近く多目的トイレ,"※休園日／年末年始（12/29〜1/1） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.758223,35.656008
お台場海浜公園,東京都 港区台場一丁目,1F,テラス,"設備: 車椅子対応, おむつ交換台",#00cc00,139.777789,35.631043
お台場海浜公園,東京都 港区台場一丁目,1F,マリンハウス,"設備: 車椅子対応, おむつ交換台",#00cc00,139.775452,35.630018
