name,address,floor,toilet_name,note,color,lng,lat
駒沢オリンピック公園総合運動場陸上競技場,東京都 世田谷区駒沢公園1番地1号,1F,車椅子使用者対応トイレ,こちらはトレーニングルームをご利用いただく方にお使いいただけます | 設備: 車椅子対応,#00cc00,139.66438,35.625688
駒沢オリンピック公園総合運動場陸上競技場,東京都 世田谷区駒沢公園1番地1号,1F,事務所前だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.663869,35.624802
公益財団法人東京都医学総合研究所,東京都 世田谷区上北沢二丁目1番6号,1F,1階エレベータホール車椅子便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.622374,35.663882
公益財団法人東京都医学総合研究所,東京都 世田谷区上北沢二丁目1番6号,2F,2階エレベータホール車椅子便所,設備: 車椅子対応,#00cc00,139.622374,35.663882
公益財団法人東京都医学総合研究所,東京都 世田谷区上北沢二丁目1番6号,3F,3階エレベータホール車椅子便所,設備: 車椅子対応,#00cc00,139.622374,35.663882
公益財団法人東京都医学総合研究所,東京都 世田谷区上北沢二丁目1番6号,4F,4階エレベータホール車椅子便所,設備: 車椅子対応,#00cc00,139.62239,35.663907
地方独立行政法人東京都立病院機構　東京都立松沢病院,東京都 世田谷区上北沢二丁目1番1号,1F,本館1階　精神外来横トイレ（だれでもトイレ）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.619963,35.668525
地方独立行政法人東京都立病院機構　東京都立松沢病院,東京都 世田谷区上北沢二丁目1番1号,1F,本館１階精神外来横トイレ（だれでもトイレ）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.619954,35.66857
駒沢オリンピック公園,東京都 世田谷区駒沢公園1番地1号,1F,1号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.658872,35.625221
駒沢オリンピック公園,東京都 世田谷区駒沢公園1番地1号,1F,2号多目的トイレ,設備: 車椅子対応,#00cc00,139.657965,35.627743
駒沢オリンピック公園,東京都 世田谷区駒沢公園1番地1号,1F,5号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.663621,35.62396
駒沢オリンピック公園,東京都 世田谷区駒沢公園1番地1号,1F,6号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.661016,35.626198
駒沢オリンピック公園,東京都 世田谷区駒沢公園1番地1号,1F,7号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.656623,35.625286
蘆花恒春園,東京都 世田谷区粕谷一丁目20番地,1F,さくらのトイレ多目的トイレ,"平成31年3月14日PMより開放 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.613085,35.661144
蘆花恒春園,東京都 世田谷区粕谷一丁目20番,1F,環八側多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.613291,35.662429
蘆花恒春園,東京都 世田谷区粕谷一丁目20番1号,1F,恒春園多目的トイレ,設備: 車椅子対応,#00cc00,139.611121,35.662514
祖師谷公園,東京都 世田谷区上祖師谷三丁目22番,1F,ゲートボール場横多目的トイレ,設備: 車椅子対応,#00cc00,139.599234,35.6548
祖師谷公園,東京都 世田谷区上祖師谷三丁目22番,1F,運動広場横多目的トイレ,設備: 車椅子対応,#00cc00,139.599839,35.656446
祖師谷公園,東京都 世田谷区上祖師谷四丁目1番,1F,入口広場横,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.598191,35.653681
砧公園,東京都 世田谷区砧公園1番地1号,1F,10号トイレ多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.622967,35.63135
砧公園,東京都 世田谷区砧公園1番地1号,1F,1号多目的トイレ,設備: 車椅子対応,#00cc00,139.621808,35.628608
砧公園,東京都 世田谷区砧公園1番地1号,1F,4号トイレ多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.619513,35.629907
砧公園,東京都 世田谷区砧公園1番地1号,1F,5号トイレ多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.61714,35.632965
砧公園,東京都 世田谷区砧公園1番地1号,1F,えのきのトイレ多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.618641,35.630964
