name,address,floor,toilet_name,note,color,lng,lat
墨田都税事務所,東京都 墨田区業平一丁目7番4号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.809143,35.70787
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,1F,エレベータ側,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7957,35.69647
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,1F,外裏側,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.7958,35.69691
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,1F,救護室側,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7958,35.69665
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,3F,チケット売場横,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7957,35.69677
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,5F,5階西側エスカレータ横,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7956,35.69675
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,5F,案内所裏側,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7958,35.69627
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,5F,東側水飲み処横,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7965,35.69623
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,6F,6階西側エスカレータ横,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7957,35.69676
東京都江戸東京博物館,東京都 墨田区横網一丁目4番1号,7F,和食処前,"大規模改修の為、令和４年４月１日〜令和７年度中（予定）まで休館中。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7956,35.69639
地方独立行政法人東京都立病院機構　東京都立墨東病院 (病棟),東京都 墨田区江東橋四丁目23番15号,1F,１階多目的トイレ,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.818952,35.694554
東白鬚公園,東京都 墨田区堤通二丁目2番2号,1F,公園中央トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.813864,35.733624
東白鬚公園,東京都 墨田区堤通二丁目2番2号,1F,公園南トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.811966,35.72915
東白鬚公園,東京都 墨田区堤通二丁目2番1号,1F,公園北トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.81688,35.737694
横網町公園,東京都 墨田区横網二丁目3番25号,1F,復興記念館便所,"2019年2月1日から2月28日は工事のため閉館 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.796874,35.699951
横網町公園,東京都 墨田区横網二丁目3番25号,1F,西門トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.795551,35.699272
向島百花園,東京都 墨田区東向島三丁目18番3号,1F,入口横トイレ,"通常虫聞きの会は8月最終週の木〜日4日間、月見の会は中秋の名月とその前後1日の3日間実施 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.815271,35.724189
向島百花園,東京都 墨田区東向島三丁目18番3号,1F,児童遊園,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.815293,35.724158
都営浅草線本所吾妻橋駅,東京都 墨田区吾妻橋三丁目7番16号先,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.804465,35.708358
都営浅草線本所吾妻橋駅,東京都 墨田区吾妻橋三丁目7番16号先（南行コンコース）,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.804475,35.708419
都営新宿線菊川駅,東京都 墨田区菊川三丁目16番2号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.80556,35.688422
都営大江戸線両国駅,東京都 墨田区横網一丁目4番29号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.797477,35.696873
東京都水道局墨田営業所 (東京都水道局墨田営業所庁舎),東京都 墨田区千歳二丁目2番11号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.795839,35.690458
本所消防署錦糸町出張所,東京都 墨田区江東橋一丁目16番5号,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.8098216,35.69609471
墨田区役所,東京都 墨田区吾妻橋一丁目23番20号,12F,１２階車いす対応トイレ,第２・第４日曜日は一部開館　祝日、年末年始は休館 | 設備: 車椅子対応,#00cc00,139.801307,35.710644
墨田区役所,東京都 墨田区吾妻橋一丁目23番20号,15F,１５階車いす対応トイレ,第２・第４日曜日は一部開館　祝日、年末年始は休館 | 設備: 車椅子対応,#00cc00,139.801307,35.710644
