name,address,floor,toilet_name,note,color,lng,lat
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,男女共用トイレ,設備: 車椅子対応,#00cc00,139.855166,35.643447
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,オストメイト対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.855203,35.643472
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,乳幼児対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.855265,35.643465
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,車いす対応トイレ,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.855172,35.64347
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,広めのトイレ,設備: 車椅子対応,#00cc00,139.85517,35.643381
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,1F,広めのトイレ,設備: 車椅子対応,#00cc00,139.855207,35.643592
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,2F,車いす対応トイレ,設備: 車椅子対応,#00cc00,139.855304,35.643437
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,2F,男女共用トイレ,,#00cc00,139.855345,35.643434
カヌー・スラロームセンター,東京都 江戸川区臨海町６丁目１番１号,2F,男女共用トイレ,,#00cc00,139.855331,35.643434
城東職業能力開発センター江戸川校,東京都 江戸川区中央二丁目31番27号,3F,3階南側だれでもトイレ,設備: 車椅子対応,#00cc00,139.874953,35.706681
城東職業能力開発センター江戸川校,東京都 江戸川区中央二丁目31番27号,4F,4階南側だれでもトイレ,設備: 車椅子対応,#00cc00,139.874953,35.706681
城東職業能力開発センター江戸川校,東京都 江戸川区中央二丁目31番27号,5F,5階南側だれでもトイレ,設備: 車椅子対応,#00cc00,139.874953,35.706681
篠崎公園,東京都 江戸川区上篠崎一丁目地内,1F,0号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.895835,35.715528
