name,address,floor,toilet_name,note,color,lng,lat
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,1号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.808731,35.736681
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,2号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.811066,35.736064
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,3号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.8134,35.737219
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,4号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.812098,35.739472
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,5号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.812982,35.737716
汐入公園,東京都 荒川区南千住八丁目13番1号,1F,管理棟内トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.809715,35.736584
尾久の原公園,東京都 荒川区東尾久七丁目1番,1F,中央トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.776688,35.750785
尾久の原公園,東京都 荒川区東尾久七丁目1番,1F,尾久の原公園北側トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7758157,35.75272284
尾久の原公園,東京都 荒川区東尾久七丁目1番,1F,尾久の原公園北側男性用トイレ,設備: 車椅子対応,#00cc00,139.7758157,35.75272284
尾久の原公園,東京都 荒川区東尾久七丁目1番,1F,尾久の原公園北側女性用トイレ,設備: 車椅子対応,#00cc00,139.7758157,35.75272284
日暮里・舎人ライナー日暮里駅,東京都 荒川区西日暮里二丁目19番2号,2F,だれでもトイレB,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.771613,35.729413
日暮里・舎人ライナー日暮里駅,東京都 荒川区西日暮里二丁目19番2号,3F,だれでもトイレA,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.77097,35.728776
日暮里・舎人ライナー西日暮里駅,東京都 荒川区西日暮里五丁目31番7号,2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.768082,35.73379
日暮里・舎人ライナー赤土小学校前駅,東京都 荒川区東尾久四丁目7番7号,2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.769036,35.742881
日暮里・舎人ライナー熊野前駅,東京都 荒川区東尾久三丁目37番6号,2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.769847,35.748317
東京都水道局東部第二支所,東京都 荒川区南千住六丁目40番1号,1F,１階東側車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.794079,35.738232
荒川区役所本庁舎,東京都 荒川区荒川二丁目2番3号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.783303,35.736144
荒川区役所本庁舎,東京都 荒川区荒川二丁目2番3号,6F,6階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.783303,35.736144
日暮里地域活性化施設（ふらっとにっぽり） (日暮里地域活性化施設（ふらっとにっぽり）),東京都 荒川区東日暮里六丁目17番6号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.777413,35.728931
日暮里地域活性化施設（ふらっとにっぽり） (日暮里地域活性化施設（ふらっとにっぽり）),東京都 荒川区東日暮里六丁目17番6号,3F,3階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.777394,35.729024
石浜ふれあい館,東京都 荒川区南千住三丁目28番2号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.806405,35.731328
南千住ふれあい館,東京都 荒川区南千住六丁目36番13号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.791054,35.738246
汐入ふれあい館,東京都 荒川区南千住八丁目2番2号,2F,２階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.806996,35.734643
峡田ふれあい館,東京都 荒川区荒川三丁目3番10号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.784224,35.733772
荒川山吹ふれあい館,東京都 荒川区荒川七丁目6番8号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.783902,35.742635
町屋ふれあい館,東京都 荒川区町屋一丁目35番8号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.785876,35.744143
荒木田ふれあい館,東京都 荒川区町屋六丁目13番2号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.783345,35.750408
西尾久ふれあい館,東京都 荒川区西尾久八丁目33番31号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.753308,35.751579
尾久ふれあい館,東京都 荒川区西尾久二丁目25番13号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.763315,35.750118
東日暮里ふれあい館,東京都 荒川区東日暮里一丁目17番13号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.789886,35.729757
夕やけこやけふれあい館,東京都 荒川区東日暮里三丁目11番19号,3F,３階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.781425,35.729938
西日暮里ふれあい館,東京都 荒川区西日暮里六丁目24番4号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.770781,35.736316
東尾久本町通りふれあい館,東京都 荒川区東尾久二丁目37番14号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.771375,35.744691
ひぐらしふれあい館,東京都 荒川区東日暮里六丁目28番15号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.776028,35.73307
荒川区役所北庁舎,東京都 荒川区荒川二丁目11番1号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.783407,35.737082
がん予防・健康づくりセンター,東京都 荒川区荒川二丁目11番1号,1F,１階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.783731,35.736785
がん予防・健康づくりセンター,東京都 荒川区荒川二丁目11番1号,2F,２階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.783731,35.736785
荒川区立南千住図書館 (荒川ふるさと文化館・南千住図書館),東京都 荒川区南千住六丁目63番1号,2F,バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.795471,35.737235
荒川区立尾久図書館,東京都 荒川区東尾久八丁目45番4号,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.765919,35.750608
荒川区立尾久図書館,東京都 荒川区東尾久八丁目45番4号,2F,多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.765919,35.750608
荒川区立町屋図書館,東京都 荒川区町屋五丁目11番18号,2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.779006,35.75143
荒川区立日暮里図書館,東京都 荒川区東日暮里六丁目38番4号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.77507,35.731195
荒川区立日暮里図書館,東京都 荒川区東日暮里六丁目38番4号,2F,2階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.77507,35.731195
荒川区立日暮里図書館,東京都 荒川区東日暮里六丁目38番4号,B1F,地下1階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.77507,35.731195
荒川区立冠新道図書サービスステーション,東京都 荒川区西日暮里六丁目25番14号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.770724,35.736868
荒川区立ゆいの森あらかわ,東京都 荒川区荒川二丁目50番1号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783954,35.739418
荒川区立ゆいの森あらかわ,東京都 荒川区荒川二丁目50番1号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783954,35.739418
荒川区立ゆいの森あらかわ,東京都 荒川区荒川二丁目50番1号,3F,３階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.783954,35.739418
荒川区立ゆいの森あらかわ,東京都 荒川区荒川二丁目50番1号,4F,４階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.783954,35.739418
