name,address,floor,toilet_name,note,color,lng,lat
東村山構内屋外トイレ,東京都 東村山市青葉町一丁目7番1号,1F,東村山構内屋外トイレ,設備: 車椅子対応,#00cc00,139.492124,35.76149
地方独立行政法人東京都立病院機構　東京都立多摩北部医療センター,東京都 東村山市青葉町一丁目7番1号,1F,1階外来身障者用トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.493144,35.760727
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第1号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.456941,35.748306
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第2号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.458285,35.748598
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第3号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.459982,35.747949
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第5号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.461727,35.746824
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第6号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.462797,35.745393
東村山中央公園,東京都 東村山市富士見町五丁目,1F,第7号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.46041,35.746425
狭山公園,東京都 東村山市多摩湖町三丁目15番地,1F,第2号多目的トイレ,"24時間 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.442292,35.763785
狭山公園,東京都 東村山市多摩湖町三丁目18番地,1F,第4号多目的トイレ,"24時間 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.440816,35.760989
八国山緑地,東京都 東村山市多摩湖町四丁目30番地,1F,西入口広場多目的トイレ,"24時間 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.450448,35.768369
八国山緑地,東京都 東村山市諏訪町三丁目19番地,1F,第1号多目的トイレ,"24時間 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.453209,35.76661
小平霊園,東京都 東村山市萩山町一丁目16番,1F,第1号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.485298,35.739773
小平霊園,東京都 東村山市萩山町五丁目10番,1F,第2号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.482579,35.741954
小平霊園,東京都 東村山市萩山町五丁目8番,1F,第3号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.478914,35.745432
小平霊園,東京都 東村山市萩山町五丁目9番,1F,第4号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.483296,35.745348
東村山市役所本庁舎,東京都 東村山市本町一丁目2番3号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.468509,35.754641
東村山市役所いきいきプラザ,東京都 東村山市本町一丁目2番3号,1F,1階西側車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.468058,35.754234
東村山市役所いきいきプラザ,東京都 東村山市本町一丁目2番3号,1F,1階東側車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.468282,35.754236
東村山市役所いきいきプラザ,東京都 東村山市本町一丁目2番3号,2F,2階東側車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.468282,35.754236
東村山市役所いきいきプラザ,東京都 東村山市本町一丁目2番3号,3F,3階東側車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.468282,35.754236
東村山市役所いきいきプラザ,東京都 東村山市本町一丁目2番3号,4F,4階東側車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.468282,35.754236
東村山市役所市民センター,東京都 東村山市本町一丁目1番1号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.467951,35.755274
東村山市立中央公民館,東京都 東村山市本町二丁目33番2号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.46698,35.759886
東村山市立中央公民館,東京都 東村山市本町二丁目33番2号,2F,2階車椅子使用者対応トイレ,"マイケーンでの誘導はあり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.46698,35.759886
東村山市立中央公民館,東京都 東村山市本町二丁目33番2号,3F,3階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.46698,35.759886
東村山市立中央公民館,東京都 東村山市本町二丁目33番2号,4F,4階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.46698,35.759886
東村山市立萩山公民館 (都営東村山萩山2丁目アパート5号棟萩山文化センター内),東京都 東村山市萩山町二丁目13番1号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.477704,35.742202
東村山市立廻田公民館,東京都 東村山市廻田町四丁目19番1号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.452116,35.759742
東村山市立秋津公民館,東京都 東村山市秋津町二丁目17番10号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.486358,35.770958
東村山市立秋津公民館,東京都 東村山市秋津町二丁目17番10号,2F,2階車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.486358,35.770958
東村山市立富士見文化センター (東村山市立富士見文化センター),東京都 東村山市富士見町五丁目4番51号,1F,1階いこいの家内車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.462819,35.746511
東村山市立富士見文化センター (東村山市立富士見文化センター),東京都 東村山市富士見町五丁目4番51号,1F,1階北側車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.462968,35.746769
東村山市立富士見文化センター (東村山市立富士見文化センター),東京都 東村山市富士見町五丁目4番51号,2F,2階南側車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.462999,35.746448
東村山市立社会福祉センター,東京都 東村山市諏訪町一丁目３番地10,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.466698,35.765483
東村山市立中央図書館,東京都 東村山市本町本町一丁目1番10号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.468322,35.755318
東村山市立富士見図書館,東京都 東村山市富士見町一丁目7番35号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.461182,35.743933
東村山市立萩山図書館,東京都 東村山市萩山町二丁目13番1号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.477817,35.742153
東村山市立秋津図書館,東京都 東村山市秋津町二丁目17番10号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.486629,35.771146
南台公園,東京都 東村山市富士見町一丁目2番49号,1F,南台公園,設備: 車椅子対応,#00cc00,139.458727,35.74153
萩山公園,東京都 東村山市萩山町三丁目27番地,1F,萩山公園,設備: 車椅子対応,#00cc00,139.475725,35.742213
天王森公園,東京都 東村山市本町三丁目45番地,1F,天王森公園,設備: 車椅子対応,#00cc00,139.469471,35.755203
北山公園,東京都 東村山市野口町四丁目50番地,1F,北山公園,設備: 車椅子対応,#00cc00,139.459497,35.766375
美住町1丁目第3仲よし広場,東京都 東村山市美住町一丁目4番16号,1F,美住町1丁目第3仲よし広場,設備: 車椅子対応,#00cc00,139.464142,35.750135
野火止広場,東京都 東村山市栄町三丁目14番1号,1F,野火止広場,設備: 車椅子対応,#00cc00,139.469062,35.746586
萩山四季の森公園,東京都 東村山市萩山町三丁目28番地,1F,萩山四季の森公園,設備: 車椅子対応,#00cc00,139.474233,35.743209
平和塔公園,東京都 東村山市本町１−13−2,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.466632,35.754609
