name,address,floor,toilet_name,note,color,lng,lat
神津島前浜園地,東京都 神津島村1745番地1,1F,前浜園地（ツマリ）だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.13313,34.202029
神津島前浜園地,東京都 神津島村1745番地1,1F,前浜園地（ヘビ沢）だれでもトイレ,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.13311,34.202014
神津島村沢尻園地,東京都 神津島村字沢尻123番地他,1F,沢尻園地だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.133355,34.216757
神津島村長浜園地,東京都 神津島村字長浜1番地他,1F,長浜園地だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.137846,34.228081
神津島空港ターミナルビル,東京都 神津島村字金長,1F,神津島空港ターミナルビルだれでもトイレ,"おむつ交換台は授乳室にあり。（設備更新はないが、昨年度参考データの誤りを赤字で修正した。） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.13464,34.190219
神津島港船客待合所,東京都 神津島村37番地2号地先,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.131865,34.207914
神津島港船客待合所,東京都 神津島村37番地2号地先,2F,２階だれでもトイレ,設備: 車椅子対応,#00cc00,139.131865,34.207914
三浦漁港船客待合所,東京都 神津島村字榎木が沢,1F,女子だれでもトイレ,設備更新はないが、昨年度参考データの誤りを赤字で修正した。 | 設備: 車椅子対応,#00cc00,139.153907,34.202204
三浦漁港船客待合所,東京都 神津島村字榎木が沢,1F,男子だれでもトイレ,設備: 車椅子対応,#00cc00,139.153884,34.202175
三浦漁港便所,東京都 神津島村字船戸ケ沢,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.152874,34.200618
赤崎公衆トイレ,東京都 神津島村字赤崎,1F,赤崎公衆トイレ,設備: 車椅子対応,#00cc00,139.137718,34.239976
