name,address,floor,toilet_name,note,color,lng,lat
山のふるさと村,東京都 西多摩郡奥多摩町川野1740番地,1F,山のふるさと村便所,"年末年始（12月29日〜1月3日）は休館 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.023641,35.766268
山のふるさと村ビジターセンター,東京都 西多摩郡奥多摩町川野1740番地,1F,山のふるさと村ビジターセンター便所,年末年始（12月29日〜1月3日）は休館 | 設備: 車椅子対応,#00cc00,139.022978,35.766743
大麦代園地,東京都 西多摩郡奥多摩町原,1F,大麦代園地便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.043052,35.790067
鳩ノ巣園地,東京都 西多摩郡奥多摩町,1F,鳩ノ巣便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.127301,35.813453
峰谷駐車場,東京都 西多摩郡奥多摩町川野,1F,峰谷園地便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.01599,35.780043
奥多摩ビジターセンター,東京都 西多摩郡奥多摩町氷川171番地1号,1F,奥多摩ビジターセンター便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応,#00cc00,139.097618,35.808425
留浦駐車場,東京都 西多摩郡奥多摩町留浦,1F,留浦駐車場便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,138.989773,35.778116
奥多摩　水と緑のふれあい館,東京都 西多摩郡奥多摩町原5番地,1F,ふれあい館車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.048288,35.792875
奥多摩消防署,東京都 西多摩郡奥多摩町氷川952番地,1F,多機能トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.092617,35.804249
奥多摩町役場,東京都 西多摩郡奥多摩町氷川215番地6,1F,１階オストメイト対応型トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.096229,35.809522
奥多摩町役場,東京都 西多摩郡奥多摩町氷川215番地6,B1F,地下１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.096229,35.809522
奥多摩町保健福祉センター,東京都 西多摩郡奥多摩町氷川1111番地,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.088697,35.800332
奥多摩町保健福祉センター,東京都 西多摩郡奥多摩町氷川1111番地,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.088697,35.800332
奥多摩町子ども家庭支援センター,東京都 西多摩郡奥多摩町小丹波108番地,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.149358,35.815316
奥多摩町子ども家庭支援センター,東京都 西多摩郡奥多摩町小丹波108番地,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.149358,35.815316
奥多摩町福祉会館,東京都 西多摩郡奥多摩町氷川199番地,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.097299,35.808679
奥多摩町福祉会館,東京都 西多摩郡奥多摩町氷川199番地,2F,2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.097299,35.808679
奥多摩文化会館,東京都 西多摩郡奥多摩町小丹波82番地,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.149975,35.815396
奥多摩文化会館,東京都 西多摩郡奥多摩町小丹波82番地,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.149975,35.815396
大丹波釣場観光トイレ,東京都 西多摩郡奥多摩町大丹波114番地,1F,大丹波釣場観光トイレ,設備: 車椅子対応,#00cc00,139.164613,35.827115
丹三郎直売所観光トイレ,東京都 西多摩郡奥多摩町丹三郎4番地,1F,丹三郎直売所観光トイレ,設備: 車椅子対応,#00cc00,139.162667,35.808174
古里駅前観光トイレ,東京都 西多摩郡奥多摩町小丹波501番地,1F,古里駅前観光トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.15217,35.816179
鳩ノ巣駐車場観光トイレ,東京都 西多摩郡奥多摩町棚澤409番地,1F,鳩ノ巣駐車場観光トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.127954,35.815021
氷川駐車場観光トイレ,東京都 西多摩郡奥多摩町氷川703番地ロ,1F,氷川駐車場観光トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.098749,35.80686
奥多摩駅前観光トイレ,東京都 西多摩郡奥多摩町氷川210番地,1F,奥多摩駅前観光トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.09695,35.809066
奥多摩駅前観光トイレ,東京都 西多摩郡奥多摩町氷川210番地,1F,奥多摩駅前観光トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.09695,35.809066
日原売店横観光トイレ,東京都 西多摩郡奥多摩町日原1052番地,1F,日原売店横観光トイレ,設備: 車椅子対応,#00cc00,139.0402,35.851188
白丸魚道観光トイレ,東京都 西多摩郡奥多摩町白丸1番地,1F,白丸魚道観光トイレ,設備: 車椅子対応,#00cc00,139.123391,35.811431
大沢駐車場観光トイレ,東京都 西多摩郡奥多摩町氷川2241番地3,1F,大沢駐車場観光トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.076691,35.824431
