name,address,floor,toilet_name,note,color,lng,lat
野山北・六道山公園,東京都 西多摩郡瑞穂町大字駒形富士山196号,1F,駒形富士山便所,"24時間 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.354024,35.779047
野山北・六道山公園,東京都 西多摩郡瑞穂町大字高根407番地2号,1F,高根便所,"24時間 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.364518,35.782607
野山北・六道山公園,東京都 西多摩郡瑞穂町大字石畑2235番地外,1F,石畑便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.359213,35.772096
野山北・六道山公園,東京都 西多摩郡瑞穂町大字石畑2150番地先,1F,夕日台便所,"24時間 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.358433,35.770903
野山北・六道山公園,東京都 西多摩郡瑞穂町大字石畑2355番地3号,1F,六道山便所,"24時間 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.368439,35.774866
瑞穂町役場（本庁舎）,東京都 西多摩郡瑞穂町大字箱根ケ崎2335番地,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.354258,35.772046
瑞穂町役場（本庁舎）,東京都 西多摩郡瑞穂町大字箱根ケ崎2335番地,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.354258,35.772047
瑞穂町役場（本庁舎）,東京都 西多摩郡瑞穂町大字箱根ケ崎2335番地,3F,３階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.354257,35.772047
瑞穂町役場（本庁舎）,東京都 西多摩郡瑞穂町大字箱根ケ崎2335番地,4F,４階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.354258,35.772047
瑞穂町町民会館,東京都 西多摩郡瑞穂町大字石畑1875番地5,1F,瑞穂町町民会館１階だれでもトイレ,平日の19時以降、土日祝日は会館の利用者がいる場合のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応,#00cc00,139.354758,35.771695
瑞穂町町民会館,東京都 西多摩郡瑞穂町大字石畑1875番地5,2F,瑞穂町町民会館２階女子トイレ,平日の19時以降、土日祝日は会館の利用者がいる場合のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応,#00cc00,139.354883,35.771688
元狭山コミュニティセンター,東京都 西多摩郡瑞穂町大字二本木673番地1,1F,１階東側だれでもトイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.35552,35.790981
元狭山コミュニティセンター,東京都 西多摩郡瑞穂町大字二本木673番地1,2F,2階東側だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.35552,35.790981
石畑会館,東京都 西多摩郡瑞穂町大字石畑211番地,1F,石畑会館だれでもトイレ,"会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.35551,35.765602
長岡南会館,東京都 西多摩郡瑞穂町長岡四丁目六番4,1F,長岡南会館だれでもトイレ,会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応,#00cc00,139.328725,35.77728
箱根ケ崎西会館,東京都 西多摩郡瑞穂町箱根ケ崎西松原16番地3,1F,箱根ケ崎西会館だれでもトイレ,会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応,#00cc00,139.339761,35.774116
箱根ケ崎南会館,東京都 西多摩郡瑞穂町大字武蔵3番地,1F,箱根ケ崎南会館だれでもトイレ,"会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.349375,35.768173
箱根ケ崎北会館,東京都 西多摩郡瑞穂町大字箱根ケ崎2番地,1F,箱根ケ崎北会館だれでもトイレ,"会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.350325,35.776211
長岡コミュニティセンター,東京都 西多摩郡瑞穂町大字箱根ケ崎1180番地,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.337323,35.780901
長岡コミュニティセンター,東京都 西多摩郡瑞穂町大字箱根ケ崎1180番地,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.337258,35.780927
武蔵野コミュニティセンター (瑞穂アパート27号棟1階),東京都 西多摩郡瑞穂町むさし野一丁目5番地,1F,１階東側多目的トイレ,設備: 車椅子対応,#00cc00,139.339849,35.761674
石畑中央会館,東京都 西多摩郡瑞穂町大字石畑1837番地,1F,石畑中央会館だれでもトイレ,会館の利用時のみ利用可能。（利用時以外は施錠しているため） | 設備: 車椅子対応,#00cc00,139.35633,35.769278
瑞穂町ふれあいセンター,東京都 西多摩郡瑞穂町大字石畑2008番地,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.357313,35.774474
瑞穂町ふれあいセンター,東京都 西多摩郡瑞穂町大字石畑2008番地,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.357314,35.774474
殿ケ谷会館,東京都 西多摩郡瑞穂町大字殿ケ谷988番地,1F,殿ケ谷会館だれでもトイレ,"会館の利用時のみ利用可能（利用時以外は施錠しているため） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.3636435,35.76523315
瑞穂町保健センター,東京都 西多摩郡瑞穂町大字石畑1970番地,1F,１階多目的トイレ,設備: 車椅子対応,#00cc00,139.35666,35.773735
瑞穂町保健センター,東京都 西多摩郡瑞穂町大字石畑1970番地,2F,２階多目的トイレ,設備: 車椅子対応,#00cc00,139.35666,35.773735
瑞穂町郷土資料館,東京都 西多摩郡瑞穂町大字駒形富士山316番地5,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.352162,35.780575
耕心館,東京都 西多摩郡瑞穂町大字駒形富士山317番地,1F,だれでもトイレ,休館日 第３月曜日（祝日の場合は翌日）はご利用できません。年末年始の休館予定日は12月29日〜1月4日になります。 | 設備: 車椅子対応,#00cc00,139.352588,35.781016
瑞穂ビューパーク・スカイホール,東京都 西多摩郡瑞穂町大字箱根ケ崎2475番地,1F,競技場管理棟だれでもトイレ,利用可能日時については、施設保守点検等による完全休館日（年間６日間程度）及び年末年始（12/29〜1/3）を除く。イベント等がある場合は、最長22時まで利用可能。 | 設備: おむつ交換台,#00cc00,139.355309,35.774889
