name,address,floor,toilet_name,note,color,lng,lat
小峰ビジターセンター,東京都 あきる野市留原284番地1号,1F,小峰ビジターセンター便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応,#00cc00,139.231412,35.721006
小峰公園,東京都 あきる野市字留原,1F,小峰公園ふれあい広場便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: おむつ交換台,#00cc00,139.230467,35.719777
小峰公園,東京都 あきる野市字留原,1F,小峰公園ふれあい広場便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: おむつ交換台,#00cc00,139.230467,35.719777
小峰公園,東京都 あきる野市字留原,1F,小峰公園けやき広場便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.231763,35.720159
十里木駐車場,東京都 あきる野市戸倉,1F,十里木駐車場便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: おむつ交換台,#00cc00,139.190136,35.72808
秋留台公園,東京都 あきる野市二宮,1F,A便所,"設備: オストメイト対応, おむつ交換台",#00cc00,139.301635,35.730373
秋留台公園,東京都 あきる野市二宮,1F,D便所,"設備: オストメイト対応, おむつ交換台",#00cc00,139.299866,35.729415
秋留台公園,東京都 あきる野市二宮,1F,更衣棟便所,設備: 車椅子対応,#00cc00,139.301833,35.729435
あきる野サービスステーション (秋留台庁舎),東京都 あきる野市秋川三丁目2番10号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.284098,35.731581
あきる野サービスステーション (秋留台庁舎),東京都 あきる野市秋川三丁目2番10号,2F,2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.284098,35.731581
あきる野サービスステーション (秋留台庁舎),東京都 あきる野市秋川三丁目2番10号,3F,3階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.284098,35.731581
あきる野市庁舎,東京都 あきる野市二宮350番地,1F,1階西側バリアフリートイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.293779,35.729041
あきる野市庁舎,東京都 あきる野市二宮350番地,1F,1階東側バリアフリートイレ,"前広便座 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.294496,35.728791
あきる野市庁舎,東京都 あきる野市二宮350番地,2F,2西側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,2F,2東側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,3F,3西側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,3F,3東側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,4F,4西側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,4F,4東側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,5F,5西側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,5F,5東側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,6F,6西側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市庁舎,東京都 あきる野市二宮350番地,6F,6東側バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.294174,35.728901
あきる野市役所五日市出張所,東京都 あきる野市五日市411番地,1F,1階西側トイレ,設備: 車椅子対応,#00cc00,139.21977,35.729328
あきる野市五日市地域交流センター,東京都 あきる野市五日市411番地,3F,3階西側トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.219783,35.72931
あきる野市中央公民館,東京都 あきる野市二宮683番地,1F,中央公民館別館１階トイレ,"温水洗浄便座追加 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.302504,35.73035
あきる野市中央公民館,東京都 あきる野市二宮683番地,2F,中央公民館別館２階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.302504,35.73035
あきる野市中央公民館,東京都 あきる野市二宮683番地,3F,中央公民館別館３階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.302504,35.73035
あきる野市五日市保健センター,東京都 あきる野市五日市414番地5,1F,1階トイレ,設備: 車椅子対応,#00cc00,139.21945,35.72966
あきる野市中央図書館,東京都 あきる野市秋川一丁目16番地2,1F,1階トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.288724,35.730841
あきる野市中央図書館,東京都 あきる野市秋川一丁目16番地2,2F,2階南側トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.288694,35.730672
あきる野市東部図書館エル,東京都 あきる野市野辺39番地27,1F,1階トイレ,"オスメイト対応水洗器具は１階のトイレのみ設置あり。(シャワー型ではなく蛇口タイプ) | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.315806,35.725305
あきる野市東部図書館エル,東京都 あきる野市野辺39番地27,2F,2階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.315806,35.725305
あきる野市五日市図書館,東京都 あきる野市五日市３６８,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.222344,35.72987
あきる野市中央図書館増戸分室,東京都 あきる野市伊奈1157番地5,1F,トイレ_1_01,,#00cc00,139.247726,35.727482
あきる野ルピア,東京都 あきる野市秋川一丁目8番地,3F,３階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.286974,35.730178
あきる野ルピア,東京都 あきる野市秋川一丁目8番地,4F,4階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.286974,35.730178
五日市郷土館 (五日市郷土館),東京都 あきる野市五日市920番地1,1F,五日市郷土館１階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.216985,35.728437
あきる野市五日市会館,東京都 あきる野市五日市412番地,1F,女子用トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.220062,35.72989
あきる野市五日市会館,東京都 あきる野市五日市412番地,1F,男性用トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.220224,35.72995
秋川キララホール,東京都 あきる野市秋川一丁目16番地1,1F,１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.288127,35.730969
高尾公園,東京都 あきる野市高尾237番地,1F,高尾公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.237816,35.726568
森ノ根公園,東京都 あきる野市原小宮二丁目8番7号,1F,森ノ根公園バリアフリートイレ,設備: 車椅子対応,#00cc00,139.302743,35.733992
第二水辺公衆トイレ,東京都 あきる野市下代継693番地4号,1F,第二水辺公衆トイレ,設備: 車椅子対応,#00cc00,139.280318,35.718709
JR東日本　秋川駅,東京都 あきる野市油平57番地2　他,1F,秋川駅北口トイレ,設備: 車椅子対応,#00cc00,139.286546,35.7282
東秋留駅前トイレ,東京都 あきる野市野辺447番地11,1F,東秋留駅前トイレ,設備: 車椅子対応,#00cc00,139.310592,35.726158
武蔵引田駅公衆トイレ,東京都 あきる野市引田247番地5,1F,武蔵引田駅公衆トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.270002,35.729938
武蔵増戸駅前トイレ,東京都 あきる野市伊奈871番地2,1F,武蔵増戸駅前トイレ,設備: 車椅子対応,#00cc00,139.256083,35.730844
森の下公園,東京都 あきる野市伊奈851番地2,1F,森の下公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.255682,35.729522
