name,address,floor,toilet_name,note,color,lng,lat
複合ビルパオレ (パオレビル),東京都 八王子市南大沢二丁目2番地,4F,低層棟４階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.379079,35.614038
複合ビルパオレ (パオレビル),東京都 八王子市南大沢二丁目2番地,5F,低層棟５階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.379077,35.614038
一丁平園地,東京都 八王子市南浅川町,1F,一丁平園地便所,設備: おむつ交換台,#00cc00,139.229021,35.626486
高尾ビジターセンター,東京都 八王子市高尾町2176番地,1F,高尾ビジターセンター脇便所,"利用可能時間は09:00〜16:30 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.243316,35.625158
大見晴園地,東京都 八王子市高尾町2176番地,1F,大見晴園地便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.244564,35.62574
東京都立多摩職業能力開発センター八王子校,東京都 八王子市台町一丁目11番1号,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.328003,35.649842
東京都立多摩職業能力開発センター八王子校,東京都 八王子市台町一丁目11番1号,3F,3階だれでもトイレ,設備: 車椅子対応,#00cc00,139.328003,35.649842
東京都立多摩職業能力開発センター八王子校,東京都 八王子市台町一丁目11番1号,4F,4階だれでもトイレ,設備: 車椅子対応,#00cc00,139.328088,35.649749
小宮公園,東京都 八王子市大谷町1072番地1,1F,ひよどり山トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.339318,35.675399
小宮公園,東京都 八王子市暁町二丁目41番6号,1F,雑木林ホールトイレ,12/29〜1/3は雑木林ホール閉館のため使用不可 | 設備: 車椅子対応,#00cc00,139.341291,35.671178
小宮公園,東京都 八王子市大谷町1043番地,1F,弁天池トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.342761,35.671183
小宮公園,東京都 八王子市暁町二丁目43番,1F,ゆーかりトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.340154,35.671959
滝山公園,東京都 八王子市高月町2371番地2号,1F,中の丸トイレ,設備: 車椅子対応,#00cc00,139.329405,35.701614
長沼公園,東京都 八王子市長沼町516番地,1F,駐車場トイレ,設備: 車椅子対応,#00cc00,139.369403,35.639956
小山内裏公園,東京都 八王子市南大沢四丁目,1F,草地広場トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.374716,35.606925
小山内裏公園,東京都 八王子市南大沢四丁目,1F,多目的広場トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.373288,35.604865
陵南公園,東京都 八王子市長房町1369番地,1F,さくら通りトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.288565,35.648547
陵南公園,東京都 八王子市長房町1369番地,1F,センター通りトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.289622,35.649384
陵南公園,東京都 八王子市東浅川町31番地6号,1F,市営陵南プール脇トイレ,設備: 車椅子対応,#00cc00,139.292423,35.648794
八王子霊園,東京都 八王子市川町,1F,2号便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.269773,35.665042
八王子霊園,東京都 八王子市元八王子町三丁目,1F,3号便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.267223,35.659223
八王子霊園,東京都 八王子市川町,1F,4号便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.273417,35.666401
八王子霊園,東京都 八王子市川町,1F,5号便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.269514,35.663135
八王子霊園,東京都 八王子市川町,1F,6号便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.263287,35.660899
