name,address,floor,toilet_name,note,color,lng,lat
東京都国立市役所本庁舎 (国立市役所),東京都 国立市富士見台二丁目47番1号,1F,１階西側だれでもトイレ,設備: 車椅子対応,#00cc00,139.441276,35.683961
東京都国立市役所本庁舎 (国立市役所),東京都 国立市富士見台二丁目47番1号,2F,2階西側だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.441276,35.683961
東京都国立市役所本庁舎 (国立市役所),東京都 国立市富士見台二丁目47番1号,3F,３階西側だれでもトイレ,設備: 車椅子対応,#00cc00,139.441276,35.683961
国立市公民館,東京都 国立市中一丁目15番1号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.443412,35.696886
国立市公民館,東京都 国立市中一丁目15番1号,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.443412,35.696886
国立市公民館,東京都 国立市中一丁目15番1号,3F,3階だれでもトイレ,設備: 車椅子対応,#00cc00,139.443412,35.696886
国立市公民館,東京都 国立市中一丁目15番1号,B1F,地下1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.443476,35.696946
国立駅前くにたち・こくぶんじ市民プラザ,東京都 国立市北一丁目14番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.446903,35.699414
谷保東集会所,東京都 国立市谷保七丁目１７番１号,1F,1階北側だれでもトイレ,設備: 車椅子対応,#00cc00,139.450665,35.673123
富士見台一丁目集会所,東京都 国立市富士見台一丁目８番４号,1F,北側だれでもトイレ,設備: 車椅子対応,#00cc00,139.448196,35.683369
富士見台二丁目集会所,東京都 国立市富士見台二丁目３２番１号,1F,1階西側障がい者用トイレ,設備: 車椅子対応,#00cc00,139.4449,35.684852
南市民プラザ,東京都 国立市泉２丁目３番地の２　１号棟１階,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.430718,35.674485
北市民プラザ,東京都 国立市北3丁目１番の1　９号棟１階,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.432646,35.699259
国立市保健センター,東京都 国立市富士見台三丁目16番5号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.436594,35.686132
くにたち中央図書館,東京都 国立市富士見台二丁目34番地,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.444375,35.685209
くにたち郷土文化館,東京都 国立市谷保6231番地,B1F,地下1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.43254,35.679418
城山さとのいえ,東京都 国立市泉5丁目21番地20号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.437141,35.67842
くにたち市民総合体育館,東京都 国立市富士見台二丁目48番1号,1F,１階だれでもトイレ,"月２回の休館日・年末年始６日間以外、全て開館時間は利用可能 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.440377,35.685267
くにたち市民総合体育館,東京都 国立市富士見台二丁目48番1号,2F,２階だれでもトイレ,月２回の休館日・年末年始６日間以外、全て開館時間は利用可能 | 設備: 車椅子対応,#00cc00,139.440536,35.684794
くにたち市民総合体育館,東京都 国立市富士見台二丁目48番1号,3F,３階だれでもトイレ,"月２回の休館日・年末年始６日間以外、全て開館時間は利用可能 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.440536,35.684794
くにたち市民総合体育館,東京都 国立市富士見台二丁目48番1号,B1F,地下１階だれでもトイレ,"月２回の休館日・年末年始６日間以外、全て開館時間は利用可能 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.440536,35.684794
くにたち市民総合体育館,東京都 国立市富士見台二丁目48番1号,B2F,プールだれでもトイレ,月２回の休館日・年末年始６日間以外、全て開館時間は利用可能（地下２階はプール） | 設備: 車椅子対応,#00cc00,139.440286,35.685075
くにたち市民芸術小ホール,東京都 国立市富士見台二丁目48番1号,1F,身障者用便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.44001,35.685222
くにたち市民芸術小ホール,東京都 国立市富士見台二丁目48番1号,2F,2階身障者用便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.44001,35.685222
くにたち市民芸術小ホール,東京都 国立市富士見台二丁目48番1号,B1F,地下1階身障者用便所,設備: 車椅子対応,#00cc00,139.44001,35.685222
南区公会堂,東京都 国立市谷保３１４３−１,1F,東側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.427596,35.676222
谷保第三公園,東京都 国立市富士見台二丁目34番地,1F,谷保第三公園,"設備: 車椅子対応, おむつ交換台",#00cc00,139.444276,35.685854
谷保第四公園,東京都 国立市富士見台二丁目49番地,1F,谷保第四公園,設備: 車椅子対応,#00cc00,139.439879,35.684233
矢川上公園,東京都 国立市富士見台四丁目4番地,1F,矢川上公園トイレ,設備: 車椅子対応,#00cc00,139.432136,35.687731
矢川いこいの広場,東京都 国立市青柳一丁目18番16号ほか,1F,矢川いこいの広場,設備: 車椅子対応,#00cc00,139.426531,35.684864
北第一公園,東京都 国立市北三丁目11番29号ほか,1F,北第一公園トイレ,設備: 車椅子対応,#00cc00,139.431331,35.699888
泉第二遊園,東京都 国立市泉二丁目3番6号,1F,泉第二遊園,設備: 車椅子対応,#00cc00,139.431583,35.673523
寺之下親水公園,東京都 国立市泉四丁目9番地,1F,寺之下親水公園,設備: 車椅子対応,#00cc00,139.431772,35.676521
流域下水道処理場広場,東京都 国立市泉一丁目24番45号,1F,流域下水道処理場広場トイレ,設備: 車椅子対応,#00cc00,139.434439,35.673624
城山公園,東京都 国立市谷保1700番地,1F,城山公園トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.438367,35.678367
くにたち福祉会館,東京都 国立市富士見台二丁目38番5号,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.444551,35.687558
くにたち福祉会館,東京都 国立市富士見台二丁目38番5号,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.444545,35.687417
くにたち福祉会館,東京都 国立市富士見台二丁目38番5号,3F,3階だれでもトイレ,設備: 車椅子対応,#00cc00,139.444545,35.687417
くにたち福祉会館,東京都 国立市富士見台二丁目38番5号,4F,4階だれでもトイレ,設備: 車椅子対応,#00cc00,139.444551,35.687558
国立市子ども家庭支援センター（保健センター分室）,東京都 国立市富士見台三丁目21番1号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.435893,35.685826
国立市西児童館,東京都 国立市西一丁目12番26号,1F,誰でもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.433195,35.69696
東福祉館,東京都 国立市東三丁目１８番３２号,1F,1階東側だれでもトイレ,設備: 車椅子対応,#00cc00,139.454849,35.691451
西福祉館,東京都 国立市西二丁目１７番３２号,1F,1階東側だれでもトイレ,設備: 車椅子対応,#00cc00,139.432083,35.693903
北福祉館,東京都 国立市北二丁目１９番１号,1F,1階北側だれでもトイレ,設備: 車椅子対応,#00cc00,139.437426,35.700633
くにたち立東福祉館,東京都 国立市北三丁目２３番１号,1F,1階西側だれでもトイレ,設備: 車椅子対応,#00cc00,139.430281,35.701017
