name,address,floor,toilet_name,note,color,lng,lat
東京都多摩府中保健所 (東京都府中合同庁舎),東京都 府中市宮西町一丁目26番1号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.477181,35.671074
地方独立行政法人東京都立病院機構　東京都立多摩小児総合医療センター,東京都 府中市武蔵台二丁目8番29号,1F,1F中央トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.461337,35.692133
東京都立がん検診センター,東京都 府中市武蔵台二丁目９番地の２,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.464221,35.692038
東京都立がん検診センター,東京都 府中市武蔵台二丁目９番地の２,B1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.464221,35.692038
武蔵野公園,東京都 府中市多磨町三丁目3番地,1F,２号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.518198,35.690283
武蔵野公園,東京都 府中市多磨町三丁目2番地,1F,4号トイレ,設備: 車椅子対応,#00cc00,139.517854,35.688407
武蔵野公園,東京都 府中市多磨町二丁目24番地,1F,５号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.520365,35.687734
府中の森公園,東京都 府中市浅間町一丁目3番,1F,サッカー場トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.493109,35.677984
府中の森公園,東京都 府中市浅間町一丁目3番,1F,花の広場トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.491671,35.675849
府中の森公園,東京都 府中市浅間町一丁目3番,1F,更衣棟トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.492435,35.677034
府中の森公園,東京都 府中市浅間町一丁目3番,1F,流れトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.491194,35.678036
武蔵野の森公園,東京都 府中市朝日町三丁目,1F,５号トイレ,"多目的シート70×120　あり | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.52185,35.67604
武蔵野の森公園,東京都 府中市朝日町三丁目,1F,サービスセンタートイレ,"多目的シート60×150　あり | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.522463,35.676126
多磨霊園,東京都 府中市多磨町四丁目,1F,みたま堂休憩所トイレ,温水洗浄便座に変更 | 設備: 車椅子対応,#00cc00,139.51413,35.67815
多磨霊園,東京都 府中市多磨町四丁目,1F,正門トイレ,設備: 車椅子対応,#00cc00,139.512944,35.67865
府中サービスステーション,東京都 府中市寿町三丁目4番6号,2F,府中サービスステーション２階　だれでもトイレ,設備: オストメイト対応,#00cc00,139.47443,35.673647
府中サービスステーション,東京都 府中市寿町三丁目4番6号,3F,府中サービスステーション３階　だれでもトイレ,設備: おむつ交換台,#00cc00,139.47443,35.673647
府中消防署,東京都 府中市寿町一丁目5番6号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.478162,35.673786
府中消防署分梅出張所,東京都 府中市分梅町五丁目9番7号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.46242,35.662327
府中消防署朝日出張所,東京都 府中市朝日町三丁目13番,1F,多機能トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.522788,35.67188
