name,address,floor,toilet_name,note,color,lng,lat
東京都立多摩職業能力開発センター,東京都 昭島市東町三丁目6番33号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.391648,35.699853
昭島消防署　昭和出張所,東京都 昭島市もくせいの社一丁目５番５０号,2F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.390765,35.704565
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,1F,１階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,2F,２階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。「前広便座」（オストメイトの方が排出しやすい形状）設置済です。 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,3F,３階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。「前広便座」（オストメイトの方が排出しやすい形状）設置済です | 設備: 車椅子対応, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,4F,４階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,5F,５階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,6F,６階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.353714,35.705557
昭島市役所本庁舎,東京都 昭島市田中町一丁目17番1号,7F,７階だれでもトイレ,"利用可能日時は、庁舎管理規定に基づく庁舎出入口の開閉時間となります。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.353714,35.705557
松原町コミュニティセンター (昭島市松原町コミュニティセンター),東京都 昭島市松原町一丁目3番10号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.356987,35.712133
松原町コミュニティセンター (昭島市松原町コミュニティセンター),東京都 昭島市松原町一丁目3番10号,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.356987,35.712133
富士見会館,東京都 昭島市中神町１２８２番地,1F,富士見会館１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.382705,35.712311
やまのかみ会館,東京都 昭島市拝島町三丁目１０番３号,1F,やまのかみ会館１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.335342,35.710871
KOTORIホール（昭島市民会館）,東京都 昭島市つつじが丘三丁目7番7号,1F,KOTORIホールだれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.365963,35.713346
KOTORIホール（昭島市民会館）,東京都 昭島市つつじが丘三丁目7番7号,1F,KOTORIホールだれでもトイレ（楽屋）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.366043,35.713759
