name,address,floor,toilet_name,note,color,lng,lat
六仙公園,東京都 東久留米市中央町三丁目20番,1F,遺跡広場トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.523563,35.75041
六仙公園,東京都 東久留米市中央町三丁目24番,1F,遊具広場トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.522606,35.749351
六仙公園,東京都 東久留米市中央町三丁目23番 ,1F,サービスセンター内バリアフリートイレ ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.5216693,35.74945114
東久留米サービスステーション,東京都 東久留米市滝山六丁目1番1号,1F,東久留米サービスステーション１階　だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.507362,35.747463
東久留米市役所 (東久留米市役所),東京都 東久留米市本町三丁目3番1号,1F,1階東側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.52975,35.757969
東久留米市役所 (東久留米市役所),東京都 東久留米市本町三丁目3番1号,2F,2階東側だれでもトイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.529989,35.758033
東久留米市役所 (東久留米市役所),東京都 東久留米市本町三丁目3番1号,3F,3階北側だれでもトイレ,設備: 車椅子対応,#00cc00,139.529989,35.758033
東久留米市役所 (東久留米市役所),東京都 東久留米市本町三丁目3番1号,7F,7階東側だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.529989,35.758033
東久留米市役所ごみ対策課庁舎,東京都 東久留米市八幡町二丁目10番10号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.509338,35.751762
東久留米市西部地域センター,東京都 東久留米市滝山四丁目1番10号,1F,1階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.504489,35.744934
東久留米市西部地域センター,東京都 東久留米市滝山四丁目1番10号,2F,2階多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.504505,35.744936
東久留米市西部地域センター,東京都 東久留米市滝山四丁目1番10号,3F,3階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.504489,35.744934
東久留米市南部地域センター,東京都 東久留米市ひばりが丘団地185番地,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.534367,35.746469
東久留米市東部地域センター,東京都 東久留米市大門町二丁目10番5号,1F,1階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.541057,35.764784
東久留米市東部地域センター,東京都 東久留米市大門町二丁目10番5号,2F,2階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.540848,35.764888
東久留米市八幡町地区センター,東京都 東久留米市八幡町二丁目7番61号,1F,身障便所,設備: 車椅子対応,#00cc00,139.515253,35.753627
東久留米市南町地区センター,東京都 東久留米市南町三丁目9番45号,1F,身障者用トイレ,設備: 車椅子対応,#00cc00,139.520218,35.740801
東久留米市中央町地区センター,東京都 東久留米市中央町六丁目1番1号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.519682,35.755885
東久留米市浅間町地区センター,東京都 東久留米市浅間町二丁目２４番１６号,1F,身障者用トイレ,設備: 車椅子対応,#00cc00,139.541777,35.757763
東久留米市野火止地区センター,東京都 東久留米市野火止二丁目１番８３号,1F,身障者用トイレ,設備: 車椅子対応,#00cc00,139.513354,35.763548
わくわく健康プラザ,東京都 東久留米市滝山四丁目3番14号,1F,1階南棟東側車椅子使用者対応トイレ,"小型ベッド、乳幼児用椅子は備えている。但し、共に便所の外に在る。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.504699,35.742014
わくわく健康プラザ,東京都 東久留米市滝山四丁目3番14号,1F,1階北棟西側車椅子使用者対応トイレ,"小型ベッド、乳幼児用椅子は備えている。但し、共に便所の外に在る。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.504162,35.742458
わくわく健康プラザ,東京都 東久留米市滝山四丁目3番14号,1F,1階北棟東側車椅子使用者対応トイレ,"小型ベッド、乳幼児用椅子は備えている。但し、共に便所の外に在る。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.504761,35.742305
わくわく健康プラザ,東京都 東久留米市滝山四丁目3番14号,2F,2階南棟西側車椅子使用者対応トイレ,"小型ベッド、乳幼児用椅子は備えている。但し、共に便所の外に在る。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.504016,35.742196
わくわく健康プラザ,東京都 東久留米市滝山四丁目3番14号,2F,2階北棟西側車椅子使用者対応トイレ,"小型ベッド、乳幼児用椅子は備えている。但し、共に便所の外に在る。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.504162,35.742458
