name,address,floor,toilet_name,note,color,lng,lat
玉川上水緑道,東京都 武蔵野市境南町三丁目63番6号,1F,桜橋トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.543974,35.709387
井の頭恩賜公園,東京都 武蔵野市御殿山一丁目19番,1F,10号駐車場便所（女性用）,"改修工事中 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.571379,35.699434
井の頭恩賜公園,東京都 武蔵野市御殿山一丁目18番地,1F,1号便所,"常時使用可 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.573718,35.700648
井の頭恩賜公園,東京都 武蔵野市御殿山一丁目18番,1F,案内所便所,設備: 車椅子対応,#00cc00,139.574472,35.700846
井の頭恩賜公園,東京都 武蔵野市御殿山一丁目19番,1F,10号便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.571345,35.699428
小金井公園,東京都 武蔵野市桜堤三丁目,1F,スポーツ施設管理センター内,"施設利用者のみ。6、7月は9:00〜19:00。12/31〜1/3休。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.527767,35.71404
小金井公園,東京都 武蔵野市桜堤三丁目,1F,第2駐車場トイレ,設備: 車椅子対応,#00cc00,139.526692,35.713908
武蔵野中央公園,東京都 武蔵野市八幡町二丁目4番,1F,西多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.556673,35.718037
武蔵野中央公園,東京都 武蔵野市八幡町二丁目4番,1F,中央多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.558496,35.717275
武蔵野中央公園,東京都 武蔵野市八幡町二丁目4番,1F,東多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.560332,35.719302
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,正門先トイレ1,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.572365,35.701015
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,正門先トイレ2,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, 大型ベッド",#00cc00,139.572365,35.701015
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,ぶらんこ広場トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.571377,35.700359
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,リスの小径横トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.56985,35.701206
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,芝生広場トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.570267,35.702242
井の頭自然文化園,東京都 武蔵野市御殿山一丁目17番6号,1F,彫刻館Ｂ館トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.569227,35.700425
武蔵野消防署,東京都 武蔵野市吉祥寺北町四丁目6番1号,2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.567311,35.71165
武蔵野消防署武蔵境出張所,東京都 武蔵野市境南町一丁目26番38号,1F,多機能トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.546944,35.695988
武蔵野消防署吉祥寺出張所,東京都 武蔵野市吉祥寺北町四丁目6番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.58012,35.707205
武蔵野市役所本庁舎,東京都 武蔵野市緑町二丁目2番28号,1F,１階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.566017,35.717857
武蔵野市役所本庁舎,東京都 武蔵野市緑町二丁目2番28号,7F,７階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.565918,35.717629
武蔵野市役所本庁舎,東京都 武蔵野市緑町二丁目2番28号,8F,８階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.566017,35.717857
中央市政センター,東京都 武蔵野市中町一丁目2番8号,1F,フロア内だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.559772,35.7037
吉祥寺市政センター,東京都 武蔵野市吉祥寺本町一丁目10番7号,2F,フロア内だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.578917,35.705776
