name,address,floor,toilet_name,note,color,lng,lat
狛江市庁舎 (狛江市庁舎（食堂部分）),東京都 狛江市和泉本町一丁目1番5号,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.578776,35.634746
狛江市庁舎 (狛江市庁舎),東京都 狛江市和泉本町一丁目1番5号,2F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.578615,35.635005
狛江市庁舎 (狛江市庁舎（議会棟）),東京都 狛江市和泉本町一丁目1番5号,3F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.578749,35.63463
狛江市庁舎 (狛江市庁舎),東京都 狛江市和泉本町一丁目1番5号,4F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.578742,35.634875
狛江市防災センター,東京都 狛江市和泉本町一丁目1番5号,2F,２階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.578234,35.634718
狛江市ビン・缶リサイクルセンター,東京都 狛江市岩戸北一丁目1番11号,1F,狛江市ビン・缶リサイクルセンターだれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.580209,35.635704
中央公民館,東京都 狛江市和泉本町一丁目1番5号,1F,１階だれでもトイレ,"R6.9月より改修工事のため休館 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.578153,35.635147
中央公民館,東京都 狛江市和泉本町一丁目1番5号,2F,２階だれでもトイレ,R6.9月より改修工事のため休館 | 設備: 車椅子対応,#00cc00,139.578153,35.635147
中央公民館,東京都 狛江市和泉本町一丁目1番5号,B1F,中央公民館　B1階だれでもトイレ,R6.9月より改修工事のため休館 | 設備: 車椅子対応,#00cc00,139.578153,35.635147
西河原公民館,東京都 狛江市元和泉二丁目35番1号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.567061,35.633421
西河原公民館,東京都 狛江市元和泉二丁目35番1号,2F,２階だれでもトイレ,設備: 車椅子対応,#00cc00,139.566834,35.633456
西河原公民館,東京都 狛江市元和泉二丁目35番1号,3F,３階だれでもトイレ,設備: 車椅子対応,#00cc00,139.566789,35.633435
西河原公民館,東京都 狛江市元和泉二丁目35番1号,4F,４階だれでもトイレ,設備: 車椅子対応,#00cc00,139.566789,35.633435
西河原公民館,東京都 狛江市元和泉二丁目35番1号,B1F,地下１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.566824,35.633457
野川地域センター,東京都 狛江市西野川一丁目6番9号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.575493,35.646111
野川地域センター,東京都 狛江市西野川一丁目6番9号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.575493,35.646111
