name,address,floor,toilet_name,note,color,lng,lat
稲城市役所,東京都 稲城市東長沼2111番地,1F,1階西側だれでもトイレ,"※毎月第２日曜日、第４土曜日は開庁日のため利用可能。 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.50442,35.63806
稲城市役所,東京都 稲城市東長沼2111番地,4F,4階東側だれでもトイレ,設備: 車椅子対応,#00cc00,139.504819,35.63797
上平尾消防出張所,東京都 稲城市平尾四丁目15番地の４,1F,だれでもトイレ,"災害出場等で上平尾消防出張所に職員が不在の場合は、利用不可となります。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.484434,35.61463
中央文化センター,東京都 稲城市東長沼2111番地,1F,だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.503787,35.63802
第二文化センター,東京都 稲城市矢野口1780番地,1F,だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、祝日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.518365,35.6353
第三文化センター,東京都 稲城市平尾一丁目20番5号,1F,1階だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、祝日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.492466,35.61316
第三文化センター,東京都 稲城市平尾一丁目20番5号,2F,2階だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、祝日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.492516,35.61311
第四文化センター,東京都 稲城市東長沼２７１番地,1F,だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、祝日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.505343,35.64591
城山文化センター,東京都 稲城市向陽台六丁目7,1F,だれでもトイレ,"休館日は利用できません。休館日：第1、3、5月曜日、祝日、年末年始（12/28〜1/4） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.490795,35.64134
稲城市立病院,東京都 稲城市大丸1171番地,1F,1階だれでもトイレ1,"12月29日〜1月3日は祝日と同様 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.48517,35.64675
