name,address,floor,toilet_name,note,color,lng,lat
千住大橋駅 (本線),東京都 足立区千住橋戸町11番地1,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.796477,35.742519
京成関屋駅 (本線),東京都 足立区千住曙町2番地2,1F,バリアフリートイレ,"鉄道会社: 京成電鉄 | 路線: 本線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.811564,35.743911
北千住駅 (つくばエクスプレス),東京都 足立区千住旭町42番3号,3F,多機能トイレ,"鉄道会社: 首都圏新都市鉄道 | 路線: つくばエクスプレス | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.805006,35.749319
青井駅 (つくばエクスプレス),東京都 足立区青井3丁目24番1号,B1F,多機能トイレ,"鉄道会社: 首都圏新都市鉄道 | 路線: つくばエクスプレス | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.82032,35.771769
六町駅 (つくばエクスプレス),東京都 足立区六町4丁目1番1号,B1F,多機能トイレ,"鉄道会社: 首都圏新都市鉄道 | 路線: つくばエクスプレス | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.821767,35.784845
北千住駅 (2号線日比谷線/9号線千代田線),東京都 足立区千住2丁目63番地,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 2号線日比谷線/9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.8044,35.74895
北綾瀬駅 (9号線千代田線),東京都 足立区谷中2丁目6番21号,1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.832055,35.777149
北綾瀬駅 (9号線千代田線),東京都 足立区谷中2丁目6番21号,2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.832073,35.775938
綾瀬駅 (9号線千代田線),東京都 足立区綾瀬3丁目1番1号,1F,多機能トイレ,"点字ブロックはトイレの場所の説明が文章で書かれた触知板へ誘導 | 鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.82604,35.762245
綾瀬駅 (9号線千代田線),東京都 足立区綾瀬3丁目1番1号,1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 9号線千代田線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.82358,35.762007
