name,address,floor,toilet_name,note,color,lng,lat
王子駅 (7号線南北線),東京都 北区王子1丁目10番18号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7376,35.754
駒込駅 (7号線南北線),東京都 北区西ケ原2丁目3番8号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7466,35.7367
駒込駅 (7号線南北線),東京都 北区西ケ原2丁目3番8号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7467,35.73588
王子神谷駅 (7号線南北線),東京都 北区王子5丁目2番11号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7358,35.76437
志茂駅 (7号線南北線),東京都 北区志茂2丁目1番18号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7324,35.77822
西ヶ原駅 (7号線南北線),東京都 北区西ケ原2丁目3番8号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7424,35.74586
赤羽岩淵駅 (7号線南北線),東京都 北区赤羽1丁目52番8号,B2F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 7号線南北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7222,35.78344
田端駅 (山手線/東北線),東京都 北区東田端1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線/東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.761,35.7381
上中里駅 (東北線),東京都 北区上中里1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7469,35.74667
王子駅 (東北線),東京都 北区王子1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7377,35.75293
東十条駅 (東北線),東京都 北区東十条3丁目,2F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7263,35.76476
赤羽駅 (東北線/赤羽線（埼京線）/東北線（埼京線）),東京都 北区赤羽1丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線/赤羽線（埼京線）/東北線（埼京線） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7215,35.77715
尾久駅 (東北線),東京都 北区昭和町1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7546,35.74667
北赤羽駅 (東北線（埼京線）),東京都 北区赤羽北2丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線（埼京線） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.7047,35.7876
北赤羽駅 (東北線（埼京線）),東京都 北区赤羽北2丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線（埼京線） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.707625,35.786066
浮間舟渡駅 (東北線（埼京線）),東京都 北区浮間4丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 東北線（埼京線） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.6916,35.79109
十条駅 (赤羽線（埼京線）),東京都 北区上十条1丁目,1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 赤羽線（埼京線） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7221,35.76039
板橋駅 (赤羽線（埼京線）),東京都 北区滝野川7丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 赤羽線（埼京線） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.71968,35.745445
