name,address,floor,toilet_name,note,color,lng,lat
東北沢駅 (小田原線),東京都 世田谷区北沢3丁目1番4号,1F,ファミリートイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, おむつ交換台",#0066cc,139.672875,35.665486
東北沢駅 (小田原線),東京都 世田谷区北沢3丁目1番4号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.6729,35.665505
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666613,35.661022
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666613,35.661022
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,B2F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.665866,35.660495
世田谷代田駅 (小田原線),東京都 世田谷区代田2丁目31番12号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.661273,35.658257
世田谷代田駅 (小田原線),東京都 世田谷区代田2丁目31番12号,1F,ファミリートイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, おむつ交換台",#0066cc,139.661266,35.658255
梅ヶ丘駅 (小田原線),東京都 世田谷区梅丘1丁目31番21号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.653609,35.655937
豪徳寺駅 (小田原線),東京都 世田谷区豪徳寺1丁目43番4号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.647552,35.653716
経堂駅 (小田原線),東京都 世田谷区経堂2丁目1番3号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.636437,35.651324
千歳船橋駅 (小田原線),東京都 世田谷区船橋1丁目1番5号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.624147,35.647479
祖師ヶ谷大蔵駅 (小田原線),東京都 世田谷区祖師谷1丁目7番1号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.609625,35.643316
成城学園前駅 (小田原線),東京都 世田谷区成城6丁目5番34号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.598556,35.639909
喜多見駅 (小田原線),東京都 世田谷区喜多見9丁目2番26号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.587416,35.636795
代田橋駅 (京王線),東京都 世田谷区大原2丁目18番9号,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.658803,35.671011
下高井戸駅 (京王線),東京都 世田谷区松原3丁目29番17号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.642467,35.666143
桜上水駅 (京王線),東京都 世田谷区桜上水5丁目29番52号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.631823,35.667691
上北沢駅 (京王線),東京都 世田谷区上北沢4丁目14番3号,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.623464,35.668849
芦花公園駅 (京王線),東京都 世田谷区南烏山3丁目1番16号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.608695,35.670553
千歳烏山（上り）駅 (京王線),東京都 世田谷区南烏山6丁目1番1号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.600069,35.667778
千歳烏山（下り）駅 (京王線),東京都 世田谷区南烏山6丁目1番1号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.601075,35.668005
千歳烏山（下り）駅 (京王線),東京都 世田谷区南烏山6丁目1番1号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.601081,35.668007
池ノ上駅 (井の頭線),東京都 世田谷区代沢2丁目43番8号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.673118,35.66045
新代田駅 (井の頭線),東京都 世田谷区代田5丁目30番18号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.660598,35.662557
東松原駅 (井の頭線),東京都 世田谷区松原5丁目2番6号,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.655301,35.662736
明大前駅 (京王線/井の頭線),東京都 世田谷区松原2丁目45番1号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線/井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.650323,35.668595
下北沢駅 (井の頭線),東京都 世田谷区北沢2丁目23番9号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666386,35.661688
奥沢駅 (目黒線),東京都 世田谷区奥沢3丁目47番17号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 目黒線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.67198,35.603925
池尻大橋駅 (田園都市線),東京都 世田谷区池尻3丁目2番地,B2F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.684317,35.650613
三軒茶屋駅 (世田谷線/田園都市線),東京都 世田谷区太子堂2丁目15番地,B1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 世田谷線/田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.671153,35.64352
駒沢大学駅 (田園都市線),東京都 世田谷区上馬4丁目3番地,B1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.661197,35.633214
桜新町駅 (田園都市線),東京都 世田谷区桜新町2丁目8番地,B1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.644514,35.631651
桜新町駅 (田園都市線),東京都 世田谷区桜新町2丁目8番地,B1F,多機能お手洗い,"改修工事完了（2021年2月16日供用開始済み） | 鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.644545,35.631654
用賀駅 (田園都市線),東京都 世田谷区用賀2丁目39番地,B1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.633782,35.626515
用賀駅 (田園都市線),東京都 世田谷区用賀2丁目39番地,B1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.633812,35.626495
二子玉川駅 (田園都市線/大井町線),東京都 世田谷区玉川2丁目22番13号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 田園都市線/大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.627161,35.612312
二子玉川駅 (田園都市線/大井町線),東京都 世田谷区玉川2丁目22番13号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 田園都市線/大井町線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.627172,35.61232
九品仏駅 (大井町線),東京都 世田谷区奥沢7丁目20番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.66105,35.605439
九品仏駅 (大井町線),東京都 世田谷区奥沢7丁目20番1号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.661016,35.605445
尾山台駅 (大井町線),東京都 世田谷区等々力5丁目5番7号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.653456,35.607206
等々力駅 (大井町線),東京都 世田谷区等々力3丁目1番1号,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.647334,35.608444
上野毛駅 (大井町線),東京都 世田谷区上野毛1丁目26番6号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.639112,35.611894
上野毛駅 (大井町線),東京都 世田谷区上野毛1丁目26番6号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 大井町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.638976,35.611889
上町駅 (世田谷線),東京都 世田谷区世田谷3丁目4番3号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 世田谷線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.646524,35.643483
