name,address,floor,toilet_name,note,color,lng,lat
南新宿駅 (小田原線),東京都 渋谷区代々木2丁目29番16号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.698941,35.683703
参宮橋駅 (小田原線),東京都 渋谷区代々木4丁目6番7号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.693507,35.678625
代々木八幡駅 (小田原線),東京都 渋谷区代々木5丁目6番1号,2F,多目的トイレ,"点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.688794,35.669666
代々木八幡駅 (小田原線),東京都 渋谷区代々木5丁目6番1号,2F,多目的トイレ,"点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.688824,35.669677
代々木上原駅 (小田原線),東京都 渋谷区西原3丁目8番5号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.67994,35.6692
代々木上原駅 (小田原線),東京都 渋谷区西原3丁目8番6号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.679978,35.669195
初台駅 (京王線),東京都 渋谷区初台1丁目53番7号,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.686178,35.681131
初台東口駅 (京王線),東京都 渋谷区初台1丁目53番7号,B2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.686911,35.681574
幡ヶ谷駅 (京王線),東京都 渋谷区幡ヶ谷1丁目2番1号,B2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.676948,35.677276
笹塚駅 (京王線),東京都 渋谷区笹塚1丁目56番7号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666869,35.67349
渋谷駅 (井の頭線),東京都 渋谷区道玄坂1丁目4番1号,2F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699268,35.658438
渋谷駅 (井の頭線),東京都 渋谷区道玄坂1丁目4番1号,2F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699348,35.658435
神泉駅 (井の頭線),東京都 渋谷区神泉町4番6号,2F,だれでもトイレ,"車椅子は入れれば、内部で回転可能　出入口：今後改修予定 | 鉄道会社: 京王電鉄 | 路線: 井の頭線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.693513,35.657234
渋谷駅 (東横線),東京都 渋谷区渋谷2丁目21番13号,B2F,多機能お手洗い（女性用）（宮益坂トイレ）,"鉄道会社: 東急電鉄 | 路線: 東横線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.702468,35.659617
