name,address,floor,toilet_name,note,color,lng,lat
池袋駅 (池袋線),東京都 豊島区南池袋1丁目28番1号,B1F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.71104,35.72842
椎名町駅 (池袋線),東京都 豊島区長崎1丁目1番22号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.69489,35.726418
東長崎駅 (池袋線),東京都 豊島区長崎5丁目1番1号,2F,だれでもトイレ,"鉄道会社: 西武鉄道 | 路線: 池袋線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.68282,35.730287
池袋駅 (4号線丸ノ内線/8号線有楽町線/13号線副都心線),東京都 豊島区西池袋3丁目28番14号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.70978,35.72959
池袋駅 (4号線丸ノ内線/8号線有楽町線/13号線副都心線),東京都 豊島区西池袋3丁目28番14号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.70901,35.73118
池袋駅 (4号線丸ノ内線/8号線有楽町線/13号線副都心線),東京都 豊島区西池袋3丁目28番14号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 4号線丸ノ内線/8号線有楽町線/13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.71244,35.729789
東池袋駅 (8号線有楽町線),東京都 豊島区東池袋4丁目4番4号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.71935,35.725833
要町駅 (8号線有楽町線),東京都 豊島区要町1丁目1番10号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.69774,35.733393
要町駅 (8号線有楽町線),東京都 豊島区要町1丁目1番10号,B1F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.69982,35.733106
千川駅 (8号線有楽町線),東京都 豊島区要町3丁目10番7号,B2F,バリアフリートイレ,"鉄道会社: 東京地下鉄 | 路線: 8号線有楽町線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.68922,35.738455
雑司が谷駅 (13号線副都心線),東京都 豊島区雑司が谷2丁目6番1号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7142,35.71939
雑司が谷駅 (13号線副都心線),東京都 豊島区雑司が谷2丁目6番1号,B1F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7141,35.71935
雑司が谷駅 (13号線副都心線),東京都 豊島区雑司が谷2丁目6番1号,B2F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7155,35.72099
雑司が谷駅 (13号線副都心線),東京都 豊島区雑司が谷2丁目6番1号,B2F,多機能トイレ,"鉄道会社: 東京地下鉄 | 路線: 13号線副都心線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7155,35.721
池袋駅 (東上本線),東京都 豊島区西池袋1丁目1番21号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 東上本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.710283,35.72945
北池袋駅 (東上本線),東京都 豊島区池袋本町1丁目36番6号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 東上本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.716735,35.741124
下板橋駅 (東上本線),東京都 豊島区池袋本町4丁目43番11号,1F,多機能トイレ,"鉄道会社: 東武鉄道 | 路線: 東上本線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.715136,35.745535
駒込駅 (山手線),東京都 豊島区駒込2丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7472,35.73665
駒込駅 (山手線),東京都 豊島区駒込2丁目,B1F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.748993,35.73735
巣鴨駅 (山手線),東京都 豊島区巣鴨1丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7396,35.73359
大塚駅 (山手線),東京都 豊島区南大塚3丁目,1F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7284,35.73178
池袋駅 (山手線/赤羽線（埼京線）),東京都 豊島区南池袋1丁目,B1F,多機能お手洗い,"鉄道会社: 東日本旅客鉄道 | 路線: 山手線/赤羽線（埼京線） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.7111,35.72972
目白駅 (山手線),東京都 豊島区目白3丁目,2F,多機能トイレ,"戸の形式は回転ドア（押しボタン） | 鉄道会社: 東日本旅客鉄道 | 路線: 山手線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.7066,35.72114
