name,address,floor,toilet_name,note,color,lng,lat
長沼駅 (京王線),東京都 八王子市長沼町700番地,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.366398,35.642827
北野駅 (京王線/高尾線),東京都 八王子市打越町335番地1,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線/高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.35428,35.644408
京王八王子駅 (京王線),東京都 八王子市明神町3丁目27番1号,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.343394,35.657761
京王八王子西口駅 (京王線),東京都 八王子市明神町3丁目27番1号,B2F,だれでもトイレ,"改札外に設置 | 鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.342927,35.657706
京王八王子西口駅 (京王線),東京都 八王子市明神町3丁目27番1号,B2F,だれでもトイレ,"改札外に設置 | 鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.342927,35.657706
京王片倉駅 (高尾線),東京都 八王子市片倉町39番地4,B1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.337307,35.644368
山田駅 (高尾線),東京都 八王子市緑町434番地,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.321168,35.644472
めじろ台駅 (高尾線),東京都 八王子市めじろ台1丁目100番1号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.307837,35.64331
狭間駅 (高尾線),東京都 八王子市東浅川町773番地,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.293379,35.640581
高尾駅 (高尾線),東京都 八王子市初沢町1227番地,2F,多機能トイレ,"点字ブロックは音声案内板の前まで有り | 鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.281593,35.641642
高尾山口駅 (高尾線),東京都 八王子市高尾町2241番地,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 高尾線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.269873,35.632486
