name,address,floor,toilet_name,note,color,lng,lat
百草園駅 (京王線),東京都 日野市百草209番地,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.43092,35.657505
高幡不動駅 (京王線/動物園線),東京都 日野市高幡139番地,3F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線/動物園線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.412697,35.662331
多摩動物公園駅 (動物園線),東京都 日野市程久保3丁目36番39号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 動物園線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.404553,35.649189
南平駅 (京王線),東京都 日野市南平6丁目9番31号,1F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.392159,35.654726
平山城址公園駅 (京王線),東京都 日野市平山5丁目18番10号,1F,多機能トイレ,"鉄道会社: 京王電鉄 | 路線: 京王線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.380168,35.647366
多摩動物公園駅 (多摩都市モノレール線),東京都 日野市程久保7丁目1番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.40365,35.648348
程久保駅 (多摩都市モノレール線),東京都 日野市程久保8丁目1番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.41084,35.655297
高幡不動駅 (多摩都市モノレール線),東京都 日野市高幡1039番地1,2F,車いす対応トイレ,"トイレ内での車いす回転は不可能 | 鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.41523,35.661516
万願寺駅 (多摩都市モノレール線),東京都 日野市万願寺4丁目34番地,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.41995,35.671371
甲州街道駅 (多摩都市モノレール線),東京都 日野市日野1030番地先,2F,車いす対応トイレ,"鉄道会社: 多摩都市モノレール | 路線: 多摩都市モノレール線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.40938,35.678157
日野駅 (中央線),東京都 日野市大坂上1丁目,1F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.39394,35.679241
豊田駅 (中央線),東京都 日野市豊田4丁目,2F,多機能トイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 中央線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.3814,35.659477
