name,address,floor,toilet_name,note,color,lng,lat
鶴川駅 (小田原線),東京都 町田市能ヶ谷1丁目6番3号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.48171,35.583182
鶴川駅 (小田原線),東京都 町田市能ヶ谷1丁目6番3号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.48171,35.583182
玉川学園前駅 (小田原線),東京都 町田市玉川学園2丁目21番9号,2F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.463303,35.563266
玉川学園前駅 (小田原線),東京都 町田市玉川学園2丁目21番9号,2F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.463296,35.563269
町田駅 (小田原線),東京都 町田市原町田6丁目12番20号,1F,多目的トイレ,東口改札外 | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応,#0066cc,139.445244,35.544367
町田駅 (小田原線),東京都 町田市原町田6丁目12番20号,1F,多目的トイレ,"東口改札外 | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, おむつ交換台",#0066cc,139.445253,35.544363
町田駅 (小田原線),東京都 町田市原町田6丁目12番20号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.445236,35.544149
町田駅 (小田原線),東京都 町田市原町田6丁目12番20号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.445161,35.544253
多摩境駅 (相模原線),東京都 町田市小山ヶ丘3丁目23番地,2F,だれでもトイレ,"鉄道会社: 京王電鉄 | 路線: 相模原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.367001,35.601937
つくし野駅 (田園都市線),東京都 町田市つくし野4丁目1番地,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.485224,35.527573
つくし野駅 (田園都市線),東京都 町田市つくし野4丁目1番地,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.485231,35.527606
すずかけ台駅 (田園都市線),東京都 町田市南つくし野3丁目1番地,1F,多機能お手洗,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.481561,35.517007
南町田グランベリーパーク駅 (田園都市線),東京都 町田市鶴間3丁目3番2号,1F,多機能お手洗い,"鉄道会社: 東急電鉄 | 路線: 田園都市線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.471039,35.511548
相原駅 (横浜線),東京都 町田市相原町,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 横浜線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.3317,35.60687
成瀬駅 (横浜線),東京都 町田市南成瀬1丁目1番5号,1F,だれでもトイレ,"鉄道会社: 東日本旅客鉄道 | 路線: 横浜線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4729,35.53552
町田駅 (横浜線),東京都 町田市原町田1丁目,2F,多機能化粧室,"鉄道会社: 東日本旅客鉄道 | 路線: 横浜線 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#0066cc,139.4454,35.54188
