name,address,floor,toilet_name,note,color,lng,lat
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,B1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699413,35.69078
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,B1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.699413,35.69078
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.699955,35.689631
新宿駅 (小田原線),東京都 新宿区西新宿1丁目1番3号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.699955,35.689631
南新宿駅 (小田原線),東京都 渋谷区代々木2丁目29番16号,2F,多目的トイレ,"非常用呼び出しはインターホン | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.698941,35.683703
参宮橋駅 (小田原線),東京都 渋谷区代々木4丁目6番7号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.693507,35.678625
代々木八幡駅 (小田原線),東京都 渋谷区代々木5丁目6番1号,2F,多目的トイレ,"点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.688794,35.669666
代々木八幡駅 (小田原線),東京都 渋谷区代々木5丁目6番1号,2F,多目的トイレ,"点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える | 鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応",#0066cc,139.688824,35.669677
代々木上原駅 (小田原線),東京都 渋谷区西原3丁目8番5号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.67994,35.6692
代々木上原駅 (小田原線),東京都 渋谷区西原3丁目8番6号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.679978,35.669195
東北沢駅 (小田原線),東京都 世田谷区北沢3丁目1番4号,1F,ファミリートイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, おむつ交換台",#0066cc,139.672875,35.665486
東北沢駅 (小田原線),東京都 世田谷区北沢3丁目1番4号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.6729,35.665505
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666613,35.661022
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.666613,35.661022
下北沢駅 (小田原線),東京都 世田谷区北沢2丁目24番2号,B2F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.665866,35.660495
世田谷代田駅 (小田原線),東京都 世田谷区代田2丁目31番12号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.661273,35.658257
世田谷代田駅 (小田原線),東京都 世田谷区代田2丁目31番12号,1F,ファミリートイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, おむつ交換台",#0066cc,139.661266,35.658255
梅ヶ丘駅 (小田原線),東京都 世田谷区梅丘1丁目31番21号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.653609,35.655937
豪徳寺駅 (小田原線),東京都 世田谷区豪徳寺1丁目43番4号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#0066cc,139.647552,35.653716
経堂駅 (小田原線),東京都 世田谷区経堂2丁目1番3号,1F,多目的トイレ,"鉄道会社: 小田急電鉄 | 路線: 小田原線 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#0066cc,139.636437,35.651324
