name,address,floor,toilet_name,note,color,lng,lat
板橋都税事務所,東京都 板橋区大山東町44番地8号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.706298,35.749488
地方独立行政法人東京都立病院機構　東京都立豊島病院,東京都 板橋区栄町33番1号,1F,1階外来車いす用トイレ,病院利用者・関係者（お見舞い等）のみ使用可能となり、一般の方の利用は不可能です。※一般の方がご利用の際には入口の警備員に病院への立入許可をお取りください。 | 設備: 車椅子対応,#00cc00,139.701144,35.75282
東京都立中央・城北職業能力開発センター板橋校,東京都 板橋区舟渡二丁目2番1号,1F,人材育成プラザ棟１階多目的トイレ,設備: 車椅子対応,#00cc00,139.691175,35.793465
東京都立中央・城北職業能力開発センター板橋校,東京都 板橋区舟渡二丁目2番1号,2F,人材育成プラザ棟２階多目的トイレ,設備: 車椅子対応,#00cc00,139.691175,35.793465
東京都立中央・城北職業能力開発センター板橋校,東京都 板橋区舟渡二丁目2番1号,3F,本館３階多目的トイレ,※休館日/年末年始 | 設備: 車椅子対応,#00cc00,139.69128,35.793645
赤塚公園,東京都 板橋区高島平三丁目1番地,1F,サービスセンタートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.657546,35.785485
赤塚公園,東京都 板橋区高島平三丁目1番地,1F,競技場前多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.655738,35.784919
赤塚公園,東京都 板橋区徳丸七丁目4番地,1F,辻山多目的トイレ,設備: 車椅子対応,#00cc00,139.662961,35.780889
赤塚公園,東京都 板橋区徳丸八丁目23番地,1F,番場多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.654381,35.783692
浮間公園,東京都 板橋区舟渡二丁目15番,1F,第5号多目的トイレ,"平成31年1月〜令和4年9月末まで改築工事（東京都）令和4年10月3日供用開始 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.693107,35.795026
浮間公園,東京都 板橋区舟渡二丁目14番,1F,第4号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.692809,35.794044
城北中央公園,東京都 板橋区桜川一丁目,1F,いちょう多目的トイレ,"イベント時等のみ | 設備: 車椅子対応, おむつ交換台",#00cc00,139.673694,35.756339
城北中央公園,東京都 板橋区桜川一丁目,1F,つばき多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.676194,35.75523
都営三田線駅新板橋駅,東京都 板橋区板橋一丁目53番17号,B2F,バリアフリートイレ旧,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.718899,35.748903
都営三田線駅新板橋駅,東京都 板橋区板橋一丁目53番17号,B2F,バリアフリートイレ新,"設備: 車椅子対応, オストメイト対応",#00cc00,139.718899,35.748903
都営三田線板橋区役所前駅,東京都 板橋区板橋二丁目66番17号,1F,だれでもトイレＡ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.709611,35.751417
都営三田線板橋区役所前駅,東京都 板橋区板橋二丁目66番17号,B1F,だれでもトイレＢ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.709692,35.751729
都営三田線板橋本町駅,東京都 板橋区大和町17番1号,B3F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.70557,35.760976
都営三田線本蓮沼駅,東京都 板橋区蓮沼町19番8号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.702566,35.768619
都営三田線志村坂上駅,東京都 板橋区志村一丁目14番13号,B2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.694684,35.776491
都営三田線志村三丁目駅,東京都 板橋区志村三丁目23番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.685926,35.777481
都営三田線蓮根駅,東京都 板橋区蓮根二丁目31番30号,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.678967,35.784082
都営三田線西台駅,東京都 板橋区高島平九丁目1番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.673632,35.786996
都営三田線高島平駅,東京都 板橋区高島平八丁目2番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.661438,35.788993
都営三田線新高島平駅,東京都 板橋区高島平七丁目1番,1F,だれでもトイレ,"介助シート（大型ベッド・おむつ交換台兼用）あり | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.654559,35.790222
都営三田線西高島平駅,東京都 板橋区高島平六丁目1番,1F,だれでもトイレ,"介助シート（大型ベッド・おむつ交換台兼用）あり | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.645942,35.791914
東京都水道局板橋営業所,東京都 板橋区氷川町3番地6号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.707233,35.751704
志村消防署高島平出張所,東京都 板橋区高島平三丁目12番10号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.658018,35.786199
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,1F,南館1階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.70904,35.751064
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,1F,南館1階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.709036,35.751026
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,2F,南館2階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.709041,35.751067
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,2F,南館2階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.709036,35.751026
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,3F,南館3階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.708988,35.750869
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,3F,北館3階多目的トイレ,設備: 車椅子対応,#00cc00,139.709061,35.751189
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,4F,南館4階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.708987,35.75087
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,4F,北館4階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.709061,35.751189
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,5F,南館5階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.708986,35.75087
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,5F,北館5階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.709059,35.75119
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,6F,南館6階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.708984,35.750869
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,6F,北館6階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.709058,35.751192
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,7F,北館7階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.709056,35.751189
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,8F,北館8階多目的トイレ,設備: 車椅子対応,#00cc00,139.709058,35.751187
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,9F,北館9階多目的トイレ,設備: 車椅子対応,#00cc00,139.709061,35.75119
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,10F,北館10階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.709059,35.751192
板橋区役所本庁舎,東京都 板橋区板橋二丁目66番1号,11F,北館11階多目的トイレ,設備: 車椅子対応,#00cc00,139.709058,35.751192
赤塚支所,東京都 板橋区赤塚六丁目38番1号,B1F,地下1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.644744,35.778633
赤塚支所,東京都 板橋区赤塚六丁目38番1号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.644736,35.778629
赤塚支所,東京都 板橋区赤塚六丁目38番1号,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.644734,35.778628
赤塚支所,東京都 板橋区赤塚六丁目38番1号,3F,3階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.644787,35.778715
常盤台区民事務所,東京都 板橋区常盤台三丁目27番1号,1F,1階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.682337,35.761329
志村福祉課,東京都 板橋区蓮根二丁目28番１号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.675158,35.785305
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,1F,1階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708859,35.750018
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,2F,2階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708864,35.750018
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,3F,3階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.70886,35.750021
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,4F,4階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708865,35.750022
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,5F,5階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708862,35.750017
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,6F,6階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708858,35.750021
情報処理センター (情報処理センター),東京都 板橋区板橋二丁目65番6号,7F,7階車いす使用者用トイレ,設備: 車椅子対応,#00cc00,139.708865,35.750018
四葉集会所,東京都 板橋区四葉二丁目9番16号,1F,1階誰でもトイレ（集会所利用者専用）,設備: 車椅子対応,#00cc00,139.651761,35.781021
見次公園内集会所,東京都 板橋区前野町四丁目59番1号,2F,2階誰でもトイレ（集会所利用者専用）,設備: 車椅子対応,#00cc00,139.693523,35.773371
