name,address,floor,toilet_name,note,color,lng,lat
中野都税事務所,東京都 中野区中野四丁目6番15号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.663678,35.709745
中野都税事務所,東京都 中野区中野四丁目6番15号,6F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.663678,35.709745
都営大江戸線中野坂上駅,東京都 中野区中央二丁目2番28号,B2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.682984,35.697565
都営大江戸線東中野駅,東京都 中野区東中野三丁目8番16号,B1F,だれでもトイレ,"介助シート（大型ベッド・おむつ交換台兼用）あり | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.683044,35.707044
都営大江戸線新江古田駅,東京都 中野区江原町二丁目29番13号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.670436,35.732557
東京都水道局中野営業所,東京都 中野区中野一丁目5番7号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.677606,35.701797
中野消防署東中野出張所,東京都 中野区上高田一丁目1番7号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.681671,35.709844
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,B1F,B1階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6628724,35.70907944
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,1F,1階多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.6628724,35.70907944
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,2F,2階多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.6630231,35.70870102
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,3F,3階多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.6630231,35.70870102
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,4F,4階多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎） (東京都第三建設事務所),東京都 中野区中野四丁目１１番１９号,5F,5階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,6F,6階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,7F,7階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,8F,8階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,9F,9階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,10F,10階多機能トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.6627088,35.7086648
中野区役所本庁舎（東京都第三建設事務所合同庁舎）,東京都 中野区中野四丁目１１番１９号,11F,11階多機能トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.6627088,35.7086648
中部すこやか福祉センター,東京都 中野区中央三丁目19番1号,1F,1階西側だれでもトイレ,設備: 車椅子対応,#00cc00,139.674159,35.700363
中部すこやか福祉センター,東京都 中野区中央三丁目19番1号,1F,1階東側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.674159,35.700363
中部すこやか福祉センター,東京都 中野区中央三丁目19番1号,2F,2階西側だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.674159,35.700363
中部すこやか福祉センター,東京都 中野区中央三丁目19番1号,2F,2階東側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.674159,35.700363
南部すこやか福祉センター等複合施設,東京都 中野区弥生町五丁目11番26号,1F,1階バリアフリートイレ,"第1・第3月曜日（祝日の場合はその翌日）は午後10時30分まで | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.668569,35.688141
南部すこやか福祉センター等複合施設,東京都 中野区弥生町五丁目11番26号,2F,2階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.668537,35.688225
南部すこやか福祉センター等複合施設,東京都 中野区弥生町五丁目11番26号,3F,3階バリアフリートイレ,"区の事業実施時以外は立入不可のため利用できない。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.668557,35.688023
南部すこやか福祉センター等複合施設,東京都 中野区弥生町五丁目11番26号,4F,4階バリアフリートイレ,"区の事業実施時以外は立入不可のため利用できない。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.668557,35.688023
北部すこやか福祉センター,東京都 中野区江古田四丁目31番10号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.661622,35.724712
鷺宮すこやか福祉センター,東京都 中野区若宮三丁目58番10号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.640064,35.722053
南中野区民活動センター,東京都 中野区弥生町五丁目5番2号,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.666327,35.686081
南中野区民活動センター,東京都 中野区弥生町五丁目5番2号,3F,3階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.66631,35.68624
弥生区民活動センター,東京都 中野区弥生町一丁目58番14号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.678461,35.692379
東部区民活動センター,東京都 中野区中央二丁目18番21号,2F,2階北側だれでもトイレ,"年末年始（12月29日〜1月3日）は休館のため使用不可。その他、施設の維持管理等のため、使用できない日、時間があります。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.682563,35.700451
鍋横区民活動センター,東京都 中野区本町五丁目47番13号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.66791,35.693668
