name,address,floor,toilet_name,note,color,lng,lat
練馬都税事務所,東京都 練馬区豊玉北六丁目13番10号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.651342,35.736895
石神井公園,東京都 練馬区石神井町五丁目21番,1F,第3号多目的トイレ,"12/28〜1/3の期間は、管理所が閉所しているため使用不可。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.599169,35.737791
石神井公園,東京都 練馬区石神井台一丁目26番,1F,第1号多目的トイレ,"12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.596424,35.738776
石神井公園,東京都 練馬区石神井町五丁目21番,1F,第4号多目的トイレ,"12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.601502,35.739398
石神井公園,東京都 練馬区石神井町五丁目21番,1F,第5号多目的トイレ,"12/28〜1/3の期間は、管理所は閉所しているが、警備員さんが出勤していて通常通り利用可能。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.605055,35.739153
石神井公園,東京都 練馬区石神井町五丁目17番,1F,第7号多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.597315,35.738483
石神井公園,東京都 練馬区石神井町五丁目17番,1F,第8号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.602991,35.737512
石神井公園,東京都 練馬区石神井町五丁目17番,1F,第9号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.602955,35.738778
石神井公園,東京都 練馬区石神井町一丁目18番,1F,第2号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.5954873,35.73716163
大泉中央公園,東京都 練馬区大泉学園町九丁目44番,1F,第2号多目的トイレ,,#00cc00,139.597476,35.774911
城北中央公園,東京都 練馬区羽沢三丁目,1F,くちなし多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.672321,35.752016
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,11号多目的トイレ,設備: 車椅子対応,#00cc00,139.634455,35.767845
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,1号多目的トイレ,設備: 車椅子対応,#00cc00,139.628161,35.763382
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,3号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.626661,35.767515
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,4号多目的トイレ,設備: 車椅子対応,#00cc00,139.626675,35.768989
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,6号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.629614,35.767559
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,7号多目的トイレ,設備: 車椅子対応,#00cc00,139.632076,35.76767
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,8号多目的トイレ,設備: 車椅子対応,#00cc00,139.630802,35.765392
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,9号多目的トイレ,設備: 車椅子対応,#00cc00,139.631164,35.764528
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,テニスコート更衣棟便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.630127,35.765172
光が丘公園,東京都 練馬区光が丘四丁目1番1号,1F,弓道場便所,設備: 車椅子対応,#00cc00,139.634771,35.766547
都営大江戸線練馬駅,東京都 練馬区豊玉北五丁目17番12号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.654943,35.737387
都営大江戸線豊島園駅,東京都 練馬区練馬四丁目14番17号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.649137,35.741666
都営大江戸線練馬春日町駅,東京都 練馬区春日町三丁目29番25号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.640128,35.751495
都営大江戸線光が丘駅,東京都 練馬区光が丘二丁目9番5号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.629104,35.758534
東京都水道局北部支所,東京都 練馬区中村北一丁目9番4号,1F,1階南側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.647658,35.734692
練馬消防署,東京都 練馬区豊玉北五丁目1番8号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.655935,35.737427
光が丘消防署北町出張所,東京都 練馬区北町三丁目10番14号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.65372,35.768523
石神井消防署石神井公園出張所,東京都 練馬区石神井町二丁目16番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.607725,35.745472
北保健相談所,東京都 練馬区北町6丁目35番7号,1F,だれでもトイレ,"令和３年３月末に移転 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.649561,35.757169
