name,address,floor,toilet_name,note,color,lng,lat
大田都税事務所,東京都 大田区新蒲田一丁目18番22号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.710733,35.557443
大井ふ頭中央海浜公園ホッケー競技場 (サブピッチ),東京都 大田区東海１丁目２番１号,1F,車いすＷＣ1-1,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.753293,35.588825
大井ふ頭中央海浜公園ホッケー競技場 (サブピッチ),東京都 大田区東海１丁目２番２号,2F,車いすＷＣ2-2,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.753399,35.58881
大井ふ頭中央海浜公園ホッケー競技場 (サブピッチ),東京都 大田区東海１丁目２番３号,2F,ＭＷＣ2-1,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: オストメイト対応,#00cc00,139.753054,35.588868
大井ふ頭中央海浜公園ホッケー競技場 (サブピッチ),東京都 大田区東海１丁目２番４号,2F,ＷＷＣ2-1,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: オストメイト対応,#00cc00,139.753014,35.588868
地方独立行政法人東京都立病院機構　東京都立荏原病院,東京都 大田区東雪谷四丁目5番10号,1F,1階北側障害者用トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.692898,35.593999
東京都中央卸売市場大田市場（事務棟）,東京都 大田区東海三丁目2番1号,2F,事務棟2階東側122番トイレ,"常時利用可能。（休市日も使用可能） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.758734,35.579016
東京都中央卸売市場大田市場（花き棟）,東京都 大田区東海二丁目2番1号,2F,花き棟2階西側936番トイレ,"常時利用可能。（休市日も使用可能） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.754846,35.580504
城南島海浜公園,東京都 大田区城南島四丁目,1F,Ｃ（信号所）,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783217,35.578382
城南島海浜公園,東京都 大田区城南島四丁目,1F,管理事務所脇,"設備: 車椅子対応, おむつ交換台",#00cc00,139.785557,35.5807
城南島海浜公園,東京都 大田区城南島四丁目,1F,第二キャンプ場,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783537,35.582085
東海ふ頭公園,東京都 大田区東海二丁目,1F,東海ふ頭公園,設備: 車椅子対応,#00cc00,139.756133,35.577934
京浜島つばさ公園,東京都 大田区京浜島二丁目,1F,つばさ展望トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.767332,35.567172
京浜島つばさ公園,東京都 大田区京浜島二丁目,1F,つばさ広場トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.770572,35.571387
東京港野鳥公園,東京都 大田区東海3-1,1F,管理棟向い屋外　多目的トイレ,設備: 車椅子対応,#00cc00,139.760458,35.583588
東京港野鳥公園,東京都 大田区東海3-1,2F,ネイチャセンター2F　だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760419,35.583916
都営浅草線西馬込駅,東京都 大田区西馬込二丁目1番6号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.706039,35.587452
都営浅草線馬込駅,東京都 大田区北馬込二丁目31番9号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.711996,35.597218
大森消防署山谷出張所,東京都 大田区大森西五丁目14番5号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.729981,35.569765
大森消防署森ケ崎出張所,東京都 大田区大森南三丁目33番8号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.745669,35.564541
蒲田消防署　空港分署,東京都 大田区羽田空港一丁目１番２号,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.753255,35.54911
六郷地域力推進センター,東京都 大田区仲六郷二丁目44番11号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.71604,35.551015
六郷地域力推進センター,東京都 大田区仲六郷二丁目44番11号,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.71604,35.551015
六郷地域力推進センター,東京都 大田区仲六郷二丁目44番11号,3F,3階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.71604,35.551015
六郷地域力推進センター,東京都 大田区仲六郷二丁目44番11号,4F,4階だれでもトイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.71604,35.551015
六郷地域力推進センター,東京都 大田区仲六郷二丁目44番11号,5F,5階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.71604,35.551015
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.715968,35.561376
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,2F,2階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.715993,35.561369
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,3F,3階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.715993,35.561369
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,4F,4階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.715993,35.561369
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,6F,6階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.716212,35.561865
大田区役所本庁舎,東京都 大田区蒲田五丁目13番14号,8F,8階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.715993,35.561369
大田区大森地域庁舎,東京都 大田区大森西一丁目12番1号,1F,１階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.722901,35.578186
大田区大森地域庁舎,東京都 大田区大森西一丁目12番1号,2F,２階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.722901,35.578186
大田区蒲田地域庁舎,東京都 大田区蒲田本町二丁目1番1号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.718337,35.55851
大田区蒲田地域庁舎,東京都 大田区蒲田本町二丁目1番1号,2F,2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.718337,35.55851
大田区蒲田地域庁舎,東京都 大田区蒲田本町二丁目1番1号,3F,3階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.718337,35.55851
大田区蒲田地域庁舎,東京都 大田区蒲田本町二丁目1番1号,4F,4階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.718337,35.55851
大田区蒲田地域庁舎,東京都 大田区蒲田本町二丁目1番1号,5F,5階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.718337,35.55851
