name,address,floor,toilet_name,note,color,lng,lat
渋谷合同庁舎,東京都 渋谷区千駄ヶ谷四丁目3番15号,7F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.704326,35.679382
渋谷合同庁舎,東京都 渋谷区千駄ヶ谷四丁目3番15号,2F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.704326,35.679382
東京ウィメンズプラザ,東京都 渋谷区神宮前五丁目53番67号,1F,１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.708327,35.66323
東京ウィメンズプラザ,東京都 渋谷区神宮前五丁目53番67号,2F,２階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.708094,35.663357
東京ウィメンズプラザ,東京都 渋谷区神宮前五丁目53番67号,B1F,地下１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.708446,35.663148
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B1F,車いす対応トイレ（B1北東）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712824,35.679959
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B1F,車いす対応トイレ（B1南東）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712417,35.679385
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B1F,車いす対応トイレ（B1南西）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712117,35.679596
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B1F,車いす対応トイレ（B1北西）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712514,35.680115
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F北選手更衣室前）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712824,35.679959
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F南休憩スペース）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.711931,35.679713
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F北休憩スペース）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712317,35.68021
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,2F,車いす対応トイレ（２F北東）,"メインアリーナご利用者用 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.713023,35.679962
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,2F,車いす対応トイレ（２F南東）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712532,35.679304
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,2F,車いす対応トイレ（２F南西）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.711976,35.679591
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,2F,車いす対応トイレ（２F北西）,"メインアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.71247,35.680228
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B2F,車いす対応トイレ（B2Fサブアリーナ前）,"サブアリーナご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712714,35.679213
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F会議室前）,"会議室〔陸上競技場含む〕ご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.712315,35.678997
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１Fメインエントランス）,"ご来館者用〔休館日を除く〕 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.7118,35.679578
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,B1F,車いす対応トイレ（B1F25mプール）,プールご利用者用 | 設備: 車椅子対応,#00cc00,139.711802,35.679112
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１Fエレベーターホール前）,"プール、トレーニングルーム等ご利用者用 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.711644,35.679206
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１Fエレベーターホール前）,"プール、トレーニングルーム等ご利用者用 | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.711644,35.679206
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F50mプール左）,プールご利用者用 | 設備: 車椅子対応,#00cc00,139.711601,35.679082
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,1F,車いす対応トイレ（１F50mプール右）,プールご利用者用 | 設備: 車椅子対応,#00cc00,139.711601,35.679082
東京体育館 (東京体育館),東京都 渋谷区千駄ヶ谷1丁目17番1号,2F,車いす対応トイレ（２Fプール観客席）,プールご利用者用 | 設備: 車椅子対応,#00cc00,139.711662,35.679086
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,１０号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.693158,35.670022
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,１号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.692974,35.671229
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,2号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.691715,35.672381
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,3号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.693814,35.672915
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,５号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.696483,35.671731
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,６号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.698151,35.670498
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,７号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.700097,35.668967
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,８号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.695395,35.669148
代々木公園,東京都 渋谷区代々木神園町2番地1号,1F,サービスセンター多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.691743,35.671779
代々木公園,東京都 渋谷区神南二丁目3番1号,1F,バスケットコート北側トイレ(女子）11号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.694879,35.667765
代々木公園,東京都 渋谷区神南二丁目3番1号,1F,バスケットコート北側トイレ(男子）11号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.694924,35.66781
代々木公園,東京都 渋谷区神南二丁目3番1号,1F,野外ステージ多目的トイレ,施設利用者のみ、年末年始休み | 設備: 車椅子対応,#00cc00,139.69671,35.667227
代々木公園,東京都 渋谷区神南二丁目3番1号,1F,陸上競技場横13号多目的トイレ,施設利用者のみ、整備日・年末年始休み | 設備: 車椅子対応,#00cc00,139.694916,35.666512
代々木公園,東京都 渋谷区神南二丁目3番1号,1F,１2号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.69684,35.667001
代々木公園,東京都 渋谷区神南二丁目3番１号,1F,陸上競技場フィールドハウス多目的トイレ,"施設利用者のみ、整備日・年末年始休み | 設備: 車椅子対応, オストメイト対応",#00cc00,139.694855,35.666314
代々木公園,東京都 渋谷区神南二丁目3番１号,1F,陸上競技場フィールドハウス多目的トイレ,"施設利用者のみ、整備日・年末年始休み | 設備: 車椅子対応, オストメイト対応",#00cc00,139.694855,35.666314
都営大江戸線代々木駅,東京都 渋谷区代々木一丁目35番5号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.70147,35.683961
東京都渋谷営業所,東京都 渋谷区千駄ケ谷四丁目3番15号,2F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.704419,35.679511
千駄ヶ谷出張所,東京都 渋谷区千駄ヶ谷四丁目25番14号,1F,１階だれでもトイレ,"毎年12/29〜1/3休館 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.705398,35.68103
神宮前公衆便所,東京都 渋谷区神宮前一丁目3番14号,1F,神宮前公衆便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.707977,35.672442
美竹分庁舎清掃事務所,東京都 渋谷区渋谷一丁目2番17号,1F,1階だれでもトイレ,"日曜日、年末年始休み | 設備: 車椅子対応, オストメイト対応",#00cc00,139.706222,35.661528
