name,address,floor,toilet_name,note,color,lng,lat
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,1F ,1階中央車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用南側から中央に移設 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.691468,35.689389
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,1F ,1階中央車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用北側から中央に移設 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.691446,35.689453
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,2F,2階中央車いす使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.691613,35.689338
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,32F,32階中央車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用北側から中央に移設 | 設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.691851,35.689561
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,32F,32階中央車いす使用者対応トイレ,南側から中央に移設 | 設備: 車椅子対応,#00cc00,139.691835,35.689638
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,3F,3階南側車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691531,35.689943
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,3F,3階北側車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691748,35.68903
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,B3F,B3階中央車いす使用者対応トイレ,"乳児用おむつ交換台、椅子確認済み | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.691693,35.689655
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,B2F,B2階中央車いす使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.691693,35.689655
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,N45F,北45階車いす使用者対応トイレ,"年末年始（12月29日〜31日、１月２日及び３日）及び都庁舎点検日は休室 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691708,35.689626
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,N45F,北45階車いす使用者対応トイレ,"年末年始（12月29日〜31日、１月２日及び３日）及び都庁舎点検日は休室 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691632,35.689619
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,S45F,南45階車いす使用者対応トイレ,"年末年始（12月29日〜31日、１月２日及び３日）及び都庁舎点検日は休室 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691689,35.689334
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,S45F,南45階車いす使用者対応トイレ,"年末年始（12月29日〜31日、１月２日及び３日）及び都庁舎点検日は休室 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691774,35.68935
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,5F,5階北側車いす使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.691701,35.689881
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,16F,16階中央車いす使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.691595,35.68942
東京都庁第一本庁舎,東京都 新宿区西新宿二丁目8番1号,25F,25階北側車いす使用者対応トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.691623,35.68965
東京都庁第二本庁舎,東京都 新宿区西新宿二丁目8番1号,1F,1階南側車いす使用者対応トイレ,"おむつ交換台は大型ベッドと兼用 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.691912,35.688377
東京都庁第二本庁舎,東京都 新宿区西新宿二丁目8番1号,1F,1階北側車いす使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.691495,35.689787
