name,address,floor,toilet_name,note,color,lng,lat
杉並都税事務所,東京都 杉並区成田東五丁目39番11号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.6343111,35.6997545
玉川上水緑道,東京都 杉並区久我山1丁目６番,1F,旧岩通ガーデン(仮）トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.598738,35.683177
和田堀公園,東京都 杉並区松ノ木一丁目1番,1F,11号多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.644324,35.686177
和田堀公園,東京都 杉並区堀ノ内一丁目16番,1F,14号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.647528,35.68647
和田堀公園,東京都 杉並区大宮二丁目23番,1F,9号多目的トイレ,設備: 車椅子対応,#00cc00,139.640202,35.683919
和田堀公園,東京都 杉並区大宮二丁目26番,1F,第一競技場北多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.642044,35.685016
和田堀公園,東京都 杉並区堀ノ内一丁目15番,1F,第二競技場西多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.647239,35.685231
和田堀公園,東京都 杉並区堀ノ内一丁目15番,1F,第二競技場東多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.648777,35.68456
善福寺公園,東京都 杉並区善福寺三丁目18番18号,1F,3号トイレ,,#00cc00,139.591038,35.715095
善福寺公園,東京都 杉並区善福寺二丁目31番,1F,4号トイレ,設備: 車椅子対応,#00cc00,139.591559,35.713782
善福寺川緑地,東京都 杉並区成田西三丁目14番,1F,3号多目的トイレ,"イベント時等のみ | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.629848,35.692867
善福寺川緑地,東京都 杉並区成田西一丁目30番,1F,5号多目的トイレ,設備: 車椅子対応,#00cc00,139.632223,35.690553
善福寺川緑地,東京都 杉並区成田東二丁目7番,1F,6号多目的トイレ,設備: 車椅子対応,#00cc00,139.632694,35.687682
善福寺川緑地,東京都 杉並区成田東二丁目7番,1F,7号多目的トイレ,設備: 車椅子対応,#00cc00,139.635009,35.686292
善福寺川緑地,東京都 杉並区成田西三丁目1番,1F,尾崎橋北側多目的トイレ,設備: 車椅子対応,#00cc00,139.633296,35.692532
高井戸公園,東京都 杉並区久我山2-19-43,1F,１号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.603839,35.684703
高井戸公園,東京都 杉並区久我山2-19-43,1F,２号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.60379,35.68467
高井戸公園,東京都 杉並区久我山2-2-1,1F,４号トイレ（ｻｰﾋﾞｽｾﾝﾀｰ外側）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.603575,35.681746
高井戸公園,東京都 杉並区久我山2-2-1,1F,３号トイレ（球技場横）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.605266,35.682333
東京都水道局和泉庁舎（西部支所）,東京都 杉並区和泉三丁目8番10号,2F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.646118,35.675394
杉並消防署永福出張所,東京都 杉並区下高井戸二丁目21番37号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.641531,35.669038
荻窪消防署下井草出張所,東京都 杉並区下井草三丁目30番10号,1F,多機能トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.624086,35.722496
杉並消防署　高円寺出張所,東京都 杉並区高円寺南五丁目３３番８号,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.655129,35.705284
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,1F,中棟１階バリアフリートイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.63618,35.699742
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,2F,中棟２階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.63618,35.699742
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,3F,中棟３階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.636207,35.699865
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,4F,中棟４階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.636207,35.699865
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,5F,中棟５階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.636207,35.699865
杉並区役所本庁舎 (杉並区役所),東京都 杉並区阿佐谷南一丁目15番1号,B2F,中棟地下２階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.63618,35.699742
杉並区役所分庁舎 (杉並区役所分庁舎),東京都 杉並区成田東四丁目36番13号,1F,分庁舎バリアフリートイレ,設備: 車椅子対応,#00cc00,139.637514,35.69849
井草区民事務所,東京都 杉並区下井草四丁目30番2号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.618898,35.723391
杉並区立井草地域区民センター,東京都 杉並区下井草五丁目7番22号,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.616497,35.720601
杉並区立井草地域区民センター,東京都 杉並区下井草五丁目7番22号,2F,2階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.616484,35.720559
杉並区立井草地域区民センター,東京都 杉並区下井草五丁目7番22号,B1F,地下1階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.616497,35.720601
杉並区立四宮区民集会所,東京都 杉並区上井草二丁目28番13号,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.608675,35.72287
杉並区立八成区民集会所,東京都 杉並区井草一丁目3番2号,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.621799,35.724397
荻窪地域区民センター,東京都 杉並区荻窪二丁目34番20号,1F,1階だれでもトイレ,"大規模改修工事に伴い、令和6年11月1から令和8年6月30日(予定)まで休館 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.618972,35.698583
荻窪地域区民センター,東京都 杉並区荻窪二丁目34番20号,2F,2階だれでもトイレ,"大規模改修工事に伴い、令和6年11月1から令和8年6月30日(予定)まで休館 | 設備: 車椅子対応, 大型ベッド",#00cc00,139.618972,35.698583
荻窪地域区民センター,東京都 杉並区荻窪二丁目34番20号,B2F,地下2階だれでもトイレ,"大規模改修工事に伴い、令和6年11月1から令和8年6月30日(予定)まで休館 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.618979,35.698517
本天沼区民集会所 (コミュニティふ らっと本天沼),東京都 杉並区本天沼二丁目12番10号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.624282,35.712585
杉並区立梅里区民集会所,東京都 杉並区梅里二丁目34番20号,1F,1階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.641493,35.69635
