name,address,floor,toilet_name,note,color,lng,lat
豊島合同庁舎,東京都 豊島区西池袋一丁目17番1号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.708405,35.73095
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,2F,アッパー広場,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7079,35.73001
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,2F,ホール横,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7078,35.7296
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,5F,ギャラリー１横,設備更新工事を行うため、令和7年9月中（予定）まで休館中 | 設備: 車椅子対応,#00cc00,139.7081,35.72951
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,5F,広場,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7078,35.72998
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,7F,大ホール右,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.7077,35.7296
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,7F,大ホール左,設備更新工事を行うため、令和7年9月中（予定）まで休館中 | 設備: 車椅子対応,#00cc00,139.7081,35.72946
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,B1F,ロワー広場前,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7078,35.72997
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,B1F,小ホール１横,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7082,35.72958
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,B1F,小ホール２横,"設備更新工事を行うため、令和7年9月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7083,35.7301
東京芸術劇場,東京都 豊島区西池袋一丁目8番1号,B2F,地下２階,"設備更新工事を行うため、令和7年7月中（予定）まで休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.7082,35.72987
地方独立行政法人東京都立病院機構　東京都立大塚病院,東京都 豊島区南大塚二丁目8番1号,1F,１階外来東側多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.73251,35.725405
地方独立行政法人東京都立病院機構　東京都立大塚病院,東京都 豊島区南大塚二丁目8番1号,1F,１階外来西側多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.732052,35.725316
染井霊園,東京都 豊島区駒込五丁目5番1号,1F,バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.738376,35.738622
雑司ヶ谷霊園,東京都 豊島区南池袋四丁目25番1号,1F,崇祖堂誰でもトイレ,"雑司ヶ谷霊園管理事務所　大塚　良太03-3971-6868 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.717842,35.722669
都営三田線駅巣鴨駅,東京都 豊島区巣鴨三丁目27番7号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.738723,35.733428
都営三田線駅西巣鴨駅,東京都 豊島区西巣鴨三丁目25番13号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.728923,35.743301
