name,address,floor,toilet_name,note,color,lng,lat
浜離宮恩賜庭園,東京都 中央区浜離宮庭園1番地1号,1F,サービスセンター裏多目的トイレ,"※休園日／年末年始（12/29〜1/1） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.763075,35.662301
浜離宮恩賜庭園,東京都 中央区浜離宮庭園1番地1号,1F,水上バス発着場横多目的トイレ,"※休園日／年末年始（12/29〜1/1） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.767002,35.660184
浜離宮恩賜庭園,東京都 中央区浜離宮庭園1番地1号,1F,鷹の御茶屋横多目的トイレ,"※休園日／年末年始（12/29〜1/1） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.763412,35.659247
浜離宮恩賜庭園,東京都 中央区浜離宮庭園1番地1号,1F,野外卓広場横多目的トイレ,"※休園日／年末年始（12/29〜1/1） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.76227,35.660405
東京都宝町駐車場,東京都 中央区京橋一丁目13番1号先,B1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.772881,35.677093
東京都八重洲駐車場,東京都 中央区京橋一丁目10番1号先,B1F,車椅子使用者対応トイレ（E階段）,"E階段側 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.77243,35.678722
東京都八重洲駐車場,東京都 中央区京橋一丁目10番1号先,B1F,車椅子使用者対応トイレ（F階段）,"F階段側 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.77243,35.678722
東京都八重洲駐車場,東京都 中央区京橋一丁目10番1号先,B2,車椅子使用者対応トイレ,"E階段側 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.772611,35.679061
晴海ふ頭公園,東京都 中央区晴海五丁目,1F,北側バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.772422,35.647258
晴海ふ頭公園,東京都 中央区晴海五丁目,1F,南側バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.770477,35.648511
都営浅草線東銀座駅,東京都 中央区銀座四丁目10番10号先,B1F,車椅子使用者対応トイレ（左）,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.76675,35.669978
都営浅草線東銀座駅,東京都 中央区銀座四丁目10番10号先,B1F,車椅子使用者対応トイレ（右）,"設備: 車椅子対応, オストメイト対応",#00cc00,139.7668669,35.6699248
都営浅草線宝町駅,東京都 中央区京橋二丁目13番11号先,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.771715,35.674928
都営浅草線日本橋駅,東京都 中央区日本橋一丁目13番1号先,B2F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.775588,35.68166
都営浅草線人形町駅,東京都 中央区日本橋人形町三丁目7番13号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.781705,35.686088
都営浅草線東日本橋駅,東京都 中央区東日本橋三丁目11番8号先,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.7848,35.692491
都営新宿線馬喰横山駅,東京都 中央区日本橋横山町4番地13号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.783446,35.691567
都営新宿線浜町駅,東京都 中央区日本橋浜町二丁目59番3号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.788266,35.688452
都営大江戸線月島駅,東京都 中央区月島一丁目5番4号先,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.784082,35.663824
都営大江戸線勝どき駅,東京都 中央区勝どき二丁目10番15号先,B1F,女性用だれでもトイレＡ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.777795,35.65948
都営大江戸線勝どき駅,東京都 中央区勝どき二丁目10番15号先,B1F,女性用だれでもトイレＢ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.777214,35.658964
都営大江戸線勝どき駅,東京都 中央区勝どき二丁目10番15号先,B1F,男性用だれでもトイレＡ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.777795,35.65948
都営大江戸線勝どき駅,東京都 中央区勝どき二丁目10番15号先,B1F,男性用だれでもトイレＢ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.777214,35.658964
都営大江戸線築地市場駅,東京都 中央区築地五丁目1番2号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.766858,35.664875
日本橋消防署浜町出張所,東京都 中央区日本橋浜町三丁目45番12号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.791846,35.685306
臨港消防署,東京都 中央区晴海五丁目8番20号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.770767,35.649473
臨港消防署月島出張所,東京都 中央区勝どき四丁目6番3号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.776759,35.656943
中央区役所本庁舎,東京都 中央区築地一丁目1番1号,1F,１階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.772281,35.670677
中央区役所本庁舎,東京都 中央区築地一丁目1番1号,2F,別館２階車椅子使用者対応トイレ,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.772385,35.670713
中央区役所本庁舎,東京都 中央区築地一丁目1番1号,4F,４階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.772281,35.67066
中央区役所本庁舎,東京都 中央区築地一丁目1番1号,6F,６階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.772281,35.670668
中央区役所本庁舎,東京都 中央区築地一丁目1番1号,B1F,B1F車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.7717765,35.67047648
日本橋特別出張所,東京都 中央区日本橋蛎殻町一丁目31番1号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.784288,35.682522
月島特別出張所 (月島保健センター),東京都 中央区月島四丁目1番1号,1F,車椅子使用者対応トイレ,"ﾋﾟｸﾄｸﾞﾗﾑを併記してある | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.782234,35.662096
晴海特別出張所,東京都 中央区晴海四丁目８番１号,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.7800373,35.65213826
晴海特別出張所,東京都 中央区晴海四丁目８番１号,2F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.7800374,35.6520249
中央区立男女平等センター「ブーケ２１」 (中央区立男女平等センター「ブーケ２１」),東京都 中央区湊一丁目1番1号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.778774,35.67351
中央区立京橋区民館,東京都 中央区京橋二丁目6番7号,1F,京橋区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.771282,35.676591
中央区立京橋プラザ区民館,東京都 中央区銀座一丁目25番3号,2F,京橋プラザ区民館２階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.771653,35.673246
中央区立銀座区民館,東京都 中央区銀座四丁目13番17号,3F,銀座区民館３階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.768684,35.669492
中央区立新富区民館,東京都 中央区新富一丁目13番24号,1F,新富区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.774748,35.673586
中央区立明石町区民館,東京都 中央区明石町14番地2号,1F,明石町区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.778162,35.665827
中央区立新川区民館,東京都 中央区新川一丁目26番1号,1F,新川区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.78358,35.676475
中央区立堀留町区民館 (日本橋保健センター等複合施設),東京都 中央区日本橋堀留町一丁目1番1号,3F,堀留町区民館３階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.778887,35.687441
中央区立人形町区民館,東京都 中央区日本橋人形町二丁目14番5号,5F,人形町区民館５階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.784823,35.684595
中央区立人形町区民館,東京都 中央区日本橋人形町二丁目14番5号,6F,人形町区民館６階トイレ,設備: 車椅子対応,#00cc00,139.784911,35.684528
中央区立久松町区民館,東京都 中央区日本橋久松町1番地2号,1F,久松町区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783952,35.688677
中央区立浜町区民館,東京都 中央区日本橋浜町三丁目37番1号,4F,中央区立浜町区民館,"設備: 車椅子対応, おむつ交換台",#00cc00,139.791511,35.685526
中央区立新場橋区民館,東京都 中央区日本橋兜町11番地9号,1F,新場橋区民館階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.776322,35.679999
中央区立佃区民館,東京都 中央区佃二丁目17番8号,4F,佃区民館４階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.784978,35.664886
中央区立月島区民館,東京都 中央区月島二丁目8番11号,1F,月島区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.784671,35.663258
中央区立勝どき区民館,東京都 中央区勝どき一丁目5番1号,1F,勝どき区民館１階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.777777,35.660716
中央区立豊海区民館,東京都 中央区豊海町2番6号,2F,豊海区民館２階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.771932,35.654215
中央区立晴海区民館,東京都 中央区晴海一丁目8番6号,3F,晴海区民館３階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783252,35.657183
中央区立セレモニーホール,東京都 中央区勝どき一丁目13番19号,2F,セレモニーホール２階トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.774675,35.66042
