name,address,floor,toilet_name,note,color,lng,lat
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,1F,車いすＷＣ1-1,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.752977,35.593097
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,1F,車いすＷＣ1-2,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.753081,35.592905
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,1F,車いすＷＣ1-3,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, 大型ベッド",#00cc00,139.753054,35.592375
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,2F,車いすＷＣ2-1,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応,#00cc00,139.752967,35.592936
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,2F,車いすＷＣ2-2,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, 大型ベッド",#00cc00,139.752992,35.592753
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,2F,車いすＷＣ2-3,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応,#00cc00,139.752941,35.59232
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,3F,車いすＷＣ3-1,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応,#00cc00,139.752971,35.592858
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,3F,車いすＷＣ3-2,"ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.752992,35.592517
大井ふ頭中央海浜公園ホッケー競技場 (メインピッチ),東京都 品川区八潮４丁目１番１９号,3F,車いすＷＣ3-3,ホッケー競技場の利用者（選手・観客等）のみ利用できます。 | 設備: 車椅子対応,#00cc00,139.752932,35.592405
城南職業能力開発センター,東京都 品川区東品川三丁目31番16号,1F,A棟１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.749757,35.612024
