name,address,floor,toilet_name,note,color,lng,lat
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,1F,１階だれでもトイレ（女性用）,設備: 車椅子対応,#00cc00,139.740596,35.713874
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,1F,１階だれでもトイレ（男性用）,設備: 車椅子対応,#00cc00,139.740606,35.713863
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,2F,２階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740738,35.713671
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,3F,３階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740738,35.713671
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,4F,４階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740738,35.713671
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,5F,５階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740738,35.713671
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,6F,６階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740738,35.713671
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,7F,７階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740745,35.713685
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,8F,８階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740686,35.713724
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,9F,９階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740686,35.713724
東京都社会福祉保健医療研修センター,東京都 文京区小日向四丁目1番6号,B1F,地下１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.740677,35.713833
地方独立行政法人東京都立病院機構　東京都立駒込病院,東京都 文京区本駒込三丁目18番22号,1F,入院・見舞入口だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.756229,35.729973
小石川後楽園,東京都 文京区後楽一丁目6番6号,1F,団体休憩所トイレ,"有料公園につき開園時間のみ。庭園入園者のみ利用可、12/29〜1/1は閉園 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.748542,35.706098
小石川後楽園,東京都 文京区後楽一丁目6番6号,1F,涵徳亭内多目的トイレ,"有料公園につき開園時間のみ。入園者及び涵徳亭利用者の利用可、12/29〜1/1は閉園 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.74823,35.705139
小石川後楽園,東京都 文京区後楽一丁目6番6号,1F,東門だれでもトイレ,"有料公園につき開園時間のみ。庭園入園者のみ利用可、12/29〜1/1は閉園 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.748423,35.704683
六義園,東京都 文京区本駒込六丁目16番3号,1F,正門新トイレ,"有料公園につき開園時間のみ。庭園入園者のみ利用可、12/29〜1/1は閉園 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.748457,35.732548
都営三田線駅水道橋駅,東京都 文京区後楽一丁目3番42号先,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.755189,35.703881
都営三田線駅春日駅,東京都 文京区本郷四丁目15番16号,B2F,三田線だれでもトイレ,"介助シート（大型ベッド・おむつ交換台兼用）あり | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.753261,35.709252
都営三田線駅白山駅,東京都 文京区白山五丁目36番10号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.75215,35.721384
都営三田線駅千石駅,東京都 文京区千石一丁目29番13号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.744283,35.72818
都営大江戸線飯田橋駅,東京都 文京区後楽一丁目9番5号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.746953,35.703705
都営大江戸線春日駅,東京都 文京区春日一丁目16番17号,B2F,大江戸線だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.752714,35.708528
都営大江戸線本郷三丁目駅,東京都 文京区本郷二丁目40番8号,B1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760802,35.707581
東京都水道局文京営業所,東京都 文京区西片二丁目16番23号,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.75532,35.717954
東京都水道歴史館,東京都 文京区本郷二丁目7番1号,1F,１階多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.760492,35.703347
文京シビックセンター (文京シビックセンター),東京都 文京区春日一丁目16番21号,10F,１０階北側トイレ名なし（ピクトグラムのみ）,施設パンフレット類で明記する必要がある場合には、「バリアフリートイレ」と記載する（R4.7月以降）。 | 設備: 車椅子対応,#00cc00,139.752379,35.708164
文京シビックセンター (文京シビックセンター),東京都 文京区春日一丁目16番21号,11F,１１階北側トイレ名なし（ピクトグラムのみ）,施設パンフレット類で明記する必要がある場合には、「バリアフリートイレ」と記載する（R4.8月以降）。 | 設備: 車椅子対応,#00cc00,139.752379,35.708164
