name,address,floor,toilet_name,note,color,lng,lat
水元公園,東京都 葛飾区水元公園4番地,1F,11号トイレ,"こちらのトイレはサブアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.868547,35.792797
水元公園,東京都 葛飾区東金町五丁目53番,1F,12号トイレ,"こちらのトイレはサブアリーナご利用の方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.882708,35.779197
水元公園,東京都 葛飾区東金町八丁目7番,1F,13号トイレ,こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応,#00cc00,139.88397,35.781537
水元公園,東京都 葛飾区東金町八丁目32番,1F,14号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.885783,35.782326
水元公園,東京都 葛飾区水元公園1番地,1F,15号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.877585,35.780656
水元公園,東京都 葛飾区東水元二丁目41番,1F,16号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.869401,35.782677
水元公園,東京都 葛飾区東金町八丁目28番,1F,17号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.887126,35.782268
水元公園,東京都 葛飾区東水元8番8号,1F,18号トイレ,"こちらのトイレはプールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.859872,35.793839
水元公園,東京都 葛飾区水元公園2番地,1F,2号トイレ,"こちらはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.871706,35.782085
水元公園,東京都 葛飾区水元公園3番地,1F,4号トイレ,"こちらのトイレはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.869666,35.784984
水元公園,東京都 葛飾区水元公園4番地,1F,5号トイレ,"こちらのトイレはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.869486,35.788542
水元公園,東京都 葛飾区水元公園4番地9号,1F,6号トイレ（女性用）,こちらのトイレは施設をご利用いただく方にお使いいただけます。 | 設備: 車椅子対応,#00cc00,139.869622,35.79077
水元公園,東京都 葛飾区水元公園4番地9号,1F,6号トイレ（男性用）,こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応,#00cc00,139.869668,35.790769
水元公園,東京都 葛飾区水元公園5番地9号,1F,7号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.871356,35.791832
水元公園,東京都 葛飾区水元公園7番地9号,1F,8号トイレ,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.871564,35.795198
