name,address,floor,toilet_name,note,color,lng,lat
東京都八丈支庁,東京都 八丈町大賀郷2466番地2,2F,2階北側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.788908,33.110034
東京都八丈支庁,東京都 八丈町大賀郷2466番地2,2F,展示ホール入口だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.788866,33.10962
東京都八丈支庁,東京都 八丈町大賀郷2466番地2,3F,3階北側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.788921,33.110041
底土野営場,東京都 八丈町三根4188番地,1F,底土野営場,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.814163,33.126508
大賀郷園地,東京都 八丈町大賀郷地内,1F,大賀郷園地,"設備: 車椅子対応, おむつ交換台",#00cc00,139.780626,33.109171
大潟浦園地,東京都 八丈町大賀郷地内,1F,大潟浦園地,設備: 車椅子対応,#00cc00,139.76291,33.102975
登龍園地,東京都 八丈町三根4100番地,1F,登龍園地,"設備: 車椅子対応, おむつ交換台",#00cc00,139.835586,33.11352
南原園地,東京都 八丈町大賀郷地内,1F,南原園地,,#00cc00,139.755548,33.105689
八丈植物公園,東京都 八丈町大賀郷2834番地,1F,八丈植物公園誰でもトイレNo.1,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.782349,33.111162
八丈植物公園,東京都 八丈町大賀郷2834番地,1F,八丈植物公園誰でもトイレNo.4,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.787514,33.110825
八丈植物公園,東京都 八丈町大賀郷2834番地,1F,八丈植物公園誰でもトイレNo.5,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.785263,33.10887
八丈ビジターセンター,東京都 八丈町大賀郷2843番地,1F,八丈ビジターセンタートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.783823,33.111917
東京都島しょ保健所八丈出張所,東京都 八丈町三根1950番地2,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.793807,33.11247
東京都島しょ保健所八丈出張所,東京都 八丈町三根1950番地2,2F,2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.793807,33.11247
八重根港船客待合所,東京都 八丈町大賀郷542番地16,1F,八重根船客待合所トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.771477,33.099897
八重根港ビーチサービス施設,東京都 八丈町大賀郷8311番地15,1F,八重根港ビーチサービス施設トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.771477,33.099897
神湊港（底土）船客待合所,東京都 八丈町三根4184-1,2F,神湊港（底土）船客待合所男性トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.816676,33.122949
神湊港（底土）船客待合所,東京都 八丈町三根4184-1,2F,神湊港（底土）船客待合所女性トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.816714,33.122859
八重根漁港便所・休憩所,東京都 八丈町大賀郷542-15,1F,八重根漁港便所・休憩所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.775031,33.099193
