name,address,floor,toilet_name,note,color,lng,lat
三宅支庁第一庁舎 (三宅支庁第一庁舎),東京都 三宅村伊豆642番地,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.517245,34.118767
富士箱根伊豆国立公園 伊豆岬園地 (公衆トイレ),東京都 三宅村伊豆138番地,1F,伊豆岬園地だれでも トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.490251,34.11217
富士箱根伊豆国立公園 錆ヶ浜園地 (公衆トイレ),東京都 三宅村阿古672番地6,1F,錆ヶ浜園地 だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.480757,34.071315
富士箱根伊豆国立公園 三池浜園地 (公衆トイレ),東京都 三宅村坪田951番地,1F,三池浜園地 だれでもトイレ,設備: 車椅子対応,#00cc00,139.560598,34.085959
富士箱根伊豆国立公園 大久保浜園地 (公衆トイレ),東京都 三宅村伊豆633番地2,1F,大久保浜園地だれでも トイレ,"設備: オストメイト対応, おむつ交換台",#00cc00,139.516153,34.120828
富士箱根伊豆国立公園 大路池周廻線道路（歩道） (公衆トイレ),東京都 三宅村坪田6312番地,1F,大路池周廻線道路（歩道） だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.526653,34.05667
富士箱根伊豆国立公園 富賀浜園地 (公衆トイレ),東京都 三宅村阿古914番地1,1F,富賀浜園地 だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.481942,34.054016
雄山登山線（歩道）共用トイレ,東京都 三宅村雄山216番地,1F,公衆トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.534439,34.098174
東京都島しょ保健所三宅出張所,東京都 三宅村伊豆1004番地,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.503888,34.117836
三宅島空港ターミナルビル,東京都 三宅村坪田1378番地,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.55843,34.072129
阿古漁港船客待合所,東京都 三宅村阿古672番地3号,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.480737,34.06818
阿古漁港船客待合所,東京都 三宅村阿古672番地3号,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.48073,34.068152
三池港船客待合所,東京都 三宅村坪田字沖の平,2F,２階だれでもトイレ,"船客待合所工事のため仮船客待合所トイレを記載(設備も同トイレで記載） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.563604,34.079688
三宅村役場臨時庁舎,東京都 三宅村阿古497番地,1F,だれでもトイレ,"手洗い場あり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.479651,34.075811
坪田福祉会館,東京都 三宅村坪田3007番地,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.548088,34.060061
三宅村阿古釜庭公衆便所,東京都 三宅村阿古548番地2,1F,三宅村阿古釜庭公衆便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.475064,34.076475
