name,address,floor,toilet_name,note,color,lng,lat
東京都小笠原支庁母島出張所,東京都 小笠原村母島字元地,1F,母島出張所だれでもトイレ,開庁時のみ利用可能,#00cc00,142.161585,26.640013
大神山公園,東京都 小笠原村父島字西町,1F,大神山公園大村中央地区だれでもトイレ,"大神山公園サービスセンター：玉置剛04998-2-7170 | 設備: 車椅子対応, おむつ交換台",#00cc00,142.193059,27.093929
大神山公園,東京都 小笠原村父島字清瀬,1F,大神山公園清瀬だれでもトイレ,設備: 車椅子対応,#00cc00,142.197212,27.098068
とびうお公園,東京都 小笠原村父島字奥村,1F,とびうお公園　便所,"設備: 車椅子対応, 大型ベッド",#00cc00,142.198699,27.098691
脇浜なぎさ公園,東京都 小笠原村母島字静沢,1F,脇浜なぎさ公園　便所,設備: 車椅子対応,#00cc00,142.15673,26.636944
二見港船客待合所,東京都 小笠原村父島字東町,1F,二見港船客待合所,"設備: 車椅子対応, おむつ交換台",#00cc00,142.196131,27.094841
沖港船客待合所,東京都 小笠原村母島字元地,1F,沖港船客待合所　便所,設備: 車椅子対応,#00cc00,142.159637,26.639017
二見漁港,東京都 小笠原村父島字奥村,1F,二見漁港　便所,設備: 車椅子対応,#00cc00,142.202829,27.097648
小笠原村役場第一庁舎,東京都 小笠原村父島字西町,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,142.191883,27.094389
小笠原ビジターセンター,東京都 小笠原村父島字西町,1F,ビジターセンター屋外だれでもトイレ,設備: 車椅子対応,#00cc00,142.192023,27.093468
小笠原ビジターセンター,東京都 小笠原村父島字西町,1F,ビジターセンター室内だれでもトイレ,・曜日関係なくビジターセンター開館日のみ利用可能です。・ビジターセンター開館日はおがさわら丸・観光船入港中です。ただしＧＷ・夏期などは、毎日開館いたします。また、夜間開館日（21時まで）は、閉館まで利用可能です。 | 設備: おむつ交換台,#00cc00,142.191788,27.093198
奥村運動場ゲートボール場トイレ,東京都 小笠原村父島字奥村,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,142.201275,27.100075
