name,address,floor,toilet_name,note,color,lng,lat
東京都大島支庁舎 (東京都大島支庁舎),東京都 大島町元町字オンダシ222番地1,1F,身障者用便所,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.357449,34.757454
東京都大島支庁舎 (東京都大島支庁舎),東京都 大島町元町字オンダシ222番地1,2F,身障者用便所,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.357449,34.757454
大島公園椿園,東京都 大島町泉津字福重２,1F,椿資料館前便所,"便所改修工事中のため、調査取り止めとした。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.434043,34.762084
大島公園椿園,東京都 大島町泉津字福重２,1F,椿資料館便所,"手洗い場あり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.434251,34.762193
海のふるさと村,東京都 大島町泉津字原野２番地１,1F,セントラルロッジ便所（管理棟）,男子便所と兼用。手洗い場、小便器、大便器、掃除用洗い場あり。 | 設備: 車椅子対応,#00cc00,139.443663,34.744982
大島仲の原園地,東京都 大島町元町字仲の原1番地ほか,1F,大島仲の原園地だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.351232,34.757134
大島泉浜園地,東京都 大島町元町字和泉102番地3,1F,泉浜園地だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.351608,34.767026
大島野田浜園地,東京都 大島町岡田字新開199番地,1F,野田浜園地だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.361255,34.796111
大島御神火茶屋園地,東京都 大島町元町字上山622番地10他,1F,御神火茶屋園地だれでもトイレ,設備: おむつ交換台,#00cc00,139.379782,34.73772
大島御神火茶屋園地,東京都 大島町元町字上山622番地10他,1F,展望避難休憩舎便所,"手洗い場あり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.380277,34.737821
大島公園動物園,東京都 大島町泉津字福重2番地,1F,大島公園動物園なかよし広場だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.435405,34.760698
大島公園動物園,東京都 大島町泉津字福重2番地,1F,大島公園動物園入口前だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.434495,34.761394
ヨウゴシ岬園地,東京都 大島町岡田,1F,ヨウゴシ岬園地　便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.401554,34.786873
トウシキ野営場,東京都 大島町差木地字下原974他,1F,トウシキ野営場　便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.429782,34.681259
元町港船客待合所 (元町港船客待合所),東京都 大島町元町一丁目18番3号,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.352522,34.752041
岡田港船客待合所 (岡田港船客待合所),東京都 大島町岡田字横町83番1、83番3地先,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.391811,34.789997
東京都大島空港ターミナルビル (東京都大島空港ターミナルビル),東京都 大島町元町字北の山270番地,1F,1階だれでもトイレ,"設備更新はないが、昨年度参考データの誤りを赤字で修正した。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.363238,34.78258
東京都大島空港ターミナルビル (東京都大島空港ターミナルビル),東京都 大島町元町字北の山270番地,2F,2階だれでもトイレ,"設備更新はないが、昨年度参考データの誤りを赤字で修正した。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.363245,34.78236
岡田コミュニティセンター,東京都 大島町岡田字助田64番地1,1F,１階コミュニティセンター側　障害者対応トイレ,基本平日9：00〜17：15だが、センター申込使用時については、土・日曜・祝祭日22：00迄利用可能。 | 設備: 車椅子対応,#00cc00,139.39173,34.785275
伊豆大島火山博物館,東京都 大島町元町字神田屋敷617番地,1F,伊豆大島火山博物館トイレ,設備: 車椅子対応,#00cc00,139.360042,34.743996
愛らんどセンター御神火温泉,東京都 大島町元町字仲の原1番地8号,1F,御神火温泉トイレ,設備: 車椅子対応,#00cc00,139.351666,34.756074
吉谷公園,東京都 大島町元町四丁目1番8号,1F,吉谷公園公衆便所,設備: 車椅子対応,#00cc00,139.35728,34.750961
椿公園,東京都 大島町元町字下高洞669番地2,1F,椿公園公衆トイレ,設備: 車椅子対応,#00cc00,139.358467,34.737595
メモリアル公園管理棟,東京都 大島町元町字神達,1F,身障者用トイレ,"手洗い場あり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.365363,34.74549
野田浜園地公衆便所,東京都 大島町岡田字新開199番地,1F,野田浜園地公衆便所,"設備: 車椅子対応, オストメイト対応",#00cc00,139.361269,34.79612
仲の原園地,東京都 大島町元町字仲の原1番地,1F,仲の原園地公衆便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.351232,34.757134
オタイネ浜園地,東京都 大島町波浮港御体山105番地,1F,オタイネ浜園地公衆便所,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.444409,34.70201
波浮港鉄砲場,東京都 大島町波浮港上崎100番地,1F,波浮港鉄砲場トイレ,設備: 車椅子対応,#00cc00,139.442721,34.686037
三原山展望避難休憩舎,東京都 大島町野増字上山764番地,1F,三原山展望避難休憩舎トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.380413,34.73839
弘法浜サンセットプール,東京都 大島町元町二丁目20番1及び2,1F,弘法浜サンセットプール多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.355535,34.745061
