name,address,floor,toilet_name,note,color,lng,lat
日の出町役場庁舎,東京都 日の出町大字平井2780番地,1F,-,※土曜・日曜・祝日休み | 設備: 車椅子対応,#00cc00,139.257669,35.742165
日の出町教育センター,東京都 日の出町大字平井2780番地,1F,-,※土・日は内設の図書館がやっている為利用可　　祝日休み | 設備: 車椅子対応,#00cc00,139.256869,35.742251
日の出町保健センター,東京都 日の出町大字平井2780番地,1F,-,※土・日は内設の図書館がやっている為利用可　　祝日休み | 設備: 車椅子対応,#00cc00,139.257977,35.742139
やまびこホール,東京都 日の出町大字大久野1165番地2,1F,だれでもトイレ,"施設の使用状況は真水を利用することは考えていない。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.235913,35.745759
町民グランド,東京都 日の出町平井2777番地,1F,だれでもトイレ,２４時間．３６５日利用可能 | 設備: 車椅子対応,#00cc00,139.259981,35.740646
欠上公園,東京都 日の出町大字平井21番地,1F,だれでもトイレ,施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応,#00cc00,139.278048,35.73776
欠下２号公園,東京都 日の出町大字平井5番地,1F,だれでもトイレ,施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応,#00cc00,139.279262,35.740579
桜木中央公園,東京都 日の出町平井204番地,1F,だれでもトイレ,施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応,#00cc00,139.272286,35.735834
こども未来公園,東京都 日の出町大久野2208番地1,1F,だれでもトイレ,"施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.23267,35.74444
やすらぎとふれあいの丘公園,東京都 日の出町大久野239番地,1F,だれでもトイレ,施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応,#00cc00,139.24856,35.742466
下原2号公園,東京都 日の出町大字平井32番地,1F,-,※２４時間利用可 | 設備: 車椅子対応,#00cc00,139.279848,35.735599
ひので野鳥の森自然公園管理棟,東京都 日の出町大字平井3894番地1,1F,-,"※２４時間利用可　　オストメイト表示無し　シャワータイプ　温風器有 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.276912,35.745804
日の出町平井・生涯青春ふれあい総合福祉センター,東京都 日の出町大字平井4118番地,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.274753,35.743203
日の出町大久野老人福祉センター,東京都 日の出町大字大久野2120番地1,1F,１階だれでもトイレ,施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応,#00cc00,139.228254,35.743752
日の出町本宿老人福祉センター,東京都 日の出町大字平井1982番地,1F,車イス用トイレ（女性用）,車イストイレとして設置 | 設備: 車椅子対応,#00cc00,139.260284,35.735777
志茂町児童館,東京都 日の出町大字平井1254番地1,1F,１階身体障碍者用トイレ,"施設建築時（昭和６３年）「障害者用トイレ」との位置づけ、現在入口には、「だれでもトイレ」との表示有（紙による） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.270329,35.740899
ひので肝要の里,東京都 日の出町大字大久野4089番地,1F,-,※２４時間可 | 設備: 車椅子対応,#00cc00,139.205953,35.770488
ひので肝要の里,東京都 日の出町大字大久野4089番地,2F,-,設備: 車椅子対応,#00cc00,139.206103,35.770396
生涯青春の湯つるつる温泉センター,東京都 日の出町大字大久野4718番地,1F,-,※第3火曜休み | 設備: 車椅子対応,#00cc00,139.192004,35.779427
