name,address,floor,toilet_name,note,color,lng,lat
八丈島空港ターミナルビル,東京都 東京都八丈島八丈町大賀郷2839-２,2F（総合ロ）,バリアフリートイレ,,#00cc00,139.7829491,33.11657281
八丈島空港ターミナルビル,東京都 東京都八丈島八丈町大賀郷2839-２,2F（出発ロ）,バリアフリートイレ（多機能）,OPEN時のみ使用可,#00cc00,139.7829491,33.11657281
八丈町役場本庁舎,東京都 東京都八丈島八丈町大賀郷2551番地2,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.789137,33.112727
八丈町役場本庁舎,東京都 東京都八丈島八丈町大賀郷2551番地2,2F,多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.789137,33.112727
八丈町役場本庁舎 (多目的ホール・おじゃれ),東京都 東京都八丈島八丈町大賀郷2551番地2,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.788502,33.112804
三根公民館,東京都 東京都八丈島八丈町三根347番地1,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.802389,33.118868
南原スポーツ公園サッカー場,東京都 東京都八丈島八丈町大賀郷8316番地1,1F,多目的トイレ,サッカー場使用中利用可能 | 設備: 車椅子対応,#00cc00,139.756196,33.111537
南原スポーツ公園野球場 (管理棟),東京都 東京都八丈島八丈町大賀郷8316番地1,1F,多目的トイレ,野球場使用中利用可能 | 設備: 車椅子対応,#00cc00,139.755699,33.109785
横間公衆便所,東京都 東京都八丈島八丈町大賀郷1039番地,1F,多目的トイレ,,#00cc00,139.780518,33.092617
向里公衆便所,東京都 東京都八丈島八丈町大賀郷27番地4,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.78844,33.103783
裏見ヶ滝公衆便所,東京都 東京都八丈島八丈町中之郷1258番地2,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.816854,33.063677
洞輪沢公衆便所,東京都 東京都八丈島八丈町末吉261番地1,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.840812,33.076043
ヤケンガ浜公衆便所,東京都 東京都八丈島八丈町大賀郷無番地,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.770289,33.100341
富士中下公衆トイレ,東京都 東京都八丈島八丈町三根4655番地12,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.795226,33.124247
プラザ公園便所,東京都 東京都八丈島八丈町大賀郷1408番地3,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.793706,33.104735
底土公衆便所,東京都 東京都八丈島八丈町三根4187番地1,1F,多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.815905,33.125012
八丈町コミュニティセンター,東京都 東京都八丈島八丈町三根26番地6,1F,多目的トイレ,設備: 車椅子対応,#00cc00,139.791299,33.113206
