name,address,floor,toilet_name,note,color,lng,lat
羽伏浦園地,東京都 東京都新島村字ナムレ,1F,羽伏浦園地　便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.275306,34.376098
羽伏浦公園（コロシアム）,東京都 東京都新島村字檜山,1F,羽伏浦公園コロシアム　便所,設備: 車椅子対応,#00cc00,139.274393,34.378296
羽伏浦野営場,東京都 東京都新島村字檜山,1F,羽伏浦野営場　便所,設備: 車椅子対応,#00cc00,139.271136,34.379032
間々下園地,東京都 東京都新島村字黒根,1F,間々下便所（女性用）,設備: 車椅子対応,#00cc00,139.24283,34.364378
間々下園地,東京都 東京都新島村字黒根,1F,間々下便所（男性用）,設備: 車椅子対応,#00cc00,139.243018,34.364234
若郷園地,東京都 東京都新島村若郷１,1F,若郷園地　便所,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.282279,34.423818
大浦野営場,東京都 東京都新島村式根島,1F,大浦野営場　便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.209249,34.330566
泊園地,東京都 東京都新島村式根島,1F,泊園地　便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.212383,34.335652
式根島遊歩道（カンビキ）,東京都 東京都新島村式根島,1F,カンビキ便所,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.204427,34.324955
本村前浜便所,東京都 東京都新島村本村６丁目８,1F,本村前浜便所（間々下側）,設備: 車椅子対応,#00cc00,139.252012,34.374565
本村前浜便所,東京都 東京都新島村本村２丁目４,1F,本村前浜便所（若郷側）,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.25419,34.379261
向山展望台トイレ,東京都 東京都新島村本村向山667,1F,向山展望台トイレ,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.252576,34.352256
若郷前浜（奥）,東京都 東京都新島村若郷,1F,不明,"手洗い場あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.282281,34.423842
波伏浦野営場,東京都 東京都新島村本村檜山,1F,誰でもトイレ,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.271105,34.379234
波伏浦海岸,東京都 東京都新島村本村渡瀬山106-1,1F,不明,"手洗い場あり。小便器あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.275297,34.376117
前浜（森電気下）,東京都 東京都新島村本村,1F,誰でもトイレ,"手前の出入り寸法 129cm、130cm　手洗い場あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.253938,34.378835
前浜（浜庄下）,東京都 東京都新島村本村,1F,誰でもトイレ,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.252022,34.374627
B堤防,東京都 東京都新島村本村黒根4,1F,不明,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.247563,34.369354
泊海水浴場トイレ,東京都 東京都新島村式根島914番地,1F,泊海水浴場トイレ,"手洗い場あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.212384,34.335662
大浦海水浴場トイレ,東京都 東京都新島村式根島790番地,1F,大浦海水浴場トイレ,"手洗い場あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.209237,34.330577
神引展望台トイレ,東京都 東京都新島村式根島787番地,1F,神引展望台トイレ,"手洗い場あり。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.20442,34.324963
新島村住民センター,東京都 東京都新島村本村一丁目１番１号,1F,不明,設備: 車椅子対応,#00cc00,139.256806,34.377095
新島村老人福祉センター,東京都 東京都新島村本村一丁目8番2号,1F,だれでもトイレ,手前の出入り寸法 86cm　手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.25619,34.376684
若郷会館,東京都 東京都新島村若郷1-4,1F,不明,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.28385,34.423263
さわやか健康センター,東京都 東京都新島村本村三丁目１２番１号,1F,不明,手洗い場あり。 | 設備: 車椅子対応,#00cc00,139.259849,34.372584
本村診療所,東京都 東京都新島村本村四丁目１０番３号,1F,不明,手前の出入り寸法 119cm　手洗い場あり。診療所職員の青山様に利用時間を確認。 | 設備: 車椅子対応,#00cc00,139.257192,34.370642
式根島福祉健康センター,東京都 東京都新島村式根島３１０番地１,1F,不明,"手洗い場あり。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.215503,34.326604
式根島開発総合センター,東京都 東京都新島村式根島253番地,1F,多目的トイレ,手洗い場あり（2箇所）。ハンドドライヤーあり。 | 設備: 車椅子対応,#00cc00,139.216431,34.325433
式根島診療所,東京都 東京都新島村式根島311番地1,1F,不明,手洗い場あり。もう1箇所だれでもトイレがあるが、利用していない（出入り 71cm、転回 122cm）。 | 設備: 車椅子対応,#00cc00,139.215155,34.326241
