name,address,floor,toilet_name,note,color,lng,lat
野山北・六道山公園,東京都 武蔵村山市大字三ツ木4番地2号,1F,管理所内女便所,設備: 車椅子対応,#00cc00,139.380015,35.76588
野山北・六道山公園,東京都 武蔵村山市大字三ツ木4番地2号,1F,管理所内男便所,設備: 車椅子対応,#00cc00,139.380015,35.76588
野山北・六道山公園,東京都 武蔵村山市本町三丁目86番地,1F,出会便所,24時間 | 設備: 車椅子対応,#00cc00,139.381346,35.762693
野山北・六道山公園,東京都 武蔵村山市大字三ツ木4番地13号,1F,赤坂便所,"24時間 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.377534,35.767014
野山北・六道山公園,東京都 武蔵村山市大字岸2番地32号,1F,里山民家便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.368122,35.76753
北多摩西部消防署武蔵村山出張所,東京都 武蔵村山市榎一丁目1番36号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.386443,35.742334
武蔵村山市役所,東京都 武蔵村山市本町一丁目1番1号,1F,武蔵村山市役所1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.387479,35.754704
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,1F,市民総合センター1階だれでもトイレ1,設備: 車椅子対応,#00cc00,139.403336,35.74615
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,1F,市民総合センター1階だれでもトイレ2,設備: 車椅子対応,#00cc00,139.403363,35.746175
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,1F,市民総合センター1階だれでもトイレ3,"設備: 車椅子対応, オストメイト対応",#00cc00,139.403317,35.746148
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,1F,市民総合センター1階だれでもトイレ4,設備: 車椅子対応,#00cc00,139.403384,35.746158
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,1F,市民総合センター1階だれでもトイレ5,"設備: 車椅子対応, おむつ交換台",#00cc00,139.403342,35.746293
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,2F,市民総合センター2階だれでもトイレ2,設備: 車椅子対応,#00cc00,139.403384,35.746158
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,2F,市民総合センター2階だれでもトイレ3,"設備: 車椅子対応, おむつ交換台",#00cc00,139.40329,35.746288
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,2F,市民総合センター2階だれでもトイレ4,設備: 車椅子対応,#00cc00,139.403336,35.74615
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,3F,市民総合センター3階だれでもトイレ5,"設備: 車椅子対応, おむつ交換台",#00cc00,139.40329,35.746288
武蔵村山市民総合センター,東京都 武蔵村山市学園四丁目5番1号,3F,市民総合センター3階だれでもトイレ,設備: 車椅子対応,#00cc00,139.403362,35.746156
武蔵村山市役所緑が丘出張所 (1104号棟1F),東京都 武蔵村山市緑が丘1460番地,1F,緑が丘出張所だれでもトイレ,設備: 車椅子対応,#00cc00,139.405018,35.741814
武蔵村山市公民館,東京都 武蔵村山市大南二丁目78番1号,1F,公民館だれでもトイレ,設備: 車椅子対応,#00cc00,139.401295,35.73997
武蔵村山市公民館,東京都 武蔵村山市大南二丁目78番1号,1F,公民館だれでもトイレ,設備: 車椅子対応,#00cc00,139.401757,35.739922
中藤地区会館,東京都 武蔵村山市中藤三丁目16番地,3F,中藤地区会館だれでもトイレ,設備: 車椅子対応,#00cc00,139.400749,35.756965
三ツ木地区会館,東京都 武蔵村山市三ツ木二丁目39番2号,2F,三ツ木地区会館2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.368606,35.758542
三ツ木地区会館,東京都 武蔵村山市三ツ木二丁目39番2号,3F,三ツ木地区会館3階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.368606,35.758542
大南地区会館,東京都 武蔵村山市大南五丁目1番69号,1F,大南地区会館だれでもトイレ1,設備: 車椅子対応,#00cc00,139.405892,35.735694
大南地区会館,東京都 武蔵村山市大南五丁目1番69号,1F,大南地区会館だれでもトイレ2,設備: 車椅子対応,#00cc00,139.405821,35.735492
残堀・伊奈平地区会館,東京都 武蔵村山市残堀一丁目60番3号,3F,残堀・伊奈平地区会館だれでもトイレ,設備: 車椅子対応,#00cc00,139.375197,35.746194
公民館さいかち分館,東京都 武蔵村山市緑が丘1133号棟,1F,公民館さいかち分館誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.405977,35.744437
武蔵村山市保健相談センター,東京都 武蔵村山市本町一丁目23番地,1F,保健相談センターだれでもトイレ,設備: 車椅子対応,#00cc00,139.387421,35.752902
武蔵村山市保健相談センターお伊勢の森分室,東京都 武蔵村山市中央二丁目118番地,1F,保健相談センターお伊勢の森分室だれでもトイレ,設備: 車椅子対応,#00cc00,139.39355,35.75106
雷塚図書館,東京都 武蔵村山市学園四丁目4番地,1F,雷塚図書館だれでもトイレ,設備: 車椅子対応,#00cc00,139.400405,35.745837
三ツ木地区図書館,東京都 武蔵村山市三ツ木二丁目39番2号,1F,三ツ木地区図書館だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.368589,35.758663
大南地区図書館,東京都 武蔵村山市大南五丁目1番69号,3F,大南地区図書館だれでもトイレ,設備: 車椅子対応,#00cc00,139.405895,35.735679
中藤地区図書館,東京都 武蔵村山市中藤三丁目16番地,2F,中藤地区図書館だれでもトイレ,設備: 車椅子対応,#00cc00,139.400716,35.756933
残堀・伊奈平地区図書館,東京都 武蔵村山市残堀一丁目60番3号,1F,残堀・伊奈平地区図書館だれでもトイレ,設備: 車椅子対応,#00cc00,139.375192,35.746172
中久保図書館,東京都 武蔵村山市本町二丁目77番1号,1F,中久保図書館だれでもトイレ,設備: 車椅子対応,#00cc00,139.382909,35.754566
武蔵村山市立歴史民俗資料館,東京都 武蔵村山市本町五丁目21番地の1,1F,歴史民俗資料館だれでもトイレ,設備: 車椅子対応,#00cc00,139.387428,35.762425
歴史民俗資料館分館,東京都 武蔵村山市大南三丁目5番地の7,1F,歴史民俗資料館分館だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.400805,35.737584
武蔵村山市民会館,東京都 武蔵村山市本町一丁目17番1号,1F,市民会館だれでもトイレ1,"設備: 車椅子対応, おむつ交換台",#00cc00,139.386945,35.753985
武蔵村山市民会館,東京都 武蔵村山市本町一丁目17番1号,1F,市民会館だれでもトイレ2,"設備: 車椅子対応, おむつ交換台",#00cc00,139.386984,35.753944
武蔵村山市民会館,東京都 武蔵村山市本町一丁目17番1号,1F,市民会館だれでもトイレ3,"設備: 車椅子対応, オストメイト対応",#00cc00,139.386977,35.753918
伊奈平公園,東京都 武蔵村山市伊奈平五丁目84番地,1F,伊奈平公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.371137,35.740054
大南公園,東京都 武蔵村山市緑が丘2542番地,1F,大南公園だれでもトイレ1,設備: 車椅子対応,#00cc00,139.409069,35.738627
大南公園,東京都 武蔵村山市緑が丘2542番地,1F,大南公園だれでもトイレ2,設備: 車椅子対応,#00cc00,139.406427,35.738888
大南東公園,東京都 武蔵村山市大南五丁目2番4号,1F,大南東公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.409561,35.735127
経塚向公園,東京都 武蔵村山市中原二丁目50番16号,1F,経塚向公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.360355,35.754738
さいかち公園,東京都 武蔵村山市学園四丁目5番2号,1F,さいかち公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.403513,35.745813
山王森公園,東京都 武蔵村山市三ツ藤三丁目27番地,1F,山王森公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.370846,35.755988
中原公園,東京都 武蔵村山市中原二丁目21番4号,1F,中原公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.363073,35.756726
プリンスの丘公園,東京都 武蔵村山市榎一丁目1番12号,1F,プリンスの丘公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.387197,35.743457
雷塚公園,東京都 武蔵村山市学園四丁目4番地,1F,雷塚公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.400923,35.746065
横田児童遊園,東京都 武蔵村山市本町四丁目41番5号,1F,横田児童遊園だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.386416,35.758494
学園四丁目西児童遊園,東京都 武蔵村山市学園四丁目3番2号,1F,学園四丁目西児童遊園だれでもトイレ,設備: 車椅子対応,#00cc00,139.398608,35.745046
伊奈平四丁目児童遊園,東京都 武蔵村山市伊奈平四丁目18番1号,1F,伊奈平四丁目児童遊園だれでもトイレ,設備: 車椅子対応,#00cc00,139.376887,35.737644
武蔵の野路休憩所,東京都 武蔵村山市本町六丁目10番地,1F,武蔵の野路休憩所だれでもトイレ,設備: 車椅子対応,#00cc00,139.386865,35.758199
武蔵村山市総合体育館,東京都 武蔵村山市岸三丁目45番6号,1F,総合体育館１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.371874,35.764984
武蔵村山市総合体育館,東京都 武蔵村山市岸三丁目45番6号,2F,総合体育館２階だれでもトイレ,設備: 車椅子対応,#00cc00,139.372275,35.764961
野山北公園,東京都 武蔵村山市本町五丁目31番1号,1F,野山北公園だれでもトイレ,設備: 車椅子対応,#00cc00,139.384599,35.763552
総合運動公園運動場,東京都 武蔵村山市岸五丁目31番7号,1F,総合運動公園運動場だれでもトイレ1,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.373528,35.766134
総合運動公園運動場,東京都 武蔵村山市岸五丁目31番7号,1F,総合運動公園運動場だれでもトイレ2,設備: 車椅子対応,#00cc00,139.374229,35.765201
三ツ木地域運動場,東京都 武蔵村山市三ツ木一丁目15番2号,1F,三ツ木地域運動場だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.378735,35.756746
残堀・伊奈平地域運動場,東京都 武蔵村山市残堀四丁目21番1号,1F,残堀・伊奈平地域運動場だれでもトイレ,設備: 車椅子対応,#00cc00,139.368979,35.747756
