name,address,floor,toilet_name,note,color,lng,lat
羽村市庁舎,東京都 羽村市緑ヶ丘五丁目2番地1,1F,西庁舎1階だれでもトイレ,"土曜日については、第2・4土曜日開庁時にのみ使用可能 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.310911,35.76719
羽村市庁舎,東京都 羽村市緑ヶ丘五丁目2番地1,1F,東庁舎1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.311365,35.767
羽村市分庁舎,東京都 羽村市緑ヶ丘五丁目1番地30,1F,分庁舎1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.310455,35.766638
生涯学習センターゆとろぎ,東京都 羽村市緑ヶ丘一丁目11番地5,1F,ゆとろぎ１Ｆ市民活動ロビー横だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.315887,35.764066
生涯学習センターゆとろぎ,東京都 羽村市緑ヶ丘一丁目11番地5,1F,ゆとろぎ１Ｆ大ホール横だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.316009,35.763896
生涯学習センターゆとろぎ,東京都 羽村市緑ヶ丘一丁目11番地5,2F,ゆとろぎ２Ｆ講座室１横だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.315766,35.764101
生涯学習センターゆとろぎ,東京都 羽村市緑ヶ丘一丁目11番地5,3F,ゆとろぎ３Ｆ和室前だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.315887,35.764066
生涯学習センターゆとろぎ,東京都 羽村市緑ヶ丘一丁目11番地5,B1F,ゆとろぎ地下レセプションホール前だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.316225,35.764055
羽村市コミュニティセンター じゅらく苑,東京都 羽村市緑ヶ丘五丁目2番地6,1F,コミュニティセンター１階障がい者用トイレ,設備: 車椅子対応,#00cc00,139.310934,35.767878
羽村市コミュニティセンター じゅらく苑,東京都 羽村市緑ヶ丘五丁目2番地6,B1F,コミュニティセンター地下１階障がい者用トイレ,設備: 車椅子対応,#00cc00,139.31097,35.767834
羽村市コミュニティセンター じゅらく苑,東京都 羽村市緑ヶ丘五丁目2番地6,3F,コミュニティセンター3階障がい者用トイレ,設備: 車椅子対応,#00cc00,139.310934,35.767878
高齢者在宅サービスセンターいこいの里,東京都 羽村市羽加美四丁目18番6号,1F,1階身障者用トイレ,"だれでもトイレは主にデイサービス利用者が使用しているが、一般の利用者の使用も可としている。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.299354,35.760295
双葉町会館,東京都 羽村市双葉町二丁目14番45号,1F,１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.333494,35.759737
加美会館,東京都 羽村市羽加美三丁目10番12号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.3022219,35.76428722
羽村市保健センター,東京都 羽村市緑ヶ丘五丁目5番地2,1F,1階旧館だれでもトイレ,設備: 車椅子対応,#00cc00,139.311826,35.768893
羽村市保健センター,東京都 羽村市緑ヶ丘五丁目5番地2,1F,1階新館だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.311815,35.768679
