name,address,floor,toilet_name,note,color,lng,lat
鋸山,東京都 西多摩郡檜原村,1F,鋸山便所,12月〜3月は閉鎖,#00cc00,139.102727,35.778825
神戸岩園地,東京都 西多摩郡檜原村神戸,1F,神戸岩園地便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: おむつ交換台,#00cc00,139.121862,35.746349
数馬広場,東京都 西多摩郡檜原村数馬2461番地,1F,数馬広場便所,月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: おむつ交換台,#00cc00,139.050323,35.726315
払沢の滝園地,東京都 西多摩郡檜原村本宿638番地,1F,払沢の滝園地便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.14174,35.729889
檜原村役場,東京都 西多摩郡檜原村467番地1,1F,役場１階トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.149063,35.726725
やすらぎの里 (ふれあい館),東京都 西多摩郡檜原村2717番地,2F,やすらぎの里２階トイレ（女性用）,設備: 車椅子対応,#00cc00,139.143736,35.735384
やすらぎの里 (ふれあい館),東京都 西多摩郡檜原村2717番地,2F,やすらぎの里２階トイレ（男性用）,設備: 車椅子対応,#00cc00,139.143716,35.735381
やすらぎの里 (ふれあい館),東京都 西多摩郡檜原村2717番地,3F,ふれあいセンター,"設備: 車椅子対応, オストメイト対応",#00cc00,139.143718,35.735351
下元郷公衆トイレ,東京都 西多摩郡檜原村5236番地,1F,下元郷公衆トイレ,"※２４時間利用可 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.159626,35.723842
払沢の滝入口バス停公衆トイレ,東京都 西多摩郡檜原村627番地1,1F,払沢の滝入口バス停公衆トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.143798,35.729807
小岩公衆トイレ,東京都 西多摩郡檜原村4331番地,1F,小岩公衆トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.112796,35.731549
人里公衆トイレ,東京都 西多摩郡檜原村1696番地1,1F,人里公衆トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.088362,35.713407
