name,address,floor,toilet_name,note,color,lng,lat
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,サブアリーナ棟1階多機能トイレ01,"こちらのトイレはサブアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.524487,35.664416
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,サブアリーナ棟1階多機能トイレ02,"こちらのトレイはサブアリーナご利用の方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.524122,35.664844
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,メインアリーナ棟1階多機能トイレ01,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.524208,35.665917
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,メインアリーナ棟1階多機能トイレ02,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.524359,35.665509
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,メインアリーナ棟1階多機能トイレ03,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, おむつ交換台",#00cc00,139.524436,35.66529
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,メインアリーナ棟1階多機能トイレ04,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.525025,35.665272
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,1F,メインアリーナ棟1階多機能トイレ05,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.524932,35.66607
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,2F,サブアリーナ棟2階多機能トイレ01,"こちらのトイレはプールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.524595,35.664313
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,2F,サブアリーナ棟2階多機能トイレ02,"こちらはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.524663,35.664149
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,2F,サブアリーナ棟2階多機能トイレ03,"こちらのトイレはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.524696,35.664214
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,2F,サブアリーナ棟2階多機能トイレ04,"こちらのトイレはジム・プールをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.524862,35.664722
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,2F,サブアリーナ棟2階多機能トイレ05,"こちらのトイレは施設をご利用いただく方にお使いいただけます。 | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.524128,35.664781
武蔵野の森総合スポーツプラザ (武蔵野の森総合スポーツプラザ),東京都 調布市西町290番地11,3F,メインアリーナ棟3階多機能トイレ01,"こちらのトイレはメインアリーナをご利用いただく方にお使いいただけます | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.524314,35.665602
