name,address,floor,toilet_name,note,color,lng,lat
東京都職員共済組合清瀬運動場,東京都 清瀬市竹丘三丁目10番5号,1F,身障者用トイレ,設備: 車椅子対応,#00cc00,139.501765,35.763239
清瀬消防署,東京都 清瀬市中清戸二丁目850番１,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.527612,35.784199
清瀬市男女共同参画センター (アミュービル),東京都 清瀬市元町一丁目2番11号,4F,多目的トイレ,設備: 車椅子対応,#00cc00,139.521166,35.772081
旧清瀬市消費生活センター,東京都 清瀬市元町一丁目4番17号,1F,1階だれでもトイレ,災害時指定施設の際のみ使用可能 | 設備: 車椅子対応,#00cc00,139.520631,35.774432
旧清瀬市消費生活センター,東京都 清瀬市元町一丁目4番17号,3F,3階だれでもトイレ,災害時指定施設の際のみ使用可能 | 設備: 車椅子対応,#00cc00,139.520631,35.774432
旧清瀬市消費生活センター,東京都 清瀬市元町一丁目4番17号,4F,4階だれでもトイレ,災害時指定施設の際のみ使用可能 | 設備: 車椅子対応,#00cc00,139.520631,35.774432
清瀬市立野塩地域市民センター,東京都 清瀬市野塩一丁目322番2号,1F,多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.499453,35.779154
清瀬市立松山地域市民センター,東京都 清瀬市松山二丁目6番25号,1F,バリアフリートイレ,"ピクトグラムで表示 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.514769,35.771015
清瀬市立松山地域市民センター,東京都 清瀬市松山二丁目6番25号,2F,バリアフリートイレ,"ピクトグラムで表示 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.514769,35.771015
清瀬市児童センター,東京都 清瀬市中清戸三丁目235番5号,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.530591,35.776369
清瀬市児童センター,東京都 清瀬市中清戸三丁目235番5号,2F,2階だれでもトイレ,"設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.530591,35.776369
清瀬市しあわせ未来センター,東京都 清瀬市中里五丁目842番地,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.526003,35.786013
清瀬市しあわせ未来センター,東京都 清瀬市中里五丁目842番地,2F,バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.526003,35.786013
きよせボランティア・市民活動センター,東京都 清瀬市上清戸二丁目6番10号,1F,１階北側だれでもトイレ,設備: 車椅子対応,#00cc00,139.520989,35.779244
清瀬市役所本庁舎,東京都 清瀬市中里五丁目842番地,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.526736,35.7855
清瀬市役所本庁舎,東京都 清瀬市中里五丁目842番地,2F,バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.526736,35.7855
清瀬市役所本庁舎,東京都 清瀬市中里五丁目842番地,3F,バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.526736,35.7855
清瀬市役所本庁舎,東京都 清瀬市中里五丁目842番地,4F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.526736,35.7855
清瀬市生涯学習センター,東京都 清瀬市元町一丁目2番11号,6F,6階だれでもトイレ,設備: 車椅子対応,#00cc00,139.521038,35.772116
下清戸集会所,東京都 清瀬市下清戸五丁目855番3号,1F,下清戸集会所１,設備: 車椅子対応,#00cc00,139.540721,35.786967
下清戸集会所,東京都 清瀬市下清戸五丁目855番3号,2F,下清戸集会所２,"設備: 車椅子対応, おむつ交換台",#00cc00,139.540697,35.786898
清瀬市コミュニティプラザ,東京都 清瀬市下清戸一丁目212番4号,1F,1階南側だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.539004,35.77785
清瀬市コミュニティプラザ,東京都 清瀬市下清戸一丁目212番4号,2F,2階南側だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.539004,35.77785
清瀬市コミュニティプラザ,東京都 清瀬市下清戸一丁目212番4号,3F,3階南側だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.539004,35.77785
清瀬市下宿地域市民センター,東京都 清瀬市下宿二丁目524番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.533076,35.797345
清瀬市立竹丘地域市民センター,東京都 清瀬市竹丘一丁目11番1号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.51142,35.765832
清瀬市立中清戸地域市民センター (都営中清戸住宅5号棟),東京都 清瀬市中清戸四丁目847番5号,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.528109,35.785085
清瀬市立中清戸地域市民センター (都営中清戸住宅5号棟),東京都 清瀬市中清戸四丁目847番5号,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.528109,35.785085
清瀬市立中里地域市民センター,東京都 清瀬市中里四丁目1301番地,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.514052,35.78659
清瀬市立中里地域市民センター,東京都 清瀬市中里四丁目1301番地,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.514052,35.78659
清瀬市立中央図書館 (清瀬市立中央図書館),東京都 清瀬市梅園一丁目1番21号,1F,１階誰でもトイレ,"2025年3月末をもって閉館になります。 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.511158,35.773061
清瀬市郷土博物館,東京都 清瀬市上清戸二丁目6番41号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.520962,35.779715
清瀬けやきホール,東京都 清瀬市元町一丁目6番6号,1F,1階女性多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.519615,35.774615
清瀬けやきホール,東京都 清瀬市元町一丁目6番6号,1F,1階男性多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.519519,35.774663
清瀬けやきホール,東京都 清瀬市元町一丁目6番6号,2F,2階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.519545,35.774541
清瀬けやきホール,東京都 清瀬市元町一丁目6番6号,3F,3階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.519545,35.774541
清瀬けやきホール,東京都 清瀬市元町一丁目6番6号,4F,4階多目的トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.519545,35.774541
清瀬中央公園,東京都 清瀬市梅園一丁目613番地,1F,中央公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.511016,35.773901
神山公園,東京都 清瀬市中清戸三丁目235番地,1F,神山公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.531032,35.775562
金山緑地公園,東京都 清瀬市中里四丁目650番地,1F,金山公園バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.522429,35.78918
竹丘緑地公園,東京都 清瀬市竹丘二丁目1243番1号,1F,竹丘緑地公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.509776,35.765144
竹丘なかよし公園,東京都 清瀬市竹丘一丁目1256番1号,1F,竹丘なかよし公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.511048,35.767155
せせらぎ公園,東京都 清瀬市中里二丁目1471番地,1F,せせらぎ公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.510571,35.783195
中里柳瀬公園,東京都 清瀬市中里四丁目1301番地,1F,中里柳瀬公園バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.514427,35.786545
中清戸けやき公園,東京都 清瀬市中清戸四丁目８４７番地,1F,中清戸けやき公園バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.529185,35.786343
清瀬駅南口公衆トイレ,東京都 清瀬市松山一丁目609番18,1F,清瀬駅南口公衆トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.520245,35.771818
清瀬市障害者福祉センター,東京都 清瀬市上清戸一丁目16番62号,1F,1階女性トイレ側だれでもトイレ,施設通所者が優先。 | 設備: 車椅子対応,#00cc00,139.527637,35.77336
清瀬市障害者福祉センター,東京都 清瀬市上清戸一丁目16番62号,1F,1階男性トイレ側だれでもトイレ,施設通所者が優先。 | 設備: 車椅子対応,#00cc00,139.527597,35.77339
