name,address,floor,toilet_name,note,color,lng,lat
小平合同庁舎,東京都 小平市花小金井一丁目6番20号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.514094,35.730081
東京都健康安全研究センター薬用植物園,東京都 小平市中島町21-1,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.435126,35.732367
東京都多摩小平保健所 (東京都花小金井庁舎),東京都 小平市花小金井一丁目31番24号,1F,１階身障者トイレ,設備: 車椅子対応,#00cc00,139.516511,35.730005
小平霊園,東京都 小平市美園町三丁目4番,1F,第5号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.487719,35.744021
小平霊園,東京都 小平市美園町三丁目4番,1F,第6号多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.488559,35.742023
小平消防署花小金井出張所,東京都 小平市花小金井六丁目12番1号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.507854,35.730328
小平市庁舎,東京都 小平市小川町二丁目1333番地,1F,1階バリアフリートイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.477634,35.72873
小平市庁舎,東京都 小平市小川町二丁目1333番地,1F,庁舎敷地内便所棟バリアフリートイレ,設備: 車椅子対応,#00cc00,139.47812,35.728317
小平市庁舎,東京都 小平市小川町二丁目1333番地,2F,2階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.477617,35.728675
小平市庁舎,東京都 小平市小川町二丁目1333番地,4F,4階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.477649,35.728514
小平市庁舎,東京都 小平市小川町二丁目1333番地,5F,5階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477649,35.728514
小平市庁舎,東京都 小平市小川町二丁目1333番地,6F,6階バリアフリートイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.477671,35.728516
小平市庁舎,東京都 小平市小川町二丁目1333番地,7F,7階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.477671,35.728516
小平市庁舎,東京都 小平市小川町二丁目1333番地,8F,8階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.47725,35.728648
小平市庁舎,東京都 小平市小川町二丁目1333番地,B1F,地下１階バリアフリートイレ,設備: 車椅子対応,#00cc00,139.477649,35.728546
小平市健康福祉事務センター (小平市健康福祉事務センター),東京都 小平市小川町二丁目1333番地,1F,1階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477398,35.727728
小平市健康福祉事務センター (小平市健康福祉事務センター),東京都 小平市小川町二丁目1333番地,2F,2階バリアフリートイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477398,35.727728
小平市健康センター,東京都 小平市学園東町一丁目19番12号,1F,健康センター1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477433,35.727011
小平市健康センター,東京都 小平市学園東町一丁目19番12号,2F,健康センター2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477433,35.727011
小平市健康センター,東京都 小平市学園東町一丁目19番12号,3F,健康センター3階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477433,35.727011
小平市健康センター,東京都 小平市学園東町一丁目19番12号,4F,健康センター4階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477433,35.727011
小平市立小川公民館,東京都 小平市小川町一丁目1012番,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.459327,35.726045
小平市立上宿公民館,東京都 小平市小川町一丁目308番,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.443769,35.731607
小平市立上水南公民館,東京都 小平市上水南町一丁目27番1号,1F,1階だれでもトイレ,設備: おむつ交換台,#00cc00,139.483707,35.713149
小平市立鈴木公民館,東京都 小平市鈴木町二丁目772番,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.507263,35.721892
小平市中央公民館,東京都 小平市小川町二丁目1325番地,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.476064,35.727444
小平市中央公民館,東京都 小平市小川町二丁目1325番地,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.476064,35.727444
小平市中央公民館,東京都 小平市小川町二丁目1325番地,B1F,地下１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.476064,35.727444
小平市立花小金井北公民館,東京都 小平市花小金井五丁目41番3号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.510232,35.734345
小平市立花小金井南公民館 (小平市立花小金井南公民館),東京都 小平市花小金井南町二丁目12番6号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.516074,35.724389
小平市立鈴木地域センター,東京都 小平市鈴木町一丁目400番地,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.500762,35.720931
小平市立大沼地域センター,東京都 小平市大沼町二丁目17番33号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.494561,35.741558
小平市立上水新町地域センター,東京都 小平市上水新町一丁目14番18号,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.438823,35.725393
小平市立中島地域センター,東京都 小平市中島町26番地9号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.434212,35.729862
小平市立天神地域センター,東京都 小平市天神町四丁目3番1号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.496671,35.728191
小平市立上水本町地域センター,東京都 小平市上水本町三丁目11番11号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.470321,35.71752
小平市立小川西町地域センター,東京都 小平市小川西町五丁目4番17号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.455927,35.735299
小平市立学園東町地域センター,東京都 小平市学園東町二丁目16番11号,2F,2階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.483489,35.725744
小平市立花小金井北地域センター,東京都 小平市花小金井三丁目10番1号,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.517891,35.734553
小平市立小川東町地域センター,東京都 小平市小川東町一丁目1805番地,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.477791,35.735557
小平市立御幸地域センター,東京都 小平市御幸町58番地,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.501409,35.714456
小平市立喜平地域センター,東京都 小平市喜平町一丁目10番9号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.48862,35.716138
小平市立小川東第二地域センター,東京都 小平市小川東町五丁目9番1号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.468586,35.732666
小平市立学園西町地域センター,東京都 小平市学園西町二丁目12番22号,2F,２階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.475753,35.722752
小平市立小川西町中宿地域センター,東京都 小平市小川西町二丁目30番1号,1F,１階だれでもトイレ,設備: 車椅子対応,#00cc00,139.461002,35.739087
