name,address,floor,toilet_name,note,color,lng,lat
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,エントランス広場　女,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5122,35.71584
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,エントランス広場　男,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5122,35.71584
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,デ・ラランデ邸内,"トイレ利用時間は施設の開館時間による | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.5112,35.71645
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,ビジターセンター内　女,"トイレ利用時間は施設の開館時間による | 設備: 車椅子対応, おむつ交換台",#00cc00,139.5126,35.71571
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,ビジターセンター内　男,"トイレ利用時間は施設の開館時間による | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.5126,35.71571
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,綱島家横　女,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5109,35.71598
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,綱島家横　男,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5109,35.71598
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,店蔵型休憩棟内,"トイレ利用時間は施設の開館時間による | 設備: 車椅子対応, おむつ交換台",#00cc00,139.5152,35.71625
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,万世橋交番前　女,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5143,35.71594
江戸東京たてもの園,東京都 小金井市桜町三丁目7番1号,1F,万世橋交番前　男,トイレ利用時間は施設の開館時間による | 設備: 車椅子対応,#00cc00,139.5143,35.71594
武蔵野公園,東京都 小金井市中町一丁目14番,1F,1号トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.516957,35.694001
武蔵野公園,東京都 小金井市東町五丁目1番,1F,３号だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.521411,35.688519
武蔵野公園,東京都 小金井市前原町２丁目１番地,1F,６号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.514195,35.690951
野川公園,東京都 小金井市東町五丁目3番24号,1F,6号トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.523257,35.688605
小金井公園,東京都 小金井市関野町二丁目,1F,いこいの広場トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.516807,35.717129
小金井公園,東京都 小金井市桜町三丁目,1F,さくらの園トイレ,設備: 車椅子対応,#00cc00,139.510253,35.714969
小金井公園,東京都 小金井市関野町二丁目,1F,さくら通りトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.515347,35.71487
小金井公園,東京都 小金井市桜町三丁目,1F,たてもの園前トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.511692,35.715494
小金井公園,東京都 小金井市関野町一丁目,1F,つつじ山トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.521955,35.718358
小金井公園,東京都 小金井市関野町一丁目,1F,ユーカリトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.524818,35.71538
小金井公園,東京都 小金井市関野町一丁目,1F,ゆりの木トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.523653,35.716721
小金井公園,東京都 小金井市関野町一丁目,1F,弓道場内トイレ,"施設利用者のみ。月曜が祝日の場合は翌営業日が休。12/29〜1/3休。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.521454,35.713988
小金井公園,東京都 小金井市関野町二丁目,1F,第1駐車場トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.517819,35.714603
小金井公園,東京都 小金井市関野町一丁目,1F,中央トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.518577,35.71521
小金井公園,東京都 小金井市関野町二丁目,1F,梅林トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.513656,35.714994
多磨霊園,東京都 小金井市前原町一丁目1番,1F,小金井門トイレ1,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.508714,35.687557
多磨霊園,東京都 小金井市前原町一丁目1番,1F,小金井門トイレ2,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.508714,35.687557
多磨霊園,東京都 小金井市前原町一丁目1番,1F,20区トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.514179,35.685991
小金井消防署緑町出張所,東京都 小金井市緑町二丁目2番42号,1F,だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.521514,35.705748
小金井市役所本庁舎,東京都 小金井市本町六丁目6番3号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.502947,35.699515
小金井市役所第二庁舎 (小金井前原町ビル),東京都 小金井市前原町三丁目41番15号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.504844,35.698665
