name,address,floor,toilet_name,note,color,lng,lat
東京都公文書館 (東京都公文書館),東京都 国分寺市泉町二丁目2-21,1F,車椅子対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.469918,35.69758
武蔵国分寺公園,東京都 国分寺市西元町一丁目11番,1F,こもれび広場南西側トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.471005,35.695313
武蔵国分寺公園,東京都 国分寺市泉町二丁目1番,1F,円形広場南東側トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.473016,35.697157
武蔵国分寺公園,東京都 国分寺市泉町二丁目1番,1F,円形広場北西側トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.471269,35.698178
殿ヶ谷戸庭園,東京都 国分寺市南町二丁目16番地,1F,開放公園北側トイレ,設備: 車椅子対応,#00cc00,139.481512,35.698538
東京都立多摩図書館 (東京都立多摩図書館),東京都 国分寺市泉町二丁目2番26号,1F,多目的トイレ（１）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.469609,35.697944
東京都立多摩図書館 (東京都立多摩図書館),東京都 国分寺市泉町二丁目2番26号,1F,多目的トイレ（２）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.470081,35.697917
国分寺消防署,東京都 国分寺市泉町二丁目２番３号,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.470486,35.69651
国分寺市役所　本庁,東京都 国分寺市戸倉一丁目6番1号,1F,第一庁舎1階誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.463122,35.710444
国分寺市役所　本庁,東京都 国分寺市戸倉一丁目6番1号,1F,第四庁舎1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.462782,35.710925
国分寺市役所　本庁,東京都 国分寺市戸倉一丁目6番1号,1F,第二庁舎1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.462961,35.710557
国分寺市いずみプラザ,東京都 国分寺市泉町二丁目3番8号,1F,いずみプラザ1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.468688,35.696222
