name,address,floor,toilet_name,note,color,lng,lat
立川合同庁舎,東京都 立川市錦町四丁目6番3号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420706,35.691872
立川合同庁舎,東京都 立川市錦町四丁目6番3号,2F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420706,35.691872
立川合同庁舎,東京都 立川市錦町四丁目6番3号,3F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420706,35.691872
立川合同庁舎,東京都 立川市錦町四丁目6番3号,4F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420706,35.691872
立川合同庁舎,東京都 立川市錦町四丁目6番3号,B1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420706,35.691872
東京都多摩立川保健所 (東京都立川福祉保健庁舎),東京都 立川市柴崎町二丁目２１番１９号,1F,１階多目的トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.40867,35.694076
東京都多摩立川保健所 (東京都立川福祉保健庁舎),東京都 立川市柴崎町二丁目２１番１９号,2F,２階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.40867,35.694076
東京都農林水産振興財団立川庁舎,東京都 立川市富士見町三丁目８番１号,1階,多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.392906,35.69865
東京しごとセンター多摩,東京都 立川市柴崎町三丁目９番２号,3F,東京しごとセンター多摩　３階　車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.411957,35.69553
東京しごとセンター多摩,東京都 立川市柴崎町三丁目９番２号,4F,東京しごとセンター多摩　４階　車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.411957,35.69553
