name,address,floor,toilet_name,note,color,lng,lat
地方独立行政法人東京都立病院機構　東京都立多摩南部地域病院,東京都 多摩市中沢二丁目1番2号,1F,1階西側障害者用トイレ,設備: 車椅子対応,#00cc00,139.414977,35.622816
桜ヶ丘公園,東京都 多摩市連光寺五丁目1番地,1F,記念館口トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.461183,35.637903
桜ヶ丘公園,東京都 多摩市連光寺五丁目16番地,1F,聖ヶ丘口トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.459384,35.634188
桜ヶ丘公園,東京都 多摩市連光寺三丁目23番地,1F,遊びの広場トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.462738,35.639617
水道局多摩サービスステーション,東京都 多摩市山王下一丁目17番,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.416699,35.625201
東京都立埋蔵文化財調査センター,東京都 多摩市落合一丁目14番2号,2F,展示フロア車椅子使用者対応トイレ,"カーテン内、トイレの外側に大型ベッドあり | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.427815,35.626116
多摩消防署,東京都 多摩市諏訪一丁目69番地,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.448261,35.632441
多摩市役所,東京都 多摩市関戸六丁目12番地1,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.446306,35.637112
多摩市役所,東京都 多摩市関戸六丁目12番地1,3F,3階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.446306,35.637112
多摩市役所,東京都 多摩市関戸六丁目12番地1,4F,4階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.446355,35.636963
多摩市役所 (本庁舎),東京都 多摩市関戸六丁目12番地1,1F,1階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.446144,35.637077
多摩市役所東庁舎,東京都 多摩市関戸六丁目12番地1,1F,1階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.447601,35.63749
多摩市役所第二庁舎,東京都 多摩市関戸六丁目12番地1,1F,1階だれでもトイレ,設備: 車椅子対応,#00cc00,139.447377,35.637058
多摩市役所第二庁舎,東京都 多摩市関戸六丁目12番地1,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.447377,35.637058
多摩市立関戸公民館 (ヴィータ・コミューネ７階),東京都 多摩市関戸四丁目72番地,7F,7階ファミリー化粧室（女性用）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.447014,35.649695
多摩市立関戸公民館 (ヴィータ・コミューネ７階),東京都 多摩市関戸四丁目72番地,7F,7階ファミリー化粧室（男性用）,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.447014,35.649695
多摩市立関戸公民館 (ヴィータ・コミューネ７階),東京都 多摩市関戸四丁目72番地,8F,8階ファミリー化粧室1,"設備: 車椅子対応, おむつ交換台",#00cc00,139.447014,35.649695
多摩市立関戸公民館 (ヴィータ・コミューネ７階),東京都 多摩市関戸四丁目72番地,8F,8階ファミリー化粧室2,"設備: 車椅子対応, おむつ交換台",#00cc00,139.447014,35.649695
多摩市立永山公民館 (ベルブ永山),東京都 多摩市永山一丁目5番地,3F,3階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.448569,35.628189
多摩市立永山公民館 (ベルブ永山),東京都 多摩市永山一丁目5番地,4F,4階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.448315,35.628161
多摩市立永山公民館 (ベルブ永山),東京都 多摩市永山一丁目5番地,5F,5階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.448194,35.628222
多摩市立永山図書館 (ベルブ永山),東京都 多摩市永山一丁目5番地,3F,3階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.448267,35.628116
多摩市立東寺方図書館,東京都 多摩市東寺方626番地7号,2F,2階だれでもトイレ,設備: 車椅子対応,#00cc00,139.43776,35.643336
多摩市立豊ヶ丘図書館,東京都 多摩市豊ケ丘五丁目6番地,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.434849,35.614634
多摩市立中央図書館,東京都 多摩市落合２−３５,1F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド, おむつ交換台",#00cc00,139.424168,35.621055
多摩市立中央図書館,東京都 多摩市落合２−３５,2F,バリアフリートイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.424168,35.621055
多摩市立諏訪老人福祉館・地区市民ホール,東京都 多摩市諏訪五丁目4番地,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.450946,35.622476
多摩市立諏訪老人福祉館・地区市民ホール,東京都 多摩市諏訪五丁目4番地,2F,2階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.450941,35.62249
多摩市立豊ヶ丘老人福祉館・地区市民ホール,東京都 多摩市豊ケ丘五丁目6番地,2F,２階だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.434577,35.614544
多摩市立東寺方老人福祉館兼地区市民ホール (東寺方複合施設),東京都 多摩市東寺方626番地7,3F,3階北側だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.43775,35.64334
多摩市立複合文化施設（パルテノン多摩） (多摩市立複合文化施設（パルテノン多摩）),東京都 多摩市落合二丁目35番地,B1F,多目的トイレ(大ホール楽屋),"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.426243,35.621654
多摩市立複合文化施設（パルテノン多摩） (多摩市立複合文化施設（パルテノン多摩）),東京都 多摩市落合二丁目35番地,1F,多目的トイレ(大ホールロビー),"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.426243,35.621654
多摩市立複合文化施設（パルテノン多摩） (多摩市立複合文化施設（パルテノン多摩）),東京都 多摩市落合二丁目35番地,1F,多目的トイレ(小ホール楽屋),"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.426243,35.621654
