name,address,floor,toilet_name,note,color,lng,lat
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,アジアの平原 トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.397637,35.647266
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,アフリカ園売店脇トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.401987,35.653449
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,ウオッチングセンタートイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応",#00cc00,139.402232,35.649501
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,オラン飛地トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.394867,35.647751
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,コアラ下トイレ,利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応,#00cc00,139.396708,35.649659
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,さくら広場 トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.399436,35.65063
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,チンパンジー舎前トイレ,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.40009,35.65267
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,なかよし広場トイレ（共用）,"利用は開園スケジュールに基づく（休園日は利用不可）　※多目的シート設置（大型ベッド・おむつ交換台兼用） | 設備: 車椅子対応, 大型ベッド, おむつ交換台",#00cc00,139.399752,35.649948
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,なかよし広場トイレ（女性用）,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.399751,35.649967
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,なかよし広場トイレ（男性用）,利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応,#00cc00,139.399715,35.649944
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,はやし広場トイレ,利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応,#00cc00,139.400885,35.651965
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,ワラビー舎上トイレ（共用）,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, 大型ベッド",#00cc00,139.396317,35.648862
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,ワラビー舎上トイレ（女性用）,利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応,#00cc00,139.396317,35.648862
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,ワラビー舎上トイレ（男性用）,利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応,#00cc00,139.396317,35.648862
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,昆虫園広場トイレ（共用）,"利用は開園スケジュールに基づく（休園日は利用不可） | 設備: 車椅子対応, 大型ベッド",#00cc00,139.402324,35.651168
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,昆虫園広場トイレ（女性用）,利用は開園スケジュールに基づく（休園日は利用不可）　※外部におむつ交換台有。 | 設備: 車椅子対応,#00cc00,139.402259,35.651161
多摩動物公園,東京都 日野市程久保七丁目1番1号,1F,昆虫園広場トイレ（男性用）,利用は開園スケジュールに基づく（休園日は利用不可） ※外部におむつ交換台有。 | 設備: 車椅子対応,#00cc00,139.402316,35.651214
