name,address,floor,toilet_name,note,color,lng,lat
東大和南公園,東京都 東大和市桜が丘三丁目44番地,1F,西多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.420752,35.733979
東大和南公園,東京都 東大和市桜が丘二丁目142番地,1F,中央多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.421813,35.734761
東大和南公園,東京都 東大和市桜が丘二丁目106番地,1F,東多目的トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.424177,35.733517
東大和南公園,東京都 東大和市桜が丘二丁目106番地,1F,サービスセンター多目的トイレ,"利用時間はスポーツ施設更衣室の利用時間に準ずる | 設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.424419,35.733499
狭山公園,東京都 東大和市多摩湖四丁目468番地,1F,第5号多目的トイレ,24時間 | 設備: 車椅子対応,#00cc00,139.439745,35.759722
東大和サービスステーション,東京都 東大和市上北台三丁目447番地,1F,１Fだれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.415828,35.741554
北多摩西部消防署,東京都 東大和市上北台1-956-1,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.413359,35.747336
東大和市役所本庁舎 (東大和市役所本庁舎),東京都 東大和市中央三丁目930番地,1F,１階だれでもトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.426052,35.745384
東大和市役所本庁舎 (東大和市役所本庁舎),東京都 東大和市中央三丁目930番地,2F,２階だれでもトイレ,"工事中、R6.1月完成予定 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.426405,35.745299
東大和市立中央公民館 (東大和市立中央公民館),東京都 東大和市中央三丁目926番地,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.42644,35.74452038
東大和市立中央公民館 (東大和市立中央公民館),東京都 東大和市中央三丁目926番地,ホール,ホール誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.253529,35.444097
東大和市立狭山公民館 (東大和市立狭山公民館),東京都 東大和市狭山三丁目1344番1号,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.4376,35.75579
東大和市立蔵敷公民館 (東大和市立蔵敷公民館),東京都 東大和市蔵敷二丁目337番地,1F,１階だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.416278,35.754173
東大和市奈良橋市民センター (東大和市奈良橋市民センター),東京都 東大和市奈良橋四丁目600番地,1F,１階だれでもトイレ,１階は施設受付、児童館として運営 | 設備: 車椅子対応,#00cc00,139.425755,35.75246
東大和市奈良橋市民センター (東大和市奈良橋市民センター),東京都 東大和市奈良橋四丁目600番地,2F,２階だれでもトイレ,２階は老人福祉館として運営　休館日：月曜・祝日 | 設備: 車椅子対応,#00cc00,139.425755,35.75246
東大和市奈良橋市民センター (東大和市奈良橋市民センター),東京都 東大和市奈良橋四丁目600番地,3F,３階だれでもトイレ,３階は地区会館(集会施設)として運営　休館日：木曜 | 設備: 車椅子対応,#00cc00,139.425755,35.75246
東大和市上北台市民センター (東大和市上北台市民センター),東京都 東大和市上北台二丁目865番9号,1F,１階だれでもトイレ,１階は施設受付、老人福祉館として運営　老人福祉館の休館日：月曜 | 設備: 車椅子対応,#00cc00,139.414666,35.742902
東大和市上北台市民センター (東大和市上北台市民センター),東京都 東大和市上北台二丁目865番9号,2F,２階だれでもトイレ,"２階は児童館として運営　休館日：日曜・祝日 | 設備: 車椅子対応, 大型ベッド",#00cc00,139.414666,35.742902
