name,address,floor,toilet_name,note,color,lng,lat
小山田緑地,東京都 町田市下小山田町,1F,サッカー場トイレ,設備: 車椅子対応,#00cc00,139.416748,35.595044
小山田緑地,東京都 町田市下小山田町361番地10号,1F,管理所前トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.415185,35.598005
小山田緑地,東京都 町田市下小山田町361番地10号,1F,管理所内トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.415128,35.597766
小山田緑地,東京都 町田市下小山田町,1F,梅木窪トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.415364,35.603479
小山内裏公園,東京都 町田市小山ヶ丘四丁目4番,1F,パークセンタートイレ,"※トイレ手前に点字ブロック有。 | 設備: 車椅子対応, オストメイト対応",#00cc00,139.368008,35.607051
小山内裏公園,東京都 町田市小山ヶ丘四丁目,1F,水辺広場トイレ（女性用）,"設備: 車椅子対応, おむつ交換台",#00cc00,139.366396,35.608104
小山内裏公園,東京都 町田市小山ヶ丘四丁目,1F,水辺広場トイレ（男性用）,"設備: 車椅子対応, おむつ交換台",#00cc00,139.3664,35.608099
小山内裏公園,東京都 町田市小山ヶ丘四丁目,1F,尾根緑道トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.366674,35.606255
大戸緑地,東京都 町田市相原町字牛田5153番地,1F,駐車場脇トイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.285396,35.615407
町田サービスステーション,東京都 町田市木曽東一丁目4番1号,1F,町田サービスステーション１階　だれでもトイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.430373,35.557924
町田サービスステーション,東京都 町田市木曽東一丁目4番1号,2F,町田サービスステーション２階　だれでもトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.430373,35.557924
町田消防署,東京都 町田市本町田2380番地3号,1F,だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.437654,35.563954
町田市庁舎,東京都 町田市森野二丁目2番22号,10F,10階南側みんなのトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.438582,35.546229
町田市庁舎,東京都 町田市森野二丁目2番22号,1F,1階西側みんなのトイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.438257,35.546492
町田市庁舎,東京都 町田市森野二丁目2番22号,1F,1階南側みんなのトイレ,"設備: 車椅子対応, オストメイト対応",#00cc00,139.438529,35.546296
