name,address,floor,toilet_name,note,color,lng,lat
福生消防署,東京都 福生市大字福生１０７２番地,1F,誰でもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.324547,35.744017
福生市役所本庁舎,東京都 福生市本町5番地,1F,第１棟１階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.327049,35.738431
福生市役所本庁舎,東京都 福生市本町5番地,1F,第２棟１階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326424,35.738959
福生市役所本庁舎,東京都 福生市本町5番地,2F,第１棟２階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.32702,35.738482
福生市役所本庁舎,東京都 福生市本町5番地,2F,第２棟２階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326536,35.738837
福生市役所本庁舎,東京都 福生市本町5番地,3F,第１棟３階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.32702,35.738482
福生市役所本庁舎,東京都 福生市本町5番地,3F,第２棟３階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326536,35.738837
福生市役所本庁舎,東京都 福生市本町5番地,4F,第１棟４階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.32702,35.738482
福生市役所本庁舎,東京都 福生市本町5番地,4F,第２棟４階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326536,35.738837
福生市役所本庁舎,東京都 福生市本町5番地,5F,第１棟５階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.32702,35.738482
福生市役所本庁舎,東京都 福生市本町5番地,5F,第２棟５階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326536,35.738837
福生市役所本庁舎,東京都 福生市本町5番地,B1F,第１棟地下車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.327039,35.738449
福生市もくせい会館,東京都 福生市本町18番地,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.327268,35.738964
白梅会館,東京都 福生市大字熊川559番地1号,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.337642,35.724161
松林会館,東京都 福生市武蔵野台一丁目15番1号,1F,1階車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.332484,35.746452
さくら会館,東京都 福生市牛浜163番地,1F,1階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.337251,35.733772
かえで会館,東京都 福生市加美平一丁目20番6号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.32541,35.750408
福東会館,東京都 福生市大字熊川1662番地7号,1F,身障者便所,設備: 車椅子対応,#00cc00,139.345902,35.722486
扶桑会館,東京都 福生市本町92番地５,1F,車椅子トイレ,設備: 車椅子対応,#00cc00,139.326319,35.740759
扶桑会館,東京都 福生市本町92番地５,2F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.326329,35.740734
福生市保健センター,東京都 福生市大字福生2125番地3号,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.334302,35.744267
福生市立中央図書館 (福生市郷土資料室),東京都 福生市大字熊川850番地1,1F,車椅子使用者対応トイレ,"令和6年1月下旬まで改修工事のため休館中 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.3374,35.732037
福生市わかぎり会館・図書館,東京都 福生市大字福生1280番地1,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.32078,35.746218
福生市立わかたけ会館・図書館,東京都 福生市大字熊川199番地1,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.335083,35.718175
福生市立武蔵野台図書館,東京都 福生市武蔵野台一丁目12番地2,3F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.333935,35.746757
福生市民会館,東京都 福生市大字福生2455番地,1F,ロビー車椅子使用者対応トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.337832,35.734178
福生市民会館,東京都 福生市大字福生2455番地,1F,大ホールホワイエ車椅子使用者対応トイレ（女子側）,設備: 車椅子対応,#00cc00,139.33776,35.733711
福生市民会館,東京都 福生市大字福生2455番地,1F,大ホールホワイエ車椅子使用者対応トイレ（男子側）,設備: 車椅子対応,#00cc00,139.337726,35.733854
福生市民会館,東京都 福生市大字福生2455番地,1F,大ホール袖口車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.337918,35.733963
福生市民会館,東京都 福生市大字福生2455番地,2F,2階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.337857,35.733982
福生市民会館,東京都 福生市大字福生2455番地,3F,3階車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.337857,35.733982
茶室福庵,東京都 福生市大字熊川854番地3号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.337537,35.732597
プチギャラリー,東京都 福生市大字福生1014番地10号,2F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.327689,35.742342
熊川公園,東京都 福生市大字熊川660番地,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.334279,35.723912
もくせい公園,東京都 福生市大字福生2148番地,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.335737,35.743277
加美平北公園,東京都 福生市加美平二丁目12番地,1F,車椅子使用者対応トイレ,"設備: 車椅子対応, おむつ交換台",#00cc00,139.323358,35.750081
加美平南公園,東京都 福生市加美平三丁目10番地,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.324396,35.746586
東町公園,東京都 福生市東町8番地2号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.326806,35.743961
金堀公園,東京都 福生市北田園一丁目9番1号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.326899,35.733438
鍋ヶ谷戸児童公園,東京都 福生市大字熊川567番地1号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.337226,35.724884
明神下公園,東京都 福生市南田園一丁目12番1号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.330306,35.724002
わらつけ公園,東京都 福生市大字福生2151番地12号,1F,車椅子使用者対応トイレ,設備: 車椅子対応,#00cc00,139.336231,35.744096
熊牛公園,東京都 福生市大字熊川929番地5号,1F,車椅子使用者対応トイレ,,#00cc00,139.334997,35.731818
