name,address,floor,toilet_name,note,color,lng,lat
軍畑園地,東京都 青梅市柚木町二丁目466番地34,1F,軍畑園地便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.211754,35.804419
御岳丸山園地,東京都 青梅市御岳山,1F,御岳丸山園地便所,設備: おむつ交換台,#00cc00,139.150989,35.784061
御岳渓谷,東京都 青梅市沢井三丁目493番地2,1F,御岳渓谷便所,"設備: 車椅子対応, おむつ交換台",#00cc00,139.187804,35.805331
御岳渓谷園地,東京都 青梅市御岳本町,1F,御岳渓谷園地便所,設備: おむつ交換台,#00cc00,139.184876,35.801307
御岳射山渓駐車場,東京都 青梅市柚木町三丁目,1F,御岳射山渓駐車場便所,"12月〜3月は閉鎖 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.195699,35.802681
御岳平園地,東京都 青梅市御岳山,1F,御岳平園地便所,12月〜3月は閉鎖,#00cc00,139.152976,35.790007
丹縄園地,東京都 青梅市御岳二丁目,1F,丹縄園地便所,"月曜（月曜が祝日の場合は火曜）および年末年始（12月29日〜1月3日）は休館（ただし7月第3週〜8月31日は月曜も開館） | 設備: 車椅子対応, おむつ交換台",#00cc00,139.176097,35.805966
御岳ビジターセンター,東京都 青梅市御岳山38番地5号,1F,御岳ビジターセンター便所,"利用可能時間は09:00〜16:30、月曜（月曜が祝日の場合は火曜）および年末年始（12月29日-1月3日）は休館 | 設備: 車椅子対応, おむつ交換台",#00cc00,139.150582,35.78675
東京都西多摩保健所 (東京都西多摩保健所),東京都 青梅市東青梅一丁目167番地の15,1F,だれでもトイレ,※乳幼児用おむつ交換台は、隣接の授乳室内にあります。（窓口への申し出により使用可） | 設備: 車椅子対応,#00cc00,139.27145,35.787716
東京都西多摩保健所 (東京都西多摩保健所),東京都 青梅市東青梅一丁目167番地の15,2F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.271495,35.787763
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,1F,1階女性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289651,35.779982
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,1F,1階男性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289675,35.779972
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,2F,2階女性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289651,35.779982
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,2F,2階男性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289675,35.779972
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,3F,3階女性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289651,35.779982
東京都青梅合同庁舎,東京都 青梅市河辺町六丁目4番1号,3F,3階男性用ピクトグラム表記のみ,設備: 車椅子対応,#00cc00,139.289675,35.779972
青梅サービスステーション,東京都 青梅市師岡町一丁目1301番10号,1F,青梅サービスステーション１階　だれでもトイレ,"設備: 車椅子対応, オストメイト対応, おむつ交換台",#00cc00,139.277224,35.792569
青梅市役所,東京都 青梅市東青梅一丁目11番1号,1F,１階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.275435,35.78774
青梅市役所,東京都 青梅市東青梅一丁目11番1号,2F,２階多目的トイレ,"開庁時間外の御利用は、夜間休日窓口職員にお声かけください | 設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.275487,35.78805
青梅市役所,東京都 青梅市東青梅一丁目11番1号,3F,３階多目的トイレ,"設備: 車椅子対応, オストメイト対応, 大型ベッド",#00cc00,139.275487,35.78805
青梅市役所,東京都 青梅市東青梅一丁目11番1号,4F,４階多目的トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.275487,35.78805
青梅市役所,東京都 青梅市東青梅一丁目11番1号,4F,議会棟４階多目的トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.275769,35.78769
青梅市役所,東京都 青梅市東青梅一丁目11番1号,5F,５階多目的トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.275487,35.78805
青梅市役所,東京都 青梅市東青梅一丁目11番1号,6F,６階多目的トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.275487,35.78805
青梅市役所,東京都 青梅市東青梅一丁目11番1号,7F,７階多目的トイレ,"設備: 車椅子対応, 大型ベッド",#00cc00,139.275769,35.78769
青梅図書館,東京都 青梅市仲町268番地9号,1F,だれでもトイレ,設備: 車椅子対応,#00cc00,139.256646,35.791136
